Date,EXCELINDUS
2013-01-01,81.0
2013-01-02,81.95
2013-01-03,81.95
2013-01-04,81.0
2013-01-07,82.5
2013-01-08,82.8
2013-01-09,81.85
2013-01-10,81.15
2013-01-11,81.0
2013-01-14,81.4
2013-01-15,81.2
2013-01-16,81.0
2013-01-17,80.25
2013-01-18,80.15
2013-01-21,79.75
2013-01-22,79.1
2013-01-23,78.85
2013-01-24,78.05
2013-01-25,78.3
2013-01-28,78.45
2013-01-29,78.8
2013-01-30,78.7
2013-01-31,78.6
2013-02-01,78.65
2013-02-04,77.0
2013-02-05,75.15
2013-02-06,75.5
2013-02-07,75.4
2013-02-08,74.95
2013-02-11,70.65
2013-02-12,69.4
2013-02-13,70.25
2013-02-14,69.9
2013-02-15,70.15
2013-02-18,70.0
2013-02-19,69.8
2013-02-20,70.1
2013-02-21,69.75
2013-02-22,70.0
2013-02-25,69.5
2013-02-26,66.5
2013-02-27,66.6
2013-02-28,66.45
2013-03-01,66.45
2013-03-04,66.05
2013-03-05,66.55
2013-03-06,66.1
2013-03-07,68.5
2013-03-08,69.0
2013-03-11,69.6
2013-03-12,66.45
2013-03-13,66.05
2013-03-14,66.0
2013-03-15,66.0
2013-03-18,64.35
2013-03-19,63.05
2013-03-20,60.85
2013-03-21,60.25
2013-03-22,58.65
2013-03-25,61.45
2013-03-26,60.0
2013-03-28,59.15
2013-04-01,60.4
2013-04-02,62.05
2013-04-03,61.7
2013-04-04,61.95
2013-04-05,60.25
2013-04-08,60.1
2013-04-09,60.2
2013-04-10,60.0
2013-04-12,61.0
2013-04-15,60.0
2013-04-17,60.0
2013-04-22,61.0
2013-04-23,61.0
2013-04-25,61.0
2013-04-29,61.0
2013-04-30,56.35
2013-05-02,60.05
2013-05-03,57.0
2013-05-06,61.9
2013-05-07,61.1
2013-05-08,63.0
2013-05-09,62.5
2013-05-10,65.0
2013-05-14,60.0
2013-05-17,62.05
2013-05-20,63.0
2013-05-22,63.8
2013-05-23,62.0
2013-05-27,61.55
2013-06-10,61.1
2013-06-11,63.5
2013-06-12,62.1
2013-06-13,63.5
2013-06-17,65.0
2013-06-19,65.0
2013-06-20,67.0
2013-06-21,65.5
2013-06-24,65.0
2013-06-25,64.0
2013-06-26,65.0
2013-06-27,65.0
2013-06-28,66.0
2013-07-01,66.0
2013-07-02,65.0
2013-07-03,65.0
2013-07-04,65.25
2013-07-05,65.0
2013-07-08,67.5
2013-07-09,67.5
2013-07-10,67.05
2013-07-11,64.1
2013-07-15,65.9
2013-07-16,65.1
2013-07-17,66.5
2013-07-19,64.05
2013-07-22,65.0
2013-07-23,68.25
2013-07-24,68.5
2013-07-29,65.1
2013-07-30,65.05
2013-07-31,65.0
2013-08-01,65.0
2013-08-02,65.0
2013-08-05,65.0
2013-08-06,65.75
2013-08-08,67.5
2013-08-12,65.0
2013-08-13,64.1
2013-08-19,65.0
2013-08-22,62.0
2013-08-26,64.9
2013-08-27,62.1
2013-08-28,62.2
2013-09-03,64.4
