Date,INDTERRAIN
2013-01-01,62.0
2013-01-02,62.5
2013-01-03,63.5
2013-01-04,61.35
2013-01-07,62.0
2013-01-08,62.5
2013-01-09,61.4
2013-01-10,61.25
2013-01-11,60.0
2013-01-14,60.55
2013-01-15,59.85
2013-01-16,61.6
2013-01-17,63.3
2013-01-18,62.0
2013-01-21,62.8
2013-01-22,60.05
2013-01-23,58.3
2013-01-24,57.75
2013-01-25,56.65
2013-01-28,58.45
2013-01-29,57.4
2013-01-30,55.35
2013-01-31,62.4
2013-02-01,57.2
2013-02-04,55.45
2013-02-05,55.15
2013-02-06,57.05
2013-02-07,55.7
2013-02-08,58.25
2013-02-11,53.95
2013-02-12,55.0
2013-02-13,57.45
2013-02-14,54.1
2013-02-15,54.3
2013-02-18,54.05
2013-02-19,54.75
2013-02-20,53.1
2013-02-21,54.1
2013-02-22,53.25
2013-02-25,54.05
2013-02-26,52.0
2013-02-27,47.8
2013-02-28,46.6
2013-03-01,47.0
2013-03-04,45.0
2013-03-05,43.75
2013-03-06,48.7
2013-03-07,45.65
2013-03-08,45.05
2013-03-11,45.45
2013-03-12,44.2
2013-03-13,44.05
2013-03-14,42.05
2013-03-15,48.0
2013-03-18,41.6
2013-03-19,40.5
2013-03-20,39.3
2013-03-21,40.0
2013-03-25,37.65
2013-03-28,36.0
2013-04-01,34.15
2013-04-02,32.1
2013-04-03,38.5
2013-04-04,46.2
2013-04-05,54.1
2013-05-06,56.8
2013-05-07,59.4
2013-05-08,64.5
2013-05-09,70.95
2013-05-10,78.0
2013-05-13,78.0
2013-05-14,81.9
2013-05-15,85.8
2013-05-16,88.0
2013-05-17,86.0
2013-05-22,82.5
2013-05-23,80.0
2013-05-24,77.2
2013-05-28,74.55
2013-05-29,71.55
2013-05-30,70.55
2013-05-31,69.05
2013-06-03,72.5
2013-06-04,76.0
2013-06-10,72.25
2013-06-11,72.6
2013-06-13,73.5
2013-09-03,73.0
2013-09-05,76.5
2013-09-19,72.7
2013-09-20,70.0
2013-09-23,73.5
2013-09-24,77.15
2013-09-25,81.0
2013-09-26,81.0
2013-09-30,80.0
2013-10-01,77.0
2013-10-03,79.0
2013-10-04,82.9
2013-10-07,82.0
2013-10-09,83.0
2013-10-10,87.15
2013-10-11,90.0
2013-10-14,89.0
2013-10-15,85.0
2013-10-21,89.0
2013-10-22,92.0
2013-10-25,87.4
2013-10-28,90.0
2013-10-29,92.0
2013-10-30,96.5
2013-10-31,100.0
2013-11-01,105.0
2013-11-03,101.0
2013-11-05,105.0
2013-11-06,105.0
2013-11-08,105.0
2013-11-11,105.0
2013-11-14,110.0
2013-11-18,115.5
2013-11-21,115.0
2013-11-22,115.0
2013-11-25,109.25
2013-11-26,114.0
2013-11-27,110.0
2013-11-28,115.0
2013-11-29,120.75
2013-12-02,120.0
2013-12-04,121.0
2013-12-05,116.05
2013-12-06,120.0
2013-12-09,114.0
2013-12-10,119.7
2013-12-11,121.0
2013-12-12,114.95
2013-12-13,110.0
2013-12-16,106.05
2013-12-17,110.0
2013-12-20,110.0
2013-12-23,115.0
2013-12-24,118.0
2013-12-26,123.9
2013-12-27,120.3
2013-12-30,116.0
2013-12-31,121.0
2014-01-01,117.55
2014-01-02,118.0
2014-01-06,115.05
2014-01-07,114.0
2014-01-08,116.0
2014-01-09,116.0
2014-01-10,116.0
2014-01-13,109.05
2014-01-14,119.1
2014-01-15,107.55
2014-01-16,118.3
2014-01-17,125.05
2014-01-20,120.7
2014-01-21,116.0
2014-01-22,121.4
2014-01-23,116.45
2014-01-24,118.25
2014-01-27,119.95
2014-01-28,115.25
2014-01-29,120.0
2014-01-30,114.0
2014-01-31,115.0
2014-02-03,125.95
2014-02-04,128.85
2014-02-05,123.55
2014-02-06,124.95
2014-02-07,127.6
2014-02-10,124.0
