Date,SNOWMAN
2014-09-26,90.45
2014-09-29,91.25
2014-09-30,88.15
2014-10-01,86.6
2014-10-07,84.7
2014-10-08,83.15
2014-10-09,87.05
2014-10-10,85.75
2014-10-13,84.3
2014-10-14,83.0
2014-10-16,78.7
2014-10-17,81.8
2014-10-20,84.85
2014-10-21,87.0
2014-10-22,99.85
2014-10-23,101.6
2014-10-27,97.0
2014-10-28,105.8
2014-10-29,104.45
2014-10-30,109.3
2014-10-31,101.75
2014-11-03,99.55
2014-11-05,98.45
2014-11-07,96.15
2014-11-10,95.95
2014-11-11,98.05
2014-11-12,105.15
2014-11-13,109.45
2014-11-14,107.25
2014-11-17,123.7
2014-11-18,129.85
2014-11-19,120.0
2014-11-20,119.75
2014-11-21,113.9
2014-11-24,116.4
2014-11-25,109.95
2014-11-26,110.4
2014-11-27,109.85
2014-11-28,111.0
2014-12-01,107.85
2014-12-02,107.65
2014-12-03,106.95
2014-12-04,106.5
2014-12-05,102.9
2014-12-08,102.0
2014-12-09,102.5
2014-12-10,102.3
2014-12-11,105.9
2014-12-12,101.65
2014-12-15,100.0
2014-12-16,95.75
2014-12-17,93.55
2014-12-18,100.7
2014-12-19,102.65
2014-12-22,101.45
2014-12-23,98.25
2014-12-24,95.95
2014-12-26,96.4
2014-12-29,94.85
2014-12-30,94.2
2014-12-31,99.3
2015-01-01,100.1
2015-01-02,98.9
2015-01-05,98.05
2015-01-06,93.95
2015-01-07,93.0
2015-01-08,94.8
2015-01-09,94.4
2015-01-12,96.5
2015-01-13,95.05
2015-01-14,100.1
2015-01-15,99.75
2015-01-16,100.85
2015-01-19,101.8
2015-01-20,100.5
2015-01-21,99.0
2015-01-22,98.05
2015-01-23,96.55
2015-01-27,99.6
2015-01-28,99.25
2015-01-29,98.1
2015-01-30,95.05
2015-02-02,93.95
2015-02-03,94.15
2015-02-04,93.75
2015-02-05,92.0
2015-02-06,90.25
2015-02-09,87.15
2015-02-10,82.05
2015-02-11,83.55
2015-02-12,83.95
2015-02-13,87.15
2015-02-16,86.2
2015-02-18,84.7
2015-02-19,83.55
2015-02-20,91.65
2015-02-23,90.25
2015-02-24,87.9
2015-02-25,88.3
2015-02-26,89.4
2015-02-27,89.95
2015-02-28,91.0
2015-03-02,89.5
2015-03-03,89.9
2015-03-04,87.7
2015-03-05,87.05
2015-03-09,85.15
2015-03-10,84.5
2015-03-11,85.2
2015-03-12,85.95
2015-03-13,83.5
2015-03-16,82.4
2015-03-17,82.85
2015-03-18,84.3
2015-03-19,82.2
2015-03-20,79.35
2015-03-23,77.5
2015-03-24,77.15
2015-03-25,76.2
2015-03-26,76.45
2015-03-27,76.5
2015-03-30,81.8
2015-03-31,85.0
2015-04-01,85.3
2015-04-06,86.0
2015-04-07,87.8
2015-04-08,91.2
2015-04-09,90.4
2015-04-10,91.4
2015-04-13,93.55
