Date,SPECIALITY
2013-01-01,178.75
2013-01-02,181.4
2013-01-03,187.3
2013-01-04,190.8
2013-01-07,189.6
2013-01-08,187.1
2013-01-09,183.4
2013-01-10,184.15
2013-01-11,178.45
2013-01-14,183.25
2013-01-15,183.5
2013-01-16,180.4
2013-01-17,178.95
2013-01-18,178.4
2013-01-21,179.8
2013-01-22,178.75
2013-01-23,177.3
2013-01-24,174.9
2013-01-25,178.55
2013-01-28,176.95
2013-01-29,175.8
2013-01-30,172.8
2013-01-31,172.3
2013-02-01,173.7
2013-02-04,173.85
2013-02-05,173.5
2013-02-06,173.75
2013-02-07,173.75
2013-02-08,164.85
2013-02-11,165.7
2013-02-12,164.25
2013-02-13,163.8
2013-02-14,158.95
2013-02-15,160.6
2013-02-18,159.75
2013-02-19,161.3
2013-02-20,163.15
2013-02-21,158.9
2013-02-22,159.25
2013-02-25,157.3
2013-02-26,150.2
2013-02-27,153.3
2013-02-28,153.35
2013-03-01,153.5
2013-03-04,153.8
2013-03-05,155.7
2013-03-06,163.05
2013-03-07,167.1
2013-03-08,171.1
2013-03-11,170.9
2013-03-12,170.55
2013-03-13,170.6
2013-03-14,171.15
2013-03-15,172.45
2013-03-18,168.95
2013-03-19,167.55
2013-03-20,170.6
2013-03-21,168.8
2013-03-22,168.4
2013-03-25,162.45
2013-03-26,165.3
2013-03-28,167.5
2013-04-01,164.6
2013-04-02,172.65
2013-04-03,174.45
2013-04-04,167.3
2013-04-05,168.65
2013-04-08,174.25
2013-04-09,175.1
2013-04-10,176.65
2013-04-11,176.4
2013-04-12,176.4
2013-04-15,177.05
2013-04-16,180.35
2013-04-17,180.5
2013-04-18,184.2
2013-04-22,188.15
2013-04-23,184.0
2013-04-25,184.0
2013-04-26,183.35
2013-04-29,187.0
2013-04-30,187.65
2013-05-02,186.5
2013-05-03,184.9
2013-05-06,183.8
2013-05-07,183.9
2013-05-08,184.05
2013-05-09,182.3
2013-05-10,180.5
2013-05-11,179.75
2013-05-13,178.55
2013-05-14,177.1
2013-05-15,178.25
2013-05-16,178.5
2013-05-17,182.8
2013-05-20,183.7
2013-05-21,178.05
2013-05-22,175.85
2013-05-23,170.45
2013-05-24,172.45
2013-05-27,171.85
2013-05-28,170.0
2013-05-29,180.55
2013-05-30,174.45
