Date,REDINGTON
2013-01-01,86.8
2013-01-02,86.95
2013-01-03,86.75
2013-01-04,86.55
2013-01-07,86.5
2013-01-08,85.95
2013-01-09,86.95
2013-01-10,87.0
2013-01-11,84.9
2013-01-14,86.1
2013-01-15,86.0
2013-01-16,85.7
2013-01-17,84.35
2013-01-18,85.05
2013-01-21,85.85
2013-01-22,84.3
2013-01-23,83.3
2013-01-24,81.25
2013-01-25,84.0
2013-01-28,87.2
2013-01-29,87.85
2013-01-30,88.85
2013-01-31,90.05
2013-02-01,87.05
2013-02-04,86.75
2013-02-05,84.9
2013-02-06,85.95
2013-02-07,84.8
2013-02-08,84.45
2013-02-11,85.05
2013-02-12,85.65
2013-02-13,85.05
2013-02-14,84.9
2013-02-15,85.0
2013-02-18,84.95
2013-02-19,85.1
2013-02-20,86.75
2013-02-21,85.75
2013-02-22,85.0
2013-02-25,84.9
2013-02-26,84.9
2013-02-27,83.2
2013-02-28,85.0
2013-03-01,84.95
2013-03-04,84.55
2013-03-05,84.8
2013-03-06,84.95
2013-03-07,84.95
2013-03-08,84.9
2013-03-11,84.7
2013-03-12,84.95
2013-03-13,84.2
2013-03-14,84.45
2013-03-15,84.55
2013-03-18,83.9
2013-03-19,83.4
2013-03-20,83.05
2013-03-21,80.25
2013-03-22,79.35
2013-03-25,81.2
2013-03-26,78.8
2013-03-28,80.9
2013-04-01,81.0
2013-04-02,80.65
2013-04-03,78.5
2013-04-04,73.5
2013-04-05,75.1
2013-04-08,75.0
2013-04-09,75.0
2013-04-10,74.45
2013-04-11,74.4
2013-04-12,75.8
2013-04-15,74.75
2013-04-16,75.8
2013-04-17,72.95
2013-04-18,76.7
2013-04-22,78.9
2013-04-23,78.15
2013-04-25,80.05
2013-04-26,80.2
2013-04-29,79.65
2013-04-30,78.95
2013-05-02,80.95
2013-05-03,81.75
2013-05-06,83.75
2013-05-07,81.55
2013-05-08,80.8
2013-05-09,80.95
2013-05-10,79.0
2013-05-13,78.95
2013-05-14,77.5
2013-05-15,78.15
2013-05-16,77.5
2013-05-17,80.3
2013-05-20,81.0
2013-05-21,82.3
2013-05-22,84.2
2013-05-23,82.15
2013-05-24,80.3
2013-05-27,75.3
2013-05-28,77.85
2013-05-29,78.05
2013-05-30,77.15
2013-05-31,75.3
2013-06-03,76.0
2013-06-04,75.05
2013-06-05,76.7
2013-06-06,76.75
2013-06-07,78.9
2013-06-10,77.95
2013-06-11,76.35
2013-06-12,75.55
2013-06-13,75.0
2013-06-14,76.7
2013-06-17,75.8
2013-06-18,74.85
2013-06-19,74.9
2013-06-20,72.65
2013-06-21,73.45
2013-06-24,71.8
2013-06-25,71.8
2013-06-26,70.05
2013-06-27,71.2
2013-06-28,72.1
2013-07-01,71.0
2013-07-02,70.95
2013-07-03,70.1
2013-07-04,70.1
2013-07-05,71.4
2013-07-08,69.75
2013-07-09,68.4
2013-07-10,67.4
2013-07-11,66.35
2013-07-12,65.75
2013-07-15,64.35
2013-07-16,64.0
2013-07-17,62.95
2013-07-18,62.8
2013-07-19,60.9
2013-07-22,58.05
2013-07-23,58.35
2013-07-24,55.55
2013-07-25,56.2
2013-07-26,57.1
2013-07-29,55.3
2013-07-30,57.15
2013-07-31,56.15
2013-08-01,55.7
2013-08-02,59.6
2013-08-05,57.55
2013-08-06,55.35
2013-08-07,54.65
2013-08-08,52.8
2013-08-12,54.1
2013-08-13,55.85
2013-08-14,55.85
2013-08-16,54.2
2013-08-19,52.3
2013-08-20,52.0
2013-08-21,53.7
2013-08-22,56.1
2013-08-23,56.95
2013-08-26,58.45
2013-08-27,57.6
2013-08-28,56.5
2013-08-29,58.45
2013-08-30,59.6
2013-09-02,58.55
2013-09-03,58.15
2013-09-04,59.45
2013-09-05,58.15
2013-09-06,58.0
2013-09-10,58.0
2013-09-11,56.05
2013-09-12,54.85
2013-09-13,56.15
2013-09-16,56.0
