Date,WONDERLA
2014-05-23,193.7
2014-05-26,193.85
2014-05-27,215.7
2014-05-28,209.9
2014-05-29,212.6
2014-05-30,203.95
2014-06-02,201.05
2014-06-03,203.95
2014-06-04,200.05
2014-06-05,200.3
2014-06-06,212.85
2014-06-09,216.15
2014-06-10,213.9
2014-06-11,209.6
2014-06-12,210.3
2014-06-13,204.15
2014-06-16,198.4
2014-06-17,204.2
2014-06-18,204.0
2014-06-19,202.15
2014-06-20,201.95
2014-06-23,202.15
2014-06-24,202.3
2014-06-25,201.65
2014-06-26,200.8
2014-06-27,199.4
2014-06-30,213.4
2014-07-01,213.75
2014-07-02,213.15
2014-07-03,220.6
2014-07-04,238.9
2014-07-07,245.3
2014-07-08,223.2
2014-07-09,215.8
2014-07-10,221.2
2014-07-11,215.2
2014-07-14,216.25
2014-07-15,223.45
2014-07-16,225.15
2014-07-17,231.15
2014-07-18,229.7
2014-07-21,229.55
2014-07-22,226.75
2014-07-23,221.75
2014-07-24,225.05
2014-07-25,219.95
2014-07-28,219.25
2014-07-30,220.4
2014-07-31,218.35
2014-08-01,216.7
2014-08-04,219.1
2014-08-05,217.35
2014-08-06,223.7
2014-08-07,226.05
2014-08-08,230.75
2014-08-11,236.7
2014-08-12,249.25
2014-08-13,260.6
2014-08-14,287.05
2014-08-18,290.05
2014-08-19,284.1
2014-08-20,297.75
2014-08-21,311.9
2014-08-22,311.45
2014-08-25,338.45
2014-08-26,326.8
2014-08-27,333.75
2014-08-28,321.35
2014-09-01,318.8
2014-09-02,312.9
2014-09-03,310.75
2014-09-04,307.55
2014-09-05,315.45
2014-09-08,319.6
2014-09-09,315.3
2014-09-10,319.0
2014-09-11,320.4
2014-09-12,314.1
2014-09-15,313.8
2014-09-16,294.9
2014-09-17,291.05
2014-09-18,299.1
2014-09-19,317.95
2014-09-22,318.95
2014-09-23,305.1
2014-09-24,287.8
2014-09-25,285.75
2014-09-26,288.1
2014-09-29,295.4
2014-09-30,287.95
2014-10-01,287.55
2014-10-07,291.85
2014-10-08,289.5
2014-10-09,295.55
2014-10-10,290.15
2014-10-13,292.7
2014-10-14,307.4
2014-10-16,305.0
2014-10-17,310.3
2014-10-20,314.65
2014-10-21,314.55
2014-10-22,314.95
2014-10-23,318.4
2014-10-27,316.6
2014-10-28,316.9
2014-10-29,311.8
2014-10-30,308.55
2014-10-31,306.6
2014-11-03,315.55
2014-11-05,327.9
2014-11-07,310.9
2014-11-10,308.3
2014-11-11,305.15
2014-11-12,305.0
2014-11-13,300.55
2014-11-14,296.15
2014-11-17,307.0
2014-11-18,312.45
2014-11-19,304.55
2014-11-20,302.05
2014-11-21,302.6
2014-11-24,305.8
2014-11-25,299.5
2014-11-26,300.15
2014-11-27,298.5
2014-11-28,302.2
2014-12-01,296.6
2014-12-02,292.3
2014-12-03,293.5
2014-12-04,293.05
2014-12-05,290.05
2014-12-08,286.3
2014-12-09,282.0
2014-12-10,276.7
2014-12-11,280.55
2014-12-12,271.85
2014-12-15,267.55
2014-12-16,266.7
2014-12-17,269.1
2014-12-18,286.65
2014-12-19,288.4
2014-12-22,302.0
2014-12-23,295.25
2014-12-24,294.15
2014-12-26,292.3
2014-12-29,290.65
2014-12-30,308.3
2014-12-31,310.85
2015-01-01,308.1
2015-01-02,307.9
2015-01-05,316.45
2015-01-06,304.65
2015-01-07,307.8
2015-01-08,314.2
2015-01-09,326.85
2015-01-12,321.0
2015-01-13,319.7
2015-01-14,330.8
2015-01-15,335.05
2015-01-16,331.3
2015-01-19,322.05
2015-01-20,320.65
2015-01-21,336.05
2015-01-22,341.2
2015-01-23,344.4
2015-01-27,335.4
2015-01-28,341.9
2015-01-29,330.0
2015-01-30,325.5
2015-02-02,313.1
2015-02-03,312.9
2015-02-04,309.6
2015-02-05,303.35
2015-02-06,297.5
2015-02-09,288.65
2015-02-10,285.15
2015-02-11,289.5
2015-02-12,296.7
2015-02-13,301.95
2015-02-16,301.5
2015-02-18,291.25
2015-02-19,288.1
2015-02-20,292.5
2015-02-23,285.65
2015-02-24,283.0
2015-02-25,279.15
2015-02-26,282.05
2015-02-27,289.75
2015-02-28,283.25
2015-03-02,269.4
2015-03-03,273.05
2015-03-04,272.0
2015-03-05,272.9
2015-03-09,272.2
2015-03-10,277.1
2015-03-11,272.85
2015-03-12,283.15
2015-03-13,274.55
2015-03-16,272.2
2015-03-17,274.7
2015-03-18,283.05
2015-03-19,281.35
2015-03-20,272.0
2015-03-23,269.15
2015-03-24,265.2
2015-03-25,263.95
2015-03-26,260.25
2015-03-27,260.55
2015-03-30,264.65
2015-03-31,261.3
2015-04-01,264.5
2015-04-06,273.55
2015-04-07,273.5
2015-04-08,277.75
2015-04-09,282.25
2015-04-10,282.4
2015-04-13,288.5
2015-04-15,284.6
2015-04-16,278.25
2015-04-17,274.6
2015-04-20,270.4
2015-04-21,274.35
2015-04-22,276.1
2015-04-23,274.65
2015-04-24,266.85
2015-04-27,267.15
2015-04-28,274.35
2015-04-29,281.15
2015-04-30,266.6
2015-05-04,272.0
2015-05-05,271.9
2015-05-06,266.25
2015-05-07,261.1
2015-05-08,263.75
2015-05-11,266.85
2015-05-12,262.2
2015-05-13,261.1
2015-05-14,260.5
2015-05-15,270.55
2015-05-18,274.35
2015-05-19,279.05
2015-05-20,274.65
2015-05-21,266.55
2015-05-22,267.6
2015-05-25,263.5
2015-05-26,262.7
2015-05-27,260.9
2015-05-28,262.2
2015-05-29,267.55
2015-06-01,263.25
2015-06-02,261.65
2015-06-03,256.0
2015-06-04,251.8
2015-06-05,250.4
2015-06-08,245.15
2015-06-09,248.65
2015-06-10,252.2
2015-06-11,250.65
2015-06-12,246.1
2015-06-15,248.2
2015-06-16,247.5
2015-06-17,247.9
2015-06-18,255.45
2015-06-19,251.15
2015-06-22,255.55
2015-06-23,255.85
2015-06-24,255.0
2015-06-25,252.45
2015-06-26,251.9
2015-06-29,248.05
2015-06-30,250.8
2015-07-01,249.15
2015-07-02,250.65
2015-07-03,251.05
2015-07-06,250.25
2015-07-07,258.9
2015-07-08,254.15
2015-07-09,255.3
2015-07-10,255.7
2015-07-13,256.4
2015-07-14,264.9
2015-07-15,267.4
2015-07-16,267.5
2015-07-17,268.75
2015-07-20,268.9
2015-07-21,265.7
2015-07-22,266.35
2015-07-23,262.75
2015-07-24,263.65
2015-07-27,262.1
2015-07-28,261.9
2015-07-29,262.95
2015-07-30,262.65
2015-07-31,262.9
2015-08-03,261.85
2015-08-04,273.05
2015-08-05,270.3
2015-08-06,273.5
2015-08-07,273.85
2015-08-10,280.75
2015-08-11,276.3
2015-08-12,264.3
2015-08-13,268.65
2015-08-14,273.95
2015-08-17,277.15
2015-08-18,275.9
2015-08-19,276.65
2015-08-20,274.95
2015-08-21,270.5
2015-08-24,253.9
2015-08-25,263.15
2015-08-26,265.05
2015-08-27,275.75
2015-08-28,275.75
2015-08-31,276.05
2015-09-01,275.2
2015-09-02,274.9
2015-09-03,280.6
2015-09-04,275.2
2015-09-07,279.35
2015-09-08,270.4
2015-09-09,271.4
2015-09-10,268.4
2015-09-11,273.85
2015-09-14,274.85
2015-09-15,277.0
2015-09-16,277.05
2015-09-18,274.15
2015-09-21,276.4
2015-09-22,278.1
2015-09-23,286.05
2015-09-24,290.4
2015-09-28,286.95
2015-09-29,288.0
2015-09-30,290.6
2015-10-01,286.5
2015-10-05,285.8
2015-10-06,289.95
2015-10-07,298.25
2015-10-08,300.2
2015-10-09,301.2
2015-10-12,300.0
2015-10-13,301.45
2015-10-14,300.7
2015-10-15,300.35
2015-10-16,305.7
2015-10-19,304.5
2015-10-20,300.55
2015-10-21,298.15
2015-10-23,297.75
2015-10-26,312.55
2015-10-27,315.55
2015-10-28,316.4
2015-10-29,327.8
2015-10-30,324.65
2015-11-02,330.15
2015-11-03,330.55
2015-11-04,330.0
2015-11-05,330.0
2015-11-06,332.4
2015-11-09,335.15
2015-11-10,340.15
2015-11-11,343.65
2015-11-13,358.4
2015-11-16,384.7
2015-11-17,380.95
2015-11-18,379.9
2015-11-19,394.8
2015-11-20,390.05
2015-11-23,384.2
2015-11-24,381.05
2015-11-26,371.35
2015-11-27,361.8
2015-11-30,358.8
2015-12-01,356.6
2015-12-02,358.55
2015-12-03,365.6
