Date,BANARBEADS
2013-06-28,31.45
2013-10-14,29.9
2013-12-06,30.5
2013-12-09,30.0
2013-12-31,28.5
2014-01-06,27.1
2014-01-13,25.75
2014-01-14,25.05
2014-01-15,24.8
2014-01-16,24.8
2014-01-17,24.2
2014-01-21,25.4
2014-01-23,25.25
2014-01-27,24.05
2014-01-28,23.15
2014-01-31,24.3
2014-02-07,25.5
2014-02-14,26.6
2014-02-20,27.65
2014-02-21,28.65
2014-03-18,27.25
2014-03-19,26.9
2014-03-20,25.95
2014-03-21,24.9
2014-03-26,25.65
2014-03-27,24.6
2014-03-28,25.8
2014-03-31,26.8
2014-04-01,26.75
2014-04-02,28.0
2014-04-03,27.95
2014-04-04,29.2
2014-04-07,29.25
2014-04-09,30.7
2014-04-10,32.2
2014-04-11,33.8
2014-04-15,32.15
2014-04-16,31.25
2014-04-17,30.75
2014-04-22,30.75
2014-04-23,31.45
2014-04-25,32.3
2014-05-12,31.95
2014-05-13,28.9
2014-05-14,29.8
2014-05-15,27.7
2014-05-16,29.0
2014-05-19,26.6
2014-05-20,29.25
2014-05-21,32.15
2014-05-22,33.85
2014-05-23,35.0
2014-05-26,35.55
2014-05-27,34.95
2014-05-28,36.15
2014-05-29,36.4
2014-05-30,36.3
2014-06-02,36.2
2014-06-03,37.2
2014-06-04,35.35
2014-06-05,36.4
2014-06-06,36.0
2014-06-09,34.7
2014-06-10,35.85
2014-06-11,35.1
2014-06-12,35.1
2014-06-13,34.4
2014-06-16,34.45
2014-06-17,35.85
2014-06-18,35.35
2014-06-19,36.2
2014-06-20,35.45
2014-06-23,36.45
2014-06-24,37.15
2014-06-25,38.3
2014-06-26,37.5
2014-06-27,34.05
2014-06-30,33.35
2014-07-01,34.6
2014-07-02,35.0
2014-07-03,34.95
2014-07-04,33.95
2014-07-07,34.1
2014-07-08,33.55
2014-07-09,31.25
2014-07-11,31.5
2014-07-15,30.1
2014-07-17,32.1
2014-07-18,33.9
2014-07-21,32.15
2014-07-23,34.5
2014-07-24,36.5
2014-07-25,36.5
2014-07-28,36.4
2014-07-30,36.0
2014-07-31,38.9
2014-08-01,37.0
2014-08-04,39.35
2014-08-05,38.8
2014-08-06,34.95
2014-08-07,38.6
2014-08-08,37.3
2014-08-12,36.0
2014-08-13,38.65
2014-08-14,35.65
2014-08-18,38.1
2014-08-19,38.35
2014-08-20,35.4
2014-08-21,36.0
2014-08-22,38.0
2014-08-25,38.45
2014-08-26,38.15
2014-08-27,35.65
2014-09-01,34.5
2014-09-02,37.5
2014-09-03,37.95
2014-09-04,35.15
2014-09-05,36.95
2014-09-08,38.0
2014-09-09,45.6
2014-09-10,54.45
2014-09-11,54.65
2014-09-12,53.45
2014-09-15,52.05
2014-09-16,46.85
2014-09-17,48.15
2014-09-18,50.95
2014-09-19,49.7
