Date,UTISENSETF
2015-09-03,258.49
2015-09-04,255.89
2015-09-07,252.0
2015-09-08,251.5
2015-09-09,255.25
2015-09-10,254.95
2015-09-11,258.4
2015-09-14,258.7
2015-09-15,256.65
2015-09-16,257.55
2015-09-18,261.3
2015-09-21,262.85
2015-09-22,257.9
2015-09-23,257.65
2015-09-24,257.86
2015-09-28,256.7
2015-09-29,255.35
2015-09-30,259.5
2015-10-01,261.45
2015-10-05,264.84
2015-10-06,268.99
2015-10-07,268.58
2015-10-08,267.06
2015-10-09,268.94
2015-10-12,269.9
2015-10-13,268.0
2015-10-14,267.15
2015-10-15,268.0
2015-10-16,270.5
2015-10-19,273.12
2015-10-20,272.0
2015-10-21,274.85
2015-10-23,266.51
2015-10-26,273.95
2015-10-27,299.95
2015-10-28,293.5
2015-10-30,261.0
2015-11-02,267.5
2015-11-03,267.8
2015-11-04,265.0
2015-11-05,263.8
2015-11-06,264.55
2015-11-10,258.71
2015-11-13,257.55
2015-11-16,257.98
2015-11-17,258.35
2015-11-18,259.2
2015-11-20,260.45
2015-11-23,260.0
2015-11-24,258.95
2015-11-27,259.3
2015-11-30,263.4
2015-12-01,261.7
2015-12-03,258.8
2015-12-04,257.97
2015-12-07,257.35
2015-12-08,254.16
2015-12-09,252.5
2015-12-10,252.6
2015-12-11,251.8
2015-12-14,249.85
2015-12-17,255.75
2015-12-18,258.35
2015-12-21,257.56
2015-12-22,257.5
2015-12-23,259.85
2015-12-28,261.95
2015-12-30,261.9
2015-12-31,264.8
2016-01-01,263.4
2016-01-04,262.05
2016-01-05,256.6
2016-01-06,255.25
2016-01-07,250.95
2016-01-08,251.65
2016-01-11,249.8
2016-01-12,247.6
2016-01-13,246.12
2016-01-14,249.5
2016-01-15,246.47
2016-01-18,245.0
2016-01-19,246.07
2016-01-20,243.47
2016-01-22,245.95
2016-01-25,246.55
2016-01-27,247.8
2016-01-29,249.75
2016-02-01,248.05
2016-02-02,249.9
2016-02-03,245.8
2016-02-04,245.0
2016-02-08,246.2
2016-02-09,242.8
2016-02-10,239.9
2016-02-11,232.0
2016-02-12,229.92
2016-02-15,236.9
2016-02-16,237.55
2016-02-17,231.65
2016-02-19,236.85
2016-02-23,235.4
2016-02-24,233.5
2016-02-25,233.04
2016-02-26,234.2
2016-02-29,233.35
2016-03-01,239.23
2016-03-02,242.25
2016-03-03,246.99
2016-03-04,246.5
2016-03-08,247.4
2016-03-09,248.0
2016-03-10,248.0
2016-03-11,248.55
2016-03-14,249.0
2016-03-15,246.65
2016-03-16,248.0
2016-03-17,250.7
2016-03-18,249.5
2016-03-22,254.7
2016-03-23,253.7
2016-03-29,250.9
2016-03-30,252.2
2016-03-31,253.85
2016-04-04,255.05
2016-04-05,252.8
2016-04-06,249.6
2016-04-07,248.0
2016-04-08,247.35
2016-04-11,251.4
2016-04-13,258.05
2016-04-18,260.9
2016-04-20,257.8
2016-04-21,262.55
2016-04-22,259.6
2016-04-25,259.0
2016-04-26,261.97
2016-04-27,263.05
2016-04-28,263.1
2016-05-02,254.55
2016-05-03,252.59
2016-05-04,251.85
2016-05-05,253.49
2016-05-06,252.35
2016-05-09,257.75
2016-05-10,260.1
2016-05-11,258.95
2016-05-12,260.5
2016-05-13,257.3
2016-05-16,256.35
2016-05-18,258.0
2016-05-20,257.9
2016-05-23,254.5
2016-05-25,258.95
2016-05-26,264.0
2016-05-27,266.35
2016-05-30,268.09
2016-05-31,267.8
2016-06-01,269.75
2016-06-02,270.07
2016-06-03,270.25
2016-06-06,269.0
2016-06-07,271.95
2016-06-08,271.4
2016-06-09,269.4
2016-06-10,267.35
2016-06-13,266.25
2016-06-14,264.85
2016-06-15,266.25
2016-06-16,264.8
2016-06-17,267.45
2016-06-20,268.7
2016-06-21,270.65
2016-06-22,268.85
2016-06-23,272.1
2016-06-24,266.55
2016-06-27,265.15
2016-06-28,267.2
