Date,MAHLIFE
2013-01-01,419.2
2013-01-02,423.15
2013-01-03,424.4
2013-01-04,420.15
2013-01-07,418.15
2013-01-08,418.25
2013-01-09,416.0
2013-01-10,402.9
2013-01-11,393.6
2013-01-14,403.85
2013-01-15,412.25
2013-01-16,410.15
2013-01-17,412.0
2013-01-18,406.3
2013-01-21,417.9
2013-01-22,415.45
2013-01-23,414.5
2013-01-24,406.85
2013-01-25,408.3
2013-01-28,403.25
2013-01-29,406.2
2013-01-30,409.75
2013-01-31,411.85
2013-02-01,409.7
2013-02-04,408.05
2013-02-05,406.9
2013-02-06,410.45
2013-02-07,409.5
2013-02-08,408.8
2013-02-11,407.4
2013-02-12,413.15
2013-02-13,412.9
2013-02-14,410.35
2013-02-15,410.3
2013-02-18,409.75
2013-02-19,412.05
2013-02-20,412.75
2013-02-21,412.95
2013-02-22,410.15
2013-02-25,413.45
2013-02-26,407.75
2013-02-27,409.4
2013-02-28,404.75
2013-03-01,403.85
2013-03-04,403.1
2013-03-05,403.25
2013-03-06,401.65
2013-03-07,403.65
2013-03-08,404.6
2013-03-11,401.15
2013-03-12,403.55
2013-03-13,401.65
2013-03-14,395.55
2013-03-15,404.5
2013-03-18,403.0
2013-03-19,399.65
2013-03-20,395.7
2013-03-21,390.1
2013-03-22,376.7
2013-03-25,380.4
2013-03-26,381.15
2013-03-28,378.95
2013-04-01,390.85
2013-04-02,398.25
2013-04-03,391.95
2013-04-04,390.45
2013-04-05,385.65
2013-04-08,386.5
2013-04-09,380.55
2013-04-10,376.55
2013-04-11,376.7
2013-04-12,369.75
2013-04-15,370.3
2013-04-16,371.5
2013-04-17,379.9
2013-04-18,377.6
2013-04-22,379.0
2013-04-23,386.55
2013-04-25,400.8
2013-04-26,408.5
2013-04-29,414.8
2013-04-30,419.15
2013-05-02,419.95
2013-05-03,417.35
2013-05-06,422.15
2013-05-07,413.85
2013-05-08,410.55
2013-05-09,408.4
2013-05-10,407.7
2013-05-11,406.65
2013-05-13,405.5
2013-05-14,397.75
2013-05-15,414.05
2013-05-16,405.1
2013-05-17,407.25
