Date,KAJARIACER
2013-01-01,234.25
2013-01-02,234.85
2013-01-03,236.2
2013-01-04,234.85
2013-01-07,231.2
2013-01-08,234.9
2013-01-09,235.7
2013-01-10,235.0
2013-01-11,233.2
2013-01-14,228.35
2013-01-15,229.9
2013-01-16,230.2
2013-01-17,228.2
2013-01-18,224.5
2013-01-21,210.3
2013-01-22,214.65
2013-01-23,213.2
2013-01-24,211.7
2013-01-25,214.85
2013-01-28,212.25
2013-01-29,211.2
2013-01-30,211.75
2013-01-31,213.3
2013-02-01,214.0
2013-02-04,211.1
2013-02-05,209.2
2013-02-06,209.4
2013-02-07,209.8
2013-02-08,208.1
2013-02-11,209.05
2013-02-12,203.8
2013-02-13,207.2
2013-02-14,204.0
2013-02-15,203.35
2013-02-18,201.05
2013-02-19,205.0
2013-02-20,203.3
2013-02-21,203.4
2013-02-22,203.85
2013-02-25,200.2
2013-02-26,200.05
2013-02-27,197.05
2013-02-28,199.65
2013-03-01,198.8
2013-03-04,197.45
2013-03-05,197.7
2013-03-06,197.95
2013-03-07,199.95
2013-03-08,197.2
2013-03-11,198.7
2013-03-12,198.8
2013-03-13,195.55
2013-03-14,186.5
2013-03-15,186.1
2013-03-18,183.9
2013-03-19,183.95
2013-03-20,187.05
2013-03-21,183.85
2013-03-22,180.2
2013-03-25,184.8
2013-03-26,187.75
2013-03-28,188.9
2013-04-01,188.35
2013-04-02,190.45
2013-04-03,191.55
2013-04-04,187.15
2013-04-05,187.65
2013-04-08,189.95
2013-04-09,184.85
2013-04-10,184.25
2013-04-11,183.95
2013-04-12,182.25
2013-04-15,180.9
2013-04-16,181.9
2013-04-17,179.45
2013-04-18,180.45
2013-04-22,184.7
2013-04-23,186.8
2013-04-25,192.05
2013-04-26,196.9
2013-04-29,203.3
2013-04-30,207.3
2013-05-02,221.1
2013-05-03,218.3
2013-05-06,224.7
2013-05-07,229.05
2013-05-08,234.85
2013-05-09,232.3
2013-05-10,232.95
2013-05-11,232.75
2013-05-13,226.8
2013-05-14,225.8
2013-05-15,234.05
2013-05-16,227.55
2013-05-17,228.2
2013-05-20,222.75
2013-05-21,226.25
2013-05-22,228.05
2013-05-23,225.7
2013-05-24,228.35
2013-05-27,229.05
2013-05-28,230.35
2013-05-29,234.45
2013-05-30,235.7
2013-05-31,244.3
2013-06-03,244.3
2013-06-04,249.9
2013-06-05,246.65
2013-06-06,251.95
2013-06-07,248.75
2013-06-10,250.65
2013-06-11,247.7
2013-06-12,246.45
2013-06-13,239.4
2013-06-14,249.8
2013-06-17,243.3
2013-06-18,240.5
2013-06-19,238.45
2013-06-20,232.7
2013-06-21,237.25
2013-06-24,237.5
2013-06-25,236.0
2013-06-26,238.45
2013-06-27,238.8
2013-06-28,237.45
2013-07-01,235.95
2013-07-02,238.9
2013-07-03,234.4
2013-07-04,237.0
2013-07-05,231.9
2013-07-08,235.25
2013-07-09,233.5
2013-07-10,233.15
2013-07-11,241.5
2013-07-12,248.35
2013-07-15,250.45
2013-07-16,248.15
2013-07-17,244.95
2013-07-18,247.3
2013-07-19,251.65
2013-07-22,257.3
2013-07-23,255.15
2013-07-24,254.75
2013-07-25,254.0
2013-07-26,252.2
2013-07-29,252.05
2013-07-30,237.45
2013-07-31,240.9
2013-08-01,233.35
2013-08-02,234.5
2013-08-05,235.6
2013-08-06,226.5
2013-08-07,229.25
2013-08-08,235.0
2013-08-12,232.65
2013-08-13,232.0
2013-08-14,235.55
2013-08-16,222.0
2013-08-19,224.15
2013-08-20,217.1
2013-08-21,217.45
2013-08-22,216.4
2013-08-23,218.75
2013-08-26,212.15
2013-08-27,212.35
2013-08-28,206.55
2013-08-29,209.8
2013-08-30,225.2
2013-09-02,226.9
2013-09-03,224.9
2013-09-04,224.55
2013-09-05,228.15
2013-09-06,225.45
2013-09-10,231.0
2013-09-11,224.8
2013-09-12,218.85
2013-09-13,219.7
2013-09-16,217.35
2013-09-17,214.95
2013-09-18,223.05
2013-09-19,230.05
2013-09-20,233.45
2013-09-23,233.25
2013-09-24,235.1
2013-09-25,241.95
2013-09-26,248.0
2013-09-27,248.4
