Date,KANORICHEM
2013-01-01,39.15
2013-01-02,39.0
2013-01-03,39.0
2013-01-04,39.0
2013-01-07,39.0
2013-01-08,39.45
2013-01-09,39.2
2013-01-10,39.5
2013-01-11,39.5
2013-01-14,39.5
2013-01-15,39.05
2013-01-16,39.0
2013-01-17,39.0
2013-01-18,39.0
2013-01-21,39.0
2013-01-22,39.0
2013-01-23,38.7
2013-01-24,38.3
2013-01-25,39.0
2013-01-28,38.75
2013-01-29,38.55
2013-01-30,39.0
2013-01-31,38.8
2013-02-01,39.25
2013-02-04,39.0
2013-02-05,39.0
2013-02-06,39.25
2013-02-07,39.2
2013-02-08,38.7
2013-02-11,38.25
2013-02-12,37.3
2013-02-13,37.5
2013-02-14,37.9
2013-02-15,37.0
2013-02-18,37.35
2013-02-19,37.5
2013-02-20,36.4
2013-02-21,36.2
2013-02-22,36.5
2013-02-25,36.65
2013-02-26,37.0
2013-02-27,37.5
2013-02-28,37.5
2013-03-01,35.5
2013-03-04,33.75
2013-03-05,33.5
2013-03-06,33.5
2013-03-07,34.55
2013-03-08,34.65
2013-03-11,34.9
2013-03-12,34.15
2013-03-13,33.25
2013-03-14,32.8
2013-03-15,33.45
2013-03-18,32.45
2013-03-19,31.4
2013-03-20,30.5
2013-03-21,30.1
2013-03-22,29.45
2013-03-25,29.8
2013-03-26,29.25
2013-03-28,31.95
2013-04-01,30.5
2013-04-02,31.75
2013-04-03,31.35
2013-04-04,30.9
2013-04-05,29.65
2013-04-08,31.0
2013-04-09,31.3
2013-04-10,30.7
2013-04-11,31.9
2013-04-12,31.0
2013-04-15,32.0
2013-04-16,31.45
2013-04-17,31.0
2013-04-18,30.15
2013-04-22,30.65
2013-04-23,30.25
2013-04-25,29.85
2013-04-26,30.4
2013-04-29,29.75
2013-04-30,31.3
2013-05-02,30.0
2013-05-03,30.05
2013-05-06,29.95
2013-05-07,30.85
2013-05-08,30.6
2013-05-09,28.4
2013-05-10,28.8
2013-05-11,28.7
2013-05-13,29.05
2013-05-14,29.0
2013-05-15,29.25
2013-05-16,29.2
2013-05-17,28.6
2013-05-20,29.5
2013-05-21,29.45
2013-05-22,28.5
2013-05-23,28.3
2013-05-24,28.35
2013-05-27,29.5
2013-05-28,29.65
2013-05-29,29.5
2013-05-30,29.0
2013-05-31,28.85
