Date,INDOTHAI
2013-01-01,11.05
2013-01-02,11.45
2013-01-03,11.5
2013-01-04,11.2
2013-01-07,13.35
2013-01-08,16.0
2013-01-09,15.85
2013-01-10,14.85
2013-01-11,13.95
2013-01-14,13.15
2013-01-15,12.5
2013-01-16,12.35
2013-01-17,12.65
2013-03-01,11.2
2013-03-04,11.0
2013-03-05,10.95
2013-03-06,10.75
2013-03-07,10.95
2013-03-08,12.0
2013-03-11,11.3
2013-03-12,11.1
2013-03-13,11.7
2013-03-14,11.35
2013-03-15,11.05
2013-03-18,11.25
2013-03-19,11.15
2013-03-20,10.75
2013-03-21,10.3
2013-03-22,10.15
2013-03-25,10.9
2013-03-26,10.2
2013-03-28,10.05
2013-04-01,10.3
2013-04-02,10.45
2013-04-03,10.4
2013-04-04,10.35
2013-04-05,10.3
2013-04-08,11.25
2013-04-09,11.4
2013-04-10,11.2
2013-04-11,10.75
2013-04-12,10.6
2013-04-15,10.85
2013-04-16,10.85
2013-04-17,11.0
2013-04-18,11.2
2013-04-22,11.0
2013-04-23,10.95
2013-04-25,11.5
2013-04-26,11.0
2013-04-29,10.95
2013-04-30,10.95
2013-05-02,11.3
2013-05-03,11.55
2013-05-06,11.5
2013-05-07,11.25
2013-05-08,11.65
2013-05-09,11.35
2013-05-10,11.7
2013-05-11,13.95
2013-05-13,13.3
2013-05-14,14.2
2013-05-15,13.85
2013-05-16,14.0
2013-05-17,14.0
2013-05-20,13.25
2013-05-21,13.75
2013-05-22,13.95
2013-05-23,13.0
2013-05-24,14.45
2013-05-27,13.85
2013-05-28,13.8
2013-05-29,13.7
2013-05-30,13.15
2013-05-31,13.05
2013-06-03,14.45
2013-06-04,13.0
2013-06-05,13.1
2013-06-06,13.15
2013-06-07,12.85
2013-06-10,12.65
2013-06-11,12.15
2013-06-12,12.65
2013-06-13,12.0
2013-06-14,12.5
2013-06-17,12.75
2013-06-18,12.15
2013-06-19,12.15
2013-06-20,11.8
2013-06-21,11.3
2013-06-24,11.7
2013-06-25,11.4
2013-06-26,11.05
2013-06-27,11.65
2013-06-28,11.85
2013-07-01,11.6
2013-07-02,11.6
2013-07-03,11.95
2013-07-04,12.0
2013-07-05,12.25
2013-07-08,13.05
2013-07-09,12.5
2013-07-10,12.7
2013-07-11,12.9
2013-07-12,12.4
2013-07-15,12.85
2013-07-16,12.5
2013-07-17,12.4
2013-07-18,12.5
2013-07-19,12.05
2013-07-22,12.9
2013-07-23,12.3
2013-07-24,12.3
2013-07-25,12.8
2013-07-26,12.25
2013-07-29,11.95
2013-07-30,11.3
2013-07-31,12.35
2013-08-01,11.55
2013-08-02,11.75
2013-08-05,9.85
2013-08-06,9.1
2013-08-07,9.1
2013-08-08,9.3
2013-08-12,9.25
2013-08-13,9.1
2013-08-14,9.8
2013-08-16,9.15
2013-08-19,9.65
2013-08-20,9.15
2013-08-21,9.5
2013-08-22,9.25
2013-08-23,9.35
2013-08-26,9.35
2013-08-27,10.3
2013-08-28,10.3
2013-08-29,10.0
2013-08-30,9.7
2013-09-02,10.1
2013-09-03,9.55
2013-09-04,9.9
2013-09-05,10.0
2013-09-06,10.25
2013-09-10,10.7
2013-09-11,11.25
2013-09-12,10.9
2013-09-13,11.4
2013-09-16,12.4
2013-09-17,11.65
2013-09-18,11.25
2013-09-19,12.05
2013-09-20,11.3
2013-09-23,11.6
2013-09-24,11.9
2013-09-25,11.3
2013-09-26,11.0
2013-09-27,11.85
2013-09-30,11.65
2013-10-01,11.95
2013-10-03,11.5
2013-10-04,11.45
2013-10-07,11.45
2013-10-08,11.35
2013-10-09,11.9
2013-10-10,11.55
2013-10-11,12.7
2013-10-14,12.65
2013-10-15,11.75
