Date,INFRATEL
2013-01-01,197.75
2013-01-02,201.5
2013-01-03,204.35
2013-01-04,207.15
2013-01-07,207.4
2013-01-08,202.95
2013-01-09,205.05
2013-01-10,205.1
2013-01-11,205.45
2013-01-14,207.8
2013-01-15,205.25
2013-01-16,204.4
2013-01-17,204.95
2013-01-18,205.0
2013-01-21,205.05
2013-01-22,205.05
2013-01-23,204.6
2013-01-24,206.1
2013-01-25,208.3
2013-01-28,210.3
2013-01-29,212.15
2013-01-30,209.95
2013-01-31,204.25
2013-02-01,206.0
2013-02-04,209.95
2013-02-05,209.85
2013-02-06,210.0
2013-02-07,207.55
2013-02-08,206.95
2013-02-11,203.35
2013-02-12,200.35
2013-02-13,195.1
2013-02-14,192.8
2013-02-15,188.15
2013-02-18,191.9
2013-02-19,191.6
2013-02-20,196.05
2013-02-21,194.8
2013-02-22,191.6
2013-02-25,192.05
2013-02-26,192.05
2013-02-27,184.55
2013-02-28,191.9
2013-03-01,190.8
2013-03-04,192.25
2013-03-05,195.6
2013-03-06,196.95
2013-03-07,195.95
2013-03-08,193.7
2013-03-11,193.3
2013-03-12,189.85
2013-03-13,189.9
2013-03-14,189.8
2013-03-15,185.1
2013-03-18,183.5
2013-03-19,181.9
2013-03-20,179.9
2013-03-21,173.9
2013-03-22,173.1
2013-03-25,170.25
2013-03-26,170.0
2013-03-28,178.95
2013-04-01,179.15
2013-04-02,183.9
2013-04-03,181.35
2013-04-04,180.0
2013-04-05,181.0
2013-04-08,177.5
2013-04-09,177.1
2013-04-10,178.25
2013-04-11,175.1
2013-04-12,171.15
2013-04-15,164.1
2013-04-16,164.2
2013-04-17,169.95
2013-04-18,170.25
2013-04-22,179.9
2013-04-23,175.1
2013-04-25,176.15
2013-04-26,178.5
2013-04-29,178.8
2013-04-30,177.8
2013-05-02,176.15
2013-05-03,175.65
2013-05-06,175.1
2013-05-07,175.6
2013-05-08,177.05
2013-05-09,177.8
2013-05-10,176.5
2013-05-11,176.5
2013-05-13,173.9
2013-05-14,176.1
2013-05-15,176.3
2013-05-16,174.35
2013-05-17,174.7
2013-05-20,174.55
2013-05-21,175.7
2013-05-22,172.0
2013-05-23,169.95
2013-05-24,174.8
2013-05-27,173.0
2013-05-28,172.2
2013-05-29,171.15
2013-05-30,169.55
2013-05-31,170.5
2013-06-03,168.35
2013-06-04,169.7
2013-06-05,169.1
2013-06-06,168.75
2013-06-07,165.3
2013-06-10,162.7
2013-06-11,153.9
2013-06-12,152.25
2013-06-13,153.75
2013-06-14,155.0
2013-06-17,152.1
2013-06-18,151.8
2013-06-19,154.9
2013-06-20,144.95
2013-06-21,147.15
2013-06-24,148.45
2013-06-25,142.35
2013-06-26,143.9
2013-06-27,148.9
2013-06-28,152.9
2013-07-01,153.05
2013-07-02,152.0
2013-07-03,153.95
2013-07-04,153.75
2013-07-05,152.5
2013-07-08,150.95
2013-07-09,150.9
2013-07-10,151.9
2013-07-11,155.85
2013-07-12,157.05
2013-07-15,157.0
2013-07-16,155.75
2013-07-17,154.8
2013-07-18,156.1
2013-07-19,154.85
2013-07-22,153.3
2013-07-23,151.5
2013-07-24,150.3
2013-07-25,149.1
2013-07-26,150.1
2013-07-29,145.05
2013-07-30,149.4
2013-07-31,148.8
2013-08-01,148.4
2013-08-02,148.8
2013-08-05,149.9
2013-08-06,146.5
2013-08-07,147.1
2013-08-08,150.2
2013-08-12,150.7
2013-08-13,149.85
2013-08-14,150.1
2013-08-16,150.0
2013-08-19,148.8
2013-08-20,146.4
2013-08-21,139.1
2013-08-22,140.4
2013-08-23,138.25
2013-08-26,132.3
2013-08-27,130.65
2013-08-28,134.25
2013-08-29,134.75
2013-08-30,139.2
2013-09-02,138.7
2013-09-03,137.45
2013-09-04,138.4
2013-09-05,140.65
2013-09-06,144.55
2013-09-10,146.75
2013-09-11,152.05
2013-09-12,154.8
2013-09-13,156.2
2013-09-16,156.5
2013-09-17,158.05
2013-09-18,159.05
2013-09-19,165.1
2013-09-20,162.45
2013-09-23,158.95
2013-09-24,159.5
2013-09-25,160.1
2013-09-26,159.3
2013-09-27,159.75
2013-09-30,156.4
2013-10-01,152.55
2013-10-03,155.05
2013-10-04,157.55
2013-10-07,159.1
2013-10-08,157.8
2013-10-09,157.95
2013-10-10,159.45
2013-10-11,157.55
2013-10-14,159.95
2013-10-15,160.1
2013-10-17,159.95
2013-10-18,160.05
2013-10-21,164.45
2013-10-22,161.9
2013-10-23,160.1
2013-10-24,159.05
2013-10-25,157.9
2013-10-28,153.8
2013-10-29,151.5
2013-10-30,153.6
2013-10-31,164.85
2013-11-01,162.1
2013-11-03,161.1
2013-11-05,160.95
2013-11-06,165.2
2013-11-07,168.0
2013-11-08,167.3
2013-11-11,159.75
2013-11-12,154.25
2013-11-13,155.3
2013-11-14,157.8
2013-11-18,159.0
2013-11-19,157.45
2013-11-20,158.1
2013-11-21,158.9
2013-11-22,159.15
2013-11-25,162.05
2013-11-26,160.6
2013-11-27,159.05
2013-11-28,156.15
2013-11-29,158.15
2013-12-02,158.45
2013-12-03,160.0
2013-12-04,163.65
2013-12-05,166.0
2013-12-06,172.1
2013-12-09,176.95
2013-12-10,179.85
2013-12-11,184.9
2013-12-12,179.0
2013-12-13,173.55
2013-12-16,173.35
2013-12-17,175.5
2013-12-18,175.1
2013-12-19,177.05
2013-12-20,175.7
2013-12-23,169.85
2013-12-24,168.45
2013-12-26,169.0
2013-12-27,168.65
2013-12-30,169.15
2013-12-31,168.55
2014-01-01,168.15
2014-01-02,171.5
2014-01-03,174.8
2014-01-06,176.05
2014-01-07,174.8
2014-01-08,176.95
2014-01-09,177.2
2014-01-10,177.75
2014-01-13,176.4
2014-01-14,175.25
2014-01-15,174.9
2014-01-16,172.8
2014-01-17,171.9
2014-01-20,167.6
2014-01-21,166.95
2014-01-22,165.4
2014-01-23,168.05
2014-01-24,174.1
2014-01-27,167.75
2014-01-28,171.75
2014-01-29,174.0
2014-01-30,171.25
2014-01-31,171.95
2014-02-03,164.45
2014-02-04,165.25
2014-02-05,165.85
2014-02-06,169.5
2014-02-07,167.05
2014-02-10,165.75
2014-02-11,167.0
2014-02-12,167.95
2014-02-13,168.35
2014-02-14,172.75
2014-02-17,170.0
2014-02-18,170.6
2014-02-19,171.25
2014-02-20,170.15
2014-02-21,172.4
2014-02-24,171.5
2014-02-25,171.85
2014-02-26,171.95
2014-02-28,179.8
2014-03-03,187.6
2014-03-04,190.3
2014-03-05,201.5
2014-03-06,206.6
2014-03-07,205.45
2014-03-10,211.9
2014-03-11,210.9
2014-03-12,203.0
2014-03-13,199.85
2014-03-14,196.15
2014-03-18,199.9
2014-03-19,199.3
2014-03-20,196.2
2014-03-21,199.65
2014-03-22,196.5
2014-03-24,197.9
2014-03-25,199.7
2014-03-26,207.05
2014-03-27,209.5
2014-03-28,204.0
2014-03-31,203.4
2014-04-01,203.75
2014-04-02,203.05
2014-04-03,199.1
2014-04-04,199.8
2014-04-07,200.25
2014-04-09,195.95
2014-04-10,195.95
2014-04-11,195.4
2014-04-15,195.6
2014-04-16,195.7
2014-04-17,195.15
2014-04-21,198.35
2014-04-22,198.95
2014-04-23,203.7
2014-04-25,211.4
2014-04-28,213.3
2014-04-29,214.95
2014-04-30,215.65
2014-05-02,219.3
2014-05-05,213.55
2014-05-06,222.6
2014-05-07,224.65
2014-05-08,224.5
2014-05-09,223.75
2014-05-12,221.9
2014-05-13,223.65
2014-05-14,236.3
2014-05-15,230.9
2014-05-16,233.15
2014-05-19,234.95
2014-05-20,233.75
2014-05-21,234.9
2014-05-22,239.05
2014-05-23,235.85
2014-05-26,238.9
2014-05-27,231.95
2014-05-28,239.85
2014-05-29,234.55
2014-05-30,231.5
2014-06-02,236.15
2014-06-03,234.05
2014-06-04,244.95
2014-06-05,244.9
2014-06-06,244.75
2014-06-09,245.0
2014-06-10,259.95
2014-06-11,259.7
2014-06-12,259.95
2014-06-13,251.35
2014-06-16,246.15
2014-06-17,252.55
