Date,SANGAMIND
2013-01-01,50.45
2013-01-02,51.2
2013-01-03,50.9
2013-01-04,51.65
2013-01-07,51.4
2013-01-08,53.7
2013-01-09,54.7
2013-01-10,54.0
2013-01-11,54.9
2013-01-14,54.95
2013-01-15,54.9
2013-01-16,54.15
2013-01-17,55.4
2013-01-18,55.6
2013-01-21,55.2
2013-01-22,54.0
2013-01-23,55.2
2013-01-24,55.1
2013-01-25,54.95
2013-01-28,53.55
2013-01-29,52.7
2013-01-30,53.65
2013-01-31,53.55
2013-02-01,53.7
2013-02-04,51.5
2013-02-05,52.5
2013-02-06,50.9
2013-02-07,49.65
2013-02-08,50.35
2013-02-11,49.1
2013-02-12,51.7
2013-02-13,50.7
2013-02-14,49.4
2013-02-15,49.25
2013-02-18,49.9
2013-02-19,50.45
2013-02-20,50.2
2013-02-21,49.15
2013-02-22,49.25
2013-02-25,48.2
2013-02-26,44.95
2013-02-27,43.1
2013-02-28,39.3
2013-03-01,39.0
2013-03-04,36.55
2013-03-05,38.2
2013-03-06,38.9
2013-03-07,38.35
2013-03-08,37.8
2013-03-11,37.55
2013-03-12,36.25
2013-03-13,37.0
2013-03-14,36.75
2013-03-15,36.4
2013-03-18,36.6
2013-03-19,35.6
2013-03-20,36.35
2013-03-21,36.55
2013-03-22,35.85
2013-03-25,35.3
2013-03-26,35.35
2013-03-28,33.55
2013-04-01,37.8
2013-04-02,40.25
2013-04-03,39.3
2013-04-04,38.2
2013-04-05,39.45
2013-04-08,39.7
2013-04-09,39.2
2013-04-10,39.85
2013-04-11,36.65
2013-04-12,36.6
2013-04-15,34.2
2013-04-16,35.1
2013-04-17,35.1
2013-04-18,35.45
2013-04-22,35.0
2013-04-23,35.15
2013-04-25,36.55
2013-04-26,37.95
2013-04-29,38.6
2013-04-30,40.05
2013-05-02,42.75
2013-05-03,41.45
2013-05-06,41.1
2013-05-07,42.45
2013-05-08,44.75
2013-05-09,47.05
2013-05-10,45.9
2013-05-11,47.7
2013-05-13,45.55
2013-05-14,45.35
2013-05-15,47.7
2013-05-16,46.55
2013-05-17,46.8
2013-05-20,45.35
2013-05-21,44.25
2013-05-22,44.85
2013-05-23,42.8
2013-05-24,43.85
2013-05-27,43.65
2013-05-28,44.9
2013-05-29,44.9
2013-05-30,44.7
2013-05-31,45.0
2013-06-03,46.8
2013-06-04,47.1
2013-06-05,46.85
2013-06-06,47.7
2013-06-07,48.1
2013-06-10,46.85
2013-06-11,44.5
2013-06-12,46.1
2013-06-13,45.35
2013-06-14,44.7
2013-06-17,44.85
2013-06-18,43.2
2013-06-19,43.2
2013-06-20,42.25
2013-06-21,41.5
2013-06-24,42.0
2013-06-25,41.5
2013-06-26,40.95
2013-06-27,41.05
2013-06-28,41.2
2013-07-01,41.3
2013-07-02,38.25
2013-07-03,36.25
2013-07-04,34.15
2013-07-05,33.1
2013-07-08,35.55
2013-07-09,38.15
2013-07-10,38.0
2013-07-11,39.2
2013-07-12,38.95
2013-07-15,38.9
2013-07-16,38.7
2013-07-17,37.1
2013-07-18,37.2
2013-07-19,36.55
2013-07-22,35.1
2013-07-23,34.55
2013-07-24,33.9
2013-07-25,33.4
2013-07-26,32.65
2013-07-29,32.45
2013-07-30,31.4
2013-07-31,28.65
2013-08-01,28.05
2013-08-02,28.35
2013-08-05,27.8
2013-08-06,27.5
2013-08-07,28.1
2013-08-08,27.85
2013-08-12,28.0
2013-08-13,29.8
2013-08-14,30.55
2013-08-16,29.65
2013-08-19,29.75
2013-08-20,28.9
2013-08-21,29.25
2013-08-22,29.15
2013-08-23,30.75
2013-08-26,30.35
2013-08-27,29.8
2013-08-28,29.15
2013-08-29,29.95
2013-08-30,31.2
2013-09-02,31.6
2013-09-03,31.1
