Date,RELIGARE
2013-01-01,319.65
2013-01-02,319.75
2013-01-03,319.6
2013-01-04,319.15
2013-01-07,315.2
2013-01-08,313.45
2013-01-09,310.95
2013-01-10,311.15
2013-01-11,306.9
2013-01-14,312.7
2013-01-15,313.25
2013-01-16,314.85
2013-01-17,313.3
2013-01-18,312.5
2013-01-21,310.05
2013-01-22,307.9
2013-01-23,307.9
2013-01-24,304.25
2013-01-25,300.15
2013-01-28,301.8
2013-01-29,297.4
2013-01-30,300.05
2013-01-31,301.7
2013-02-01,296.95
2013-02-04,292.0
2013-02-05,290.5
2013-02-06,292.5
2013-02-07,289.95
2013-02-08,281.25
2013-02-11,280.4
2013-02-12,278.0
2013-02-13,286.6
2013-02-14,277.15
2013-02-15,274.25
2013-02-18,276.15
2013-02-19,278.4
2013-02-20,280.2
2013-02-21,280.5
2013-02-22,271.65
2013-02-25,291.8
2013-02-26,277.6
2013-02-27,270.6
2013-02-28,279.95
2013-03-01,269.2
2013-03-04,258.6
2013-03-05,261.3
2013-03-06,263.15
2013-03-07,260.65
2013-03-08,262.6
2013-03-11,265.35
2013-03-12,262.65
2013-03-13,260.7
2013-03-14,269.95
2013-03-15,268.65
2013-03-18,260.45
2013-03-19,265.95
2013-03-20,264.45
2013-03-21,273.95
2013-03-22,264.35
2013-03-25,270.3
2013-03-26,290.95
2013-03-28,307.15
2013-04-01,295.5
2013-04-02,292.75
2013-04-03,299.8
2013-04-04,294.4
2013-04-05,292.3
2013-04-08,292.0
2013-04-09,292.05
2013-04-10,293.55
2013-04-11,294.7
2013-04-12,291.2
2013-04-15,291.0
2013-04-16,304.95
2013-04-17,305.05
2013-04-18,310.35
2013-04-22,313.15
2013-04-23,317.7
2013-04-25,324.4
2013-04-26,315.2
2013-04-29,315.85
2013-04-30,315.4
2013-05-02,315.2
2013-05-03,315.4
2013-05-06,315.15
2013-05-07,317.45
2013-05-08,314.9
2013-05-09,313.55
2013-05-10,308.35
2013-05-11,311.45
2013-05-13,307.6
2013-05-14,308.65
2013-05-15,306.45
2013-05-16,305.45
2013-05-17,303.7
2013-05-20,300.15
2013-05-21,303.55
2013-05-22,302.35
2013-05-23,289.45
2013-05-24,290.25
2013-05-27,291.7
2013-05-28,288.35
2013-05-29,287.25
2013-05-30,283.1
2013-05-31,282.45
2013-06-03,280.95
2013-06-04,288.0
2013-06-05,290.45
2013-06-06,284.7
2013-06-07,288.3
2013-06-10,289.15
2013-06-11,293.2
2013-06-12,305.05
2013-06-13,300.5
2013-06-14,318.4
2013-06-17,322.0
2013-06-18,316.75
2013-06-19,317.45
2013-06-20,307.35
2013-06-21,312.7
2013-06-24,310.75
2013-06-25,322.75
2013-06-26,338.75
2013-06-27,321.7
2013-06-28,319.45
2013-07-01,339.5
2013-07-02,329.65
2013-07-03,321.8
2013-07-04,321.15
2013-07-05,316.2
2013-07-08,312.3
2013-07-09,312.35
2013-07-10,318.85
2013-07-11,316.85
2013-07-12,330.5
2013-07-15,327.75
2013-07-16,322.45
2013-07-17,318.55
2013-07-18,318.25
2013-07-19,317.7
2013-07-22,317.2
2013-07-23,316.05
2013-07-24,316.35
2013-07-25,315.25
2013-07-26,311.85
2013-07-29,308.35
2013-07-30,308.5
2013-07-31,308.4
2013-08-01,308.8
2013-08-02,310.0
2013-08-05,309.3
2013-08-06,309.8
2013-08-07,303.65
2013-08-08,306.95
2013-08-12,310.75
2013-08-13,317.35
2013-08-14,315.8
2013-08-16,311.15
2013-08-19,318.05
2013-08-20,318.0
2013-08-21,312.7
2013-08-22,309.75
2013-08-23,321.4
2013-08-26,317.0
2013-08-27,310.75
2013-08-28,303.8
2013-08-29,311.7
2013-08-30,322.8
2013-09-02,338.6
2013-09-03,326.05
2013-09-04,336.9
2013-09-05,340.0
2013-09-06,341.75
2013-09-10,339.15
2013-09-11,334.25
2013-09-12,332.1
2013-09-13,348.2
2013-09-16,346.8
2013-09-17,349.65
2013-09-18,353.2
2013-09-19,347.6
2013-09-20,350.0
2013-09-23,345.85
2013-09-24,345.1
2013-09-25,345.9
2013-09-26,344.95
2013-09-27,345.3
2013-09-30,345.5
2013-10-01,345.0
2013-10-03,348.05
2013-10-04,348.3
2013-10-07,345.5
2013-10-08,350.05
2013-10-09,352.45
2013-10-10,354.7
2013-10-11,357.7
2013-10-14,357.15
2013-10-15,354.5
2013-10-17,359.45
2013-10-18,362.05
2013-10-21,360.85
2013-10-22,363.25
2013-10-23,361.4
2013-10-24,357.5
2013-10-25,349.25
2013-10-28,332.95
2013-10-29,321.35
2013-10-30,324.95
2013-10-31,322.1
2013-11-01,319.0
2013-11-03,321.8
2013-11-05,321.95
2013-11-06,320.85
2013-11-07,320.45
2013-11-08,325.6
2013-11-11,326.85
2013-11-12,322.7
2013-11-13,324.8
2013-11-14,328.0
2013-11-18,326.35
2013-11-19,327.45
2013-11-20,325.5
2013-11-21,325.7
2013-11-22,325.9
2013-11-25,330.55
2013-11-26,328.6
2013-11-27,326.65
2013-11-28,327.1
2013-11-29,326.85
2013-12-02,323.4
2013-12-03,322.8
2013-12-04,320.5
2013-12-05,321.7
2013-12-06,321.35
2013-12-09,330.95
2013-12-10,321.25
2013-12-11,320.55
2013-12-12,316.85
2013-12-13,317.9
2013-12-16,316.15
2013-12-17,316.3
2013-12-18,321.55
2013-12-19,321.95
2013-12-20,319.0
