Date,SILINV
2013-01-01,68.7
2013-01-02,71.55
2013-01-03,69.35
2013-01-07,69.45
2013-01-08,69.0
2013-01-09,70.05
2013-01-10,72.5
2013-01-11,70.85
2013-01-16,69.5
2013-01-17,70.0
2013-01-21,71.0
2013-01-22,69.05
2013-01-23,69.45
2013-01-24,68.05
2013-01-25,66.25
2013-01-28,65.8
2013-01-29,66.5
2013-01-30,66.1
2013-01-31,61.6
2013-02-01,61.05
2013-02-04,61.0
2013-02-05,59.95
2013-02-06,61.05
2013-02-08,63.8
2013-02-11,61.95
2013-02-12,57.0
2013-02-14,56.1
2013-02-15,56.5
2013-02-19,57.0
2013-02-20,59.9
2013-02-22,60.0
2013-02-25,59.05
2013-02-26,58.5
2013-02-27,55.0
2013-03-01,59.75
2013-03-05,58.35
2013-03-06,57.35
2013-03-07,56.3
2013-03-08,56.9
2013-03-11,62.5
2013-03-15,57.5
2013-03-19,56.8
2013-03-20,56.4
2013-03-21,56.25
2013-03-22,53.65
2013-03-25,51.95
2013-03-26,54.65
2013-03-28,57.0
2013-04-02,59.35
2013-04-04,57.6
2013-04-12,56.0
2013-04-15,56.0
2013-04-18,54.5
2013-04-26,54.5
2013-04-29,55.1
2013-05-02,55.0
2013-05-03,55.05
2013-05-07,54.7
2013-05-08,55.2
2013-05-09,56.0
2013-05-10,58.0
2013-05-13,58.05
2013-05-21,55.15
2013-05-22,56.0
2013-05-24,54.0
2013-05-30,48.7
2013-06-04,45.1
2013-06-05,43.0
2013-06-13,45.4
2013-06-17,45.4
2013-06-18,44.35
2013-06-24,44.1
2013-07-04,43.0
2013-07-11,45.0
2013-07-18,46.4
2013-07-22,44.2
2013-07-24,44.0
2013-07-25,44.05
2013-07-26,44.05
2013-07-29,44.1
2013-08-07,44.0
2013-08-13,42.25
2013-08-21,40.2
2013-08-23,40.05
2013-08-26,38.05
2013-09-06,36.55
2013-09-11,35.05
2013-09-16,36.0
2013-09-18,37.8
2013-09-19,37.0
2013-10-22,38.85
2013-11-03,40.75
2013-11-26,42.0
2013-11-29,44.0
2013-12-18,46.0
2013-12-26,48.3
2014-01-03,50.6
2014-01-13,50.5
2014-01-14,51.0
2014-01-15,50.0
2014-01-16,47.5
2014-01-17,45.5
2014-01-20,44.8
2014-01-21,44.0
2014-01-22,42.4
2014-01-23,43.0
2014-01-24,40.9
2014-01-29,42.85
2014-02-03,44.85
2014-02-05,42.65
2014-02-07,44.0
2014-02-21,42.0
2014-02-24,40.05
2014-02-25,42.05
2014-03-03,43.9
2014-03-04,46.05
2014-03-05,44.35
2014-03-06,42.25
2014-03-07,44.3
2014-03-10,45.0
2014-03-11,43.05
2014-03-13,42.1
2014-03-14,40.05
2014-03-18,42.05
2014-03-24,44.05
2014-03-25,44.0
2014-03-27,44.1
2014-03-28,46.3
2014-03-31,44.0
2014-04-01,44.05
2014-04-07,46.25
2014-04-09,47.5
2014-04-10,45.3
2014-04-11,47.55
2014-04-23,47.55
2014-04-25,47.0
2014-04-29,45.35
2014-05-06,45.95
2014-05-08,44.1
2014-05-12,45.0
2014-05-13,43.85
