Date,NTPC
2013-01-01,155.5
2013-01-02,157.5
2013-01-03,157.55
2013-01-04,158.9
2013-01-07,157.6
2013-01-08,157.45
2013-01-09,155.7
2013-01-10,153.8
2013-01-11,152.7
2013-01-14,154.05
2013-01-15,155.65
2013-01-16,156.2
2013-01-17,157.1
2013-01-18,164.5
2013-01-21,161.6
2013-01-22,164.35
2013-01-23,162.6
2013-01-24,160.35
2013-01-25,159.35
2013-01-28,157.65
2013-01-29,157.3
2013-01-30,155.8
2013-01-31,157.1
2013-02-01,156.95
2013-02-04,155.55
2013-02-05,155.45
2013-02-06,151.8
2013-02-07,148.05
2013-02-08,148.05
2013-02-11,147.65
2013-02-12,147.4
2013-02-13,148.25
2013-02-14,149.3
2013-02-15,149.95
2013-02-18,151.1
2013-02-19,153.5
2013-02-20,152.4
2013-02-21,152.0
2013-02-22,151.55
2013-02-25,149.85
2013-02-26,151.0
2013-02-27,153.85
2013-02-28,150.9
2013-03-01,150.05
2013-03-04,149.35
2013-03-05,149.55
2013-03-06,148.45
2013-03-07,148.15
2013-03-08,149.05
2013-03-11,149.6
2013-03-12,147.8
2013-03-13,146.8
2013-03-14,146.85
2013-03-15,145.95
2013-03-18,145.85
2013-03-19,144.3
2013-03-20,139.35
2013-03-21,137.95
2013-03-22,139.3
2013-03-25,142.45
2013-03-26,142.7
2013-03-28,141.95
2013-04-01,143.5
2013-04-02,144.1
2013-04-03,145.4
2013-04-04,144.8
2013-04-05,141.0
2013-04-08,140.85
2013-04-09,141.55
2013-04-10,142.8
2013-04-11,140.25
2013-04-12,140.6
2013-04-15,140.95
2013-04-16,143.95
2013-04-17,144.15
2013-04-18,145.85
2013-04-22,148.95
2013-04-23,149.05
2013-04-25,155.25
2013-04-26,154.9
2013-04-29,156.0
2013-04-30,157.35
2013-05-02,160.25
2013-05-03,159.3
2013-05-06,157.2
2013-05-07,157.85
2013-05-08,156.3
2013-05-09,156.3
2013-05-10,155.0
2013-05-11,154.15
2013-05-13,153.85
2013-05-14,153.95
2013-05-15,157.3
2013-05-16,156.45
2013-05-17,159.9
2013-05-20,159.55
2013-05-21,152.3
2013-05-22,154.75
2013-05-23,148.5
2013-05-24,150.0
2013-05-27,152.3
2013-05-28,155.1
2013-05-29,154.0
2013-05-30,156.6
2013-05-31,154.2
2013-06-03,152.2
2013-06-04,154.05
2013-06-05,153.95
2013-06-06,150.75
2013-06-07,147.8
2013-06-10,150.05
2013-06-11,150.2
2013-06-12,151.15
2013-06-13,149.7
2013-06-14,152.0
2013-06-17,150.65
2013-06-18,146.8
2013-06-19,145.0
2013-06-20,140.2
2013-06-21,143.0
2013-06-24,142.0
2013-06-25,138.05
2013-06-26,141.3
2013-06-27,140.3
2013-06-28,143.75
2013-07-01,148.15
2013-07-02,145.6
2013-07-03,144.15
2013-07-04,144.05
2013-07-05,143.65
2013-07-08,140.4
2013-07-09,142.3
2013-07-10,141.1
2013-07-11,143.85
2013-07-12,146.1
2013-07-15,142.35
2013-07-16,143.2
2013-07-17,147.55
2013-07-18,146.5
2013-07-19,143.7
2013-07-22,143.05
2013-07-23,143.3
2013-07-24,141.2
2013-07-25,140.25
2013-07-26,141.05
2013-07-29,142.0
2013-07-30,137.7
2013-07-31,130.7
2013-08-01,131.55
2013-08-02,129.85
2013-08-05,135.25
2013-08-06,134.85
2013-08-07,136.4
2013-08-08,137.1
2013-08-12,138.35
2013-08-13,143.75
2013-08-14,144.3
2013-08-16,139.65
2013-08-19,136.75
2013-08-20,136.15
2013-08-21,130.65
2013-08-22,131.15
2013-08-23,129.05
2013-08-26,132.4
2013-08-27,124.45
2013-08-28,126.3
2013-08-29,130.8
2013-08-30,130.9
2013-09-02,130.7
2013-09-03,128.05
2013-09-04,130.0
2013-09-05,130.45
2013-09-06,134.3
2013-09-10,138.6
2013-09-11,137.6
2013-09-12,139.45
2013-09-13,141.1
2013-09-16,142.95
2013-09-17,140.15
2013-09-18,144.9
2013-09-19,147.1
2013-09-20,148.3
2013-09-23,142.8
2013-09-24,145.45
2013-09-25,149.0
2013-09-26,149.7
2013-09-27,147.95
2013-09-30,147.45
2013-10-01,143.85
2013-10-03,143.9
2013-10-04,142.6
2013-10-07,142.25
2013-10-08,144.35
2013-10-09,145.15
2013-10-10,147.9
2013-10-11,144.05
2013-10-14,143.65
2013-10-15,145.1
2013-10-17,143.55
2013-10-18,145.85
2013-10-21,147.65
2013-10-22,148.75
2013-10-23,145.35
2013-10-24,143.3
2013-10-25,145.2
2013-10-28,144.05
2013-10-29,146.05
2013-10-30,147.25
2013-10-31,149.1
2013-11-01,146.25
2013-11-03,146.6
2013-11-05,147.25
2013-11-06,152.6
2013-11-07,152.7
2013-11-08,152.55
2013-11-11,150.3
2013-11-12,149.15
2013-11-13,149.5
2013-11-14,152.8
2013-11-18,156.05
2013-11-19,155.05
2013-11-20,154.65
2013-11-21,150.2
2013-11-22,150.85
2013-11-25,150.15
2013-11-26,148.75
2013-11-27,146.6
2013-11-28,147.9
2013-11-29,147.25
2013-12-02,147.05
2013-12-03,145.7
2013-12-04,145.35
2013-12-05,143.85
2013-12-06,148.95
2013-12-09,153.45
2013-12-10,136.05
2013-12-11,139.25
2013-12-12,139.65
2013-12-13,137.3
2013-12-16,137.95
2013-12-17,134.95
2013-12-18,135.45
2013-12-19,135.0
2013-12-20,135.95
2013-12-23,136.8
2013-12-24,137.8
2013-12-26,137.15
2013-12-27,137.25
2013-12-30,136.05
2013-12-31,137.0
2014-01-01,138.2
2014-01-02,134.9
2014-01-03,131.75
2014-01-06,132.15
2014-01-07,129.85
2014-01-08,129.55
2014-01-09,133.65
2014-01-10,131.4
2014-01-13,132.75
2014-01-14,131.25
2014-01-15,132.25
2014-01-16,133.15
2014-01-17,131.6
2014-01-20,131.85
2014-01-21,130.75
2014-01-22,132.65
2014-01-23,131.1
2014-01-24,131.5
2014-01-27,129.45
2014-01-28,128.5
2014-01-29,127.8
2014-01-30,128.2
2014-01-31,126.45
2014-02-03,126.0
2014-02-04,130.2
2014-02-05,132.4
2014-02-06,133.6
2014-02-07,135.95
2014-02-10,135.2
2014-02-11,132.15
2014-02-12,130.75
2014-02-13,130.1
2014-02-14,132.25
2014-02-17,133.85
2014-02-18,133.85
2014-02-19,132.35
2014-02-20,131.1
2014-02-21,132.45
2014-02-24,116.9
2014-02-25,115.85
2014-02-26,115.45
2014-02-28,112.4
2014-03-03,111.2
2014-03-04,113.85
2014-03-05,114.05
2014-03-06,116.7
2014-03-07,116.35
2014-03-10,117.0
2014-03-11,117.4
2014-03-12,117.15
2014-03-13,116.25
2014-03-14,117.05
2014-03-18,117.9
2014-03-19,115.95
2014-03-20,115.75
2014-03-21,113.85
2014-03-22,114.5
2014-03-24,113.95
2014-03-25,115.1
2014-03-26,114.9
2014-03-27,116.8
2014-03-28,120.95
2014-03-31,119.9
2014-04-01,121.95
2014-04-02,122.9
2014-04-03,123.0
2014-04-04,120.3
2014-04-07,119.4
2014-04-09,120.55
2014-04-10,123.7
2014-04-11,124.6
2014-04-15,125.4
2014-04-16,122.6
2014-04-17,122.95
2014-04-21,124.55
2014-04-22,123.8
2014-04-23,122.1
2014-04-25,118.5
2014-04-28,117.95
2014-04-29,117.65
2014-04-30,116.35
2014-05-02,114.45
2014-05-05,113.85
2014-05-06,114.3
2014-05-07,115.75
2014-05-08,115.55
2014-05-09,118.15
2014-05-12,121.1
2014-05-13,122.8
2014-05-14,125.5
2014-05-15,129.3
2014-05-16,131.6
2014-05-19,145.6
2014-05-20,142.25
2014-05-21,145.65
2014-05-22,154.2
2014-05-23,160.2
2014-05-26,156.25
2014-05-27,154.15
2014-05-28,151.45
2014-05-29,152.15
2014-05-30,160.5
2014-06-02,159.25
2014-06-03,164.2
2014-06-04,165.0
2014-06-05,164.2
2014-06-06,165.5
2014-06-09,165.35
2014-06-10,163.55
2014-06-11,158.1
2014-06-12,160.25
2014-06-13,153.35
2014-06-16,152.9
2014-06-17,154.9
2014-06-18,151.5
2014-06-19,152.5
2014-06-20,151.65
2014-06-23,152.55
2014-06-24,154.85
2014-06-25,156.85
2014-06-26,152.3
2014-06-27,152.25
2014-06-30,156.2
2014-07-01,154.6
2014-07-02,159.75
2014-07-03,157.35
2014-07-04,158.55
2014-07-07,161.35
2014-07-08,153.0
2014-07-09,150.65
2014-07-10,151.15
2014-07-11,149.7
2014-07-14,147.8
2014-07-15,145.6
2014-07-16,146.65
2014-07-17,150.4
2014-07-18,149.7
2014-07-21,148.0
2014-07-22,149.85
2014-07-23,149.6
2014-07-24,149.7
2014-07-25,148.95
2014-07-28,149.05
2014-07-30,149.8
2014-07-31,145.05
2014-08-01,140.75
2014-08-04,141.3
2014-08-05,140.7
2014-08-06,140.45
2014-08-07,140.85
2014-08-08,137.95
2014-08-11,135.85
2014-08-12,139.5
2014-08-13,139.95
2014-08-14,142.05
2014-08-18,142.6
2014-08-19,143.9
2014-08-20,145.3
2014-08-21,142.5
2014-08-22,142.5
2014-08-25,141.8
2014-08-26,141.0
2014-08-27,139.5
2014-08-28,137.4
2014-09-01,139.7
2014-09-02,140.2
2014-09-03,139.7
2014-09-04,142.45
2014-09-05,142.85
2014-09-08,140.45
2014-09-09,140.6
2014-09-10,139.4
2014-09-11,140.0
2014-09-12,137.75
2014-09-15,135.9
2014-09-16,132.15
2014-09-17,133.65
2014-09-18,136.9
2014-09-19,138.25
2014-09-22,136.45
2014-09-23,136.9
2014-09-24,138.0
2014-09-25,136.45
2014-09-26,139.35
2014-09-29,139.0
2014-09-30,139.1
2014-10-01,139.05
2014-10-07,140.65
2014-10-08,143.4
2014-10-09,142.9
2014-10-10,141.25
2014-10-13,140.25
2014-10-14,140.7
2014-10-16,138.25
2014-10-17,140.95
2014-10-20,143.5
2014-10-21,147.55
2014-10-22,146.55
2014-10-23,146.7
