Date,TNPL
2013-01-01,110.05
2013-01-02,111.05
2013-01-03,110.8
2013-01-04,110.4
2013-01-07,111.15
2013-01-08,110.15
2013-01-09,110.4
2013-01-10,109.7
2013-01-11,109.25
2013-01-14,111.45
2013-01-15,109.85
2013-01-16,109.5
2013-01-17,110.0
2013-01-18,110.0
2013-01-21,109.45
2013-01-22,109.0
2013-01-23,107.8
2013-01-24,106.45
2013-01-25,104.8
2013-01-28,104.9
2013-01-29,104.75
2013-01-30,104.95
2013-01-31,104.6
2013-02-01,104.55
2013-02-04,102.9
2013-02-05,100.0
2013-02-06,101.15
2013-02-07,100.65
2013-02-08,98.45
2013-02-11,97.55
2013-02-12,98.15
2013-02-13,99.05
2013-02-14,97.1
2013-02-15,94.85
2013-02-18,95.1
2013-02-19,96.15
2013-02-20,98.65
2013-02-21,97.9
2013-02-22,97.0
2013-02-25,96.2
2013-02-26,95.85
2013-02-27,96.6
2013-02-28,95.05
2013-03-01,95.8
2013-03-04,94.4
2013-03-05,94.95
2013-03-06,94.95
2013-03-07,94.55
2013-03-08,95.05
2013-03-11,94.9
2013-03-12,95.05
2013-03-13,95.0
2013-03-14,94.15
2013-03-15,95.3
2013-03-18,95.4
2013-03-19,93.3
2013-03-20,94.1
2013-03-21,93.65
2013-03-22,93.2
2013-03-25,97.25
2013-03-26,95.45
2013-03-28,95.05
2013-04-01,96.7
2013-04-02,96.7
2013-04-03,96.75
2013-04-04,96.95
2013-04-05,96.9
2013-04-08,97.15
2013-04-09,95.1
2013-04-10,93.45
2013-04-11,93.2
2013-04-12,93.95
2013-04-15,94.55
2013-04-16,95.0
2013-04-17,94.3
2013-04-18,94.5
2013-04-22,96.05
2013-04-23,96.8
2013-04-25,96.45
2013-04-26,96.9
2013-04-29,97.05
2013-04-30,96.0
2013-05-02,96.3
2013-05-03,95.75
2013-05-06,96.35
2013-05-07,99.75
2013-05-08,100.0
2013-05-09,98.95
2013-05-10,99.05
2013-05-11,98.0
2013-05-13,96.05
2013-05-14,97.15
2013-05-15,97.05
2013-05-16,96.6
2013-05-17,95.35
2013-05-20,96.15
2013-05-21,95.5
2013-05-22,95.9
2013-05-23,95.9
2013-05-24,97.95
2013-05-27,98.4
2013-05-28,102.55
2013-05-29,100.8
2013-05-30,99.95
2013-05-31,100.45
2013-06-03,99.95
2013-06-04,100.0
2013-06-05,101.1
2013-06-06,100.0
2013-06-07,100.2
2013-06-10,99.7
2013-06-11,98.65
2013-06-12,98.0
2013-06-13,97.7
2013-06-14,98.35
2013-06-17,100.6
2013-06-18,99.45
2013-06-19,97.6
2013-06-20,98.25
2013-06-21,97.2
2013-06-24,96.2
2013-06-25,95.55
2013-06-26,95.85
2013-06-27,94.95
2013-06-28,95.55
2013-07-01,95.25
2013-07-02,95.9
