Date,BALKRISHNA
2015-08-11,44.35
2015-08-12,35.5
2015-08-13,31.95
2015-08-14,28.8
2015-08-17,25.95
2015-08-18,27.2
2015-08-19,28.55
2015-08-20,29.95
2015-08-21,31.4
2015-08-24,32.95
2015-08-25,33.35
2015-08-26,32.45
2015-08-27,34.05
2015-08-28,34.7
2015-08-31,33.9
2015-09-01,33.95
2015-09-02,33.9
2015-09-03,32.5
2015-09-04,31.55
2015-09-07,30.3
2015-09-08,29.5
2015-09-09,30.95
2015-09-10,32.45
2015-09-11,34.05
2015-09-14,35.75
2015-09-15,34.0
2015-09-16,33.05
2015-09-18,33.0
2015-09-21,33.05
2015-09-22,32.95
2015-09-23,31.85
2015-09-24,31.6
2015-09-28,32.2
2015-09-29,32.0
2015-09-30,32.0
2015-10-01,33.0
2015-10-05,34.0
2015-10-06,33.5
2015-10-07,33.95
2015-10-08,33.5
2015-10-09,35.95
2015-10-12,37.75
2015-10-13,41.5
2015-10-14,45.65
2015-10-15,47.8
2015-10-16,50.15
2015-10-19,50.4
2015-10-20,48.35
2015-10-21,50.75
2015-10-23,53.25
2015-10-26,55.9
2015-10-27,56.5
2015-10-28,54.45
2015-10-29,54.95
2015-10-30,53.15
2015-11-02,51.15
2015-11-03,51.6
2015-11-04,49.4
2015-11-05,51.05
2015-11-06,48.8
2015-11-09,52.25
2015-11-10,51.0
2015-11-11,53.7
2015-11-13,53.3
2015-11-16,52.5
2015-11-17,53.8
2015-11-18,53.45
2015-11-19,58.75
2015-11-20,64.6
2015-11-23,68.65
2015-11-24,66.2
2015-11-26,63.6
2015-11-27,62.05
2015-11-30,60.6
2015-12-01,61.1
2015-12-02,62.3
2015-12-03,65.4
2015-12-04,64.65
2015-12-07,62.5
2015-12-08,61.15
2015-12-09,60.0
2015-12-10,60.15
2015-12-11,59.9
2015-12-14,59.05
2015-12-15,61.3
2015-12-16,59.1
2015-12-17,59.5
2015-12-18,59.35
2015-12-21,59.95
2015-12-22,59.2
2015-12-23,58.95
2015-12-24,58.55
2015-12-28,58.7
2015-12-29,59.3
2015-12-30,59.95
2015-12-31,59.2
2016-01-01,58.5
2016-01-04,58.05
2016-01-05,57.55
2016-01-06,56.7
2016-01-07,52.6
2016-01-08,53.25
2016-01-11,54.25
2016-01-12,54.45
2016-01-13,52.45
2016-01-14,49.0
2016-01-15,48.85
2016-01-18,46.0
2016-01-19,48.7
2016-01-20,46.6
2016-01-21,48.05
2016-01-22,47.8
2016-01-25,50.0
2016-01-27,55.0
2016-01-28,56.2
2016-01-29,58.2
2016-02-01,58.75
2016-02-02,53.95
2016-02-03,50.9
2016-02-04,50.75
2016-02-05,51.75
2016-02-08,51.65
2016-02-09,52.4
2016-02-10,52.25
2016-02-11,43.65
2016-02-12,42.1
2016-02-15,45.3
2016-02-16,44.3
2016-02-17,40.0
2016-02-18,38.95
2016-02-19,43.5
2016-02-22,46.3
2016-02-23,43.4
2016-02-24,41.65
2016-02-25,40.0
2016-02-26,40.45
2016-02-29,39.75
2016-03-01,42.05
2016-03-02,42.1
2016-03-03,42.5
2016-03-04,43.2
2016-03-08,40.9
2016-03-09,42.8
2016-03-10,40.3
2016-03-11,39.85
2016-03-14,39.0
2016-03-15,39.15
2016-03-16,39.95
2016-03-17,41.8
2016-03-18,40.65
2016-03-21,39.75
2016-03-22,39.2
2016-03-23,38.15
2016-03-28,37.95
2016-03-29,38.9
2016-03-30,38.7
2016-03-31,37.3
2016-04-01,37.1
2016-04-04,38.2
2016-04-05,38.15
2016-04-06,38.3
2016-04-07,38.45
2016-04-08,41.25
2016-04-11,41.45
2016-04-12,41.15
2016-04-13,41.9
2016-04-18,42.55
2016-04-20,42.4
2016-04-21,39.85
2016-04-22,41.2
2016-04-25,39.4
2016-04-26,40.45
2016-04-27,40.0
2016-04-28,38.95
2016-04-29,38.7
2016-05-02,38.0
2016-05-03,39.0
2016-05-04,38.2
2016-05-05,39.4
2016-05-06,39.85
2016-05-09,39.1
2016-05-10,40.0
2016-05-11,38.4
2016-05-12,39.1
2016-05-13,38.4
2016-05-16,38.15
2016-05-17,38.05
2016-05-18,38.2
2016-05-19,38.65
2016-05-20,37.3
2016-05-23,37.65
2016-05-24,36.55
2016-05-25,37.4
2016-05-26,36.65
2016-05-27,36.05
2016-05-30,33.9
2016-05-31,33.2
2016-06-01,33.45
2016-06-02,33.9
2016-06-03,32.6
2016-06-06,31.0
2016-06-07,30.95
2016-06-08,31.25
2016-06-09,30.05
2016-06-10,29.2
2016-06-13,27.85
2016-06-14,30.35
2016-06-15,34.2
2016-06-16,32.9
2016-06-17,32.95
2016-06-20,33.5
2016-06-21,32.2
2016-06-22,31.85
2016-06-23,31.0
2016-06-24,31.15
2016-06-27,31.15
2016-06-28,31.6
2016-06-29,32.6
2016-06-30,33.0
2016-07-01,32.45
2016-07-04,35.8
2016-07-05,36.05
2016-07-07,39.55
2016-07-08,39.9
2016-07-11,40.0
2016-07-12,38.3
2016-07-13,37.0
2016-07-14,37.55
2016-07-15,37.5
2016-07-18,37.3
2016-07-19,38.2
2016-07-20,38.2
2016-07-21,36.65
2016-07-22,36.85
2016-07-25,44.15
2016-07-26,46.35
2016-07-27,47.9
2016-07-28,46.35
2016-07-29,46.85
2016-08-01,42.0
2016-08-02,40.05
2016-08-03,37.65
2016-08-04,38.6
2016-08-05,38.6
2016-08-08,38.4
2016-08-09,37.8
2016-08-10,37.7
2016-08-11,37.2
2016-08-12,37.6
2016-08-16,38.45
2016-08-17,37.95
2016-08-18,37.35
2016-08-19,38.05
2016-08-22,38.7
2016-08-23,38.95
2016-08-24,39.05
2016-08-25,41.05
2016-08-26,42.8
2016-08-29,51.35
2016-08-30,61.6
2016-08-31,67.75
2016-09-01,74.1
2016-09-02,69.35
2016-09-06,76.25
2016-09-07,77.6
2016-09-08,75.25
2016-09-09,73.55
2016-09-12,69.95
2016-09-14,75.95
2016-09-15,83.5
2016-09-16,79.9
2016-09-19,79.9
2016-09-20,77.55
2016-09-21,77.6
2016-09-22,79.6
2016-09-23,75.95
2016-09-26,74.7
2016-09-27,74.35
2016-09-28,74.8
2016-09-29,68.6
2016-09-30,70.95
2016-10-03,74.15
2016-10-04,75.3
2016-10-05,75.85
2016-10-06,80.2
2016-10-07,88.75
2016-10-10,106.5
2016-10-13,109.25
2016-10-14,104.25
2016-10-17,105.9
2016-10-18,102.05
2016-10-19,99.75
2016-10-20,95.85
2016-10-21,103.6
2016-10-24,104.2
2016-10-25,101.1
