Date,ADFFOODS
2013-01-01,81.7
2013-01-02,80.15
2013-01-03,77.25
2013-01-04,77.25
2013-01-07,84.5
2013-01-08,85.65
2013-01-09,89.9
2013-01-10,87.25
2013-01-11,84.55
2013-01-14,86.6
2013-01-15,85.35
2013-01-16,91.8
2013-01-17,87.5
2013-01-18,82.35
2013-01-21,83.65
2013-01-22,77.2
2013-01-23,72.85
2013-01-24,67.85
2013-01-25,67.9
2013-01-28,70.1
2013-01-29,68.15
2013-01-30,66.45
2013-01-31,70.0
2013-02-01,70.2
2013-02-04,68.8
2013-02-05,65.5
2013-02-06,66.35
2013-02-07,61.0
2013-02-08,60.35
2013-02-11,57.65
2013-02-12,55.75
2013-02-13,56.4
2013-02-14,53.75
2013-02-15,53.85
2013-02-18,55.5
2013-02-19,56.9
2013-02-20,56.25
2013-02-21,55.0
2013-02-22,54.2
2013-02-25,52.05
2013-02-26,51.15
2013-02-27,51.95
2013-02-28,49.6
2013-03-01,49.1
2013-03-04,48.1
2013-03-05,49.6
2013-03-06,50.7
2013-03-07,49.9
2013-03-08,49.6
2013-03-11,49.65
2013-03-12,48.7
2013-03-13,48.0
2013-03-14,48.6
2013-03-15,48.35
2013-03-18,47.85
2013-03-19,46.05
2013-03-20,44.55
2013-03-21,43.15
2013-03-22,42.5
2013-03-25,44.25
2013-03-26,45.3
2013-03-28,44.8
2013-04-01,48.6
2013-04-02,52.2
2013-04-03,51.8
2013-04-04,50.5
2013-04-05,50.0
2013-04-08,50.0
2013-04-09,50.1
2013-04-10,49.5
2013-04-11,49.8
2013-04-12,50.0
2013-04-15,50.9
2013-04-16,50.4
2013-04-17,50.5
2013-04-18,49.9
2013-04-22,51.0
2013-04-23,50.7
2013-04-25,50.85
2013-04-26,50.95
2013-04-29,51.95
2013-04-30,50.95
2013-05-02,51.2
2013-05-03,51.0
2013-05-06,51.0
2013-05-07,54.0
2013-05-08,54.6
2013-05-09,53.3
2013-05-10,52.0
2013-05-11,52.1
2013-05-13,51.35
2013-05-14,50.15
2013-05-15,50.0
2013-05-16,51.2
2013-05-17,50.4
2013-05-20,50.7
2013-05-21,50.0
2013-05-22,48.25
2013-05-23,47.2
2013-05-24,45.4
2013-05-27,45.7
2013-05-28,45.0
2013-05-29,44.95
2013-05-30,46.1
2013-05-31,45.2
2013-06-03,43.3
2013-06-04,43.5
2013-06-05,44.3
2013-06-06,45.35
2013-06-07,46.2
2013-06-10,44.5
2013-06-11,43.05
2013-06-12,44.75
2013-06-13,44.2
2013-06-14,45.9
2013-06-17,44.45
2013-06-18,44.25
2013-06-19,45.15
2013-06-20,43.05
2013-06-21,44.9
2013-06-24,43.95
2013-06-25,47.3
2013-06-26,48.75
2013-06-27,46.65
2013-06-28,47.6
2013-07-01,47.65
2013-07-02,46.8
2013-07-03,45.05
2013-07-04,44.7
2013-07-05,44.45
2013-07-08,44.65
2013-07-09,45.2
2013-07-10,45.75
2013-07-11,47.2
2013-07-12,46.7
2013-07-15,47.15
2013-07-16,47.4
2013-07-17,48.0
2013-07-18,49.65
2013-07-19,48.15
2013-07-22,46.8
2013-07-23,46.45
2013-07-24,46.4
2013-07-25,45.7
2013-07-26,45.1
2013-07-29,45.45
2013-07-30,46.3
2013-07-31,43.95
2013-08-01,43.9
2013-08-02,40.1
2013-08-05,40.8
2013-08-06,40.25
2013-08-07,40.25
2013-08-08,40.95
2013-08-12,41.6
2013-08-13,43.75
2013-08-14,42.45
2013-08-16,40.0
2013-08-19,38.3
2013-08-20,38.6
2013-08-21,38.15
