Date,BAJFINANCE
2013-12-05,1452.25
2013-12-06,1488.8
2013-12-09,1496.85
2013-12-10,1500.6
2013-12-11,1492.75
2013-12-12,1496.5
2013-12-13,1481.55
2013-12-16,1483.3
2013-12-17,1479.85
2013-12-18,1495.35
2013-12-19,1481.9
2013-12-20,1494.75
2013-12-23,1555.25
2013-12-24,1531.8
2013-12-26,1518.55
2013-12-27,1524.9
2013-12-30,1555.95
2013-12-31,1581.25
2014-01-01,1570.3
2014-01-02,1569.2
2014-01-03,1555.5
2014-01-06,1551.45
2014-01-07,1554.05
2014-01-08,1555.45
2014-01-09,1550.35
2014-01-10,1560.55
2014-01-13,1565.9
2014-01-14,1553.05
2014-01-15,1554.9
2014-01-16,1584.05
2014-01-17,1573.75
2014-01-20,1569.5
2014-01-21,1596.85
2014-01-22,1573.5
2014-01-23,1574.35
2014-01-24,1550.55
2014-01-27,1491.75
2014-01-28,1535.75
2014-01-29,1512.2
2014-01-30,1498.4
2014-01-31,1531.15
2014-02-03,1492.4
2014-02-04,1481.3
2014-02-05,1484.3
2014-02-06,1483.15
2014-02-07,1493.9
2014-02-10,1485.75
2014-02-11,1465.6
2014-02-12,1481.9
2014-02-13,1482.2
2014-02-14,1475.4
2014-02-17,1503.85
2014-02-18,1557.45
2014-02-19,1540.2
2014-02-20,1512.3
2014-02-21,1529.65
2014-02-24,1526.3
2014-02-25,1553.35
2014-02-26,1547.9
2014-02-28,1571.5
2014-03-03,1588.95
2014-03-04,1585.1
2014-03-05,1557.6
2014-03-06,1616.4
2014-03-07,1636.7
2014-03-10,1672.1
2014-03-11,1694.7
2014-03-12,1690.75
2014-03-13,1647.05
2014-03-14,1655.8
2014-03-18,1670.2
2014-03-19,1669.2
2014-03-20,1651.95
2014-03-21,1673.3
2014-03-22,1684.5
2014-03-24,1656.95
2014-03-25,1660.4
2014-03-26,1659.95
2014-03-27,1697.9
2014-03-28,1797.7
2014-03-31,1791.0
2014-04-01,1777.45
2014-04-02,1751.5
2014-04-03,1745.75
2014-04-04,1758.4
2014-04-07,1767.9
2014-04-09,1756.25
2014-04-10,1786.1
2014-04-11,1762.4
2014-04-15,1757.75
2014-04-16,1772.7
2014-04-17,1767.2
2014-04-21,1768.95
