Date,RTNINFRA
2013-01-01,6.8
2013-01-02,6.95
2013-01-03,7.55
2013-01-04,7.85
2013-01-07,7.75
2013-01-08,7.7
2013-01-09,7.75
2013-01-10,7.35
2013-01-11,7.0
2013-01-14,7.15
2013-01-15,7.1
2013-01-16,6.9
2013-01-17,7.05
2013-01-18,7.05
2013-01-21,6.9
2013-01-22,6.9
2013-01-23,6.15
2013-01-24,6.1
2013-01-25,6.55
2013-01-28,6.4
2013-01-29,6.55
2013-01-30,6.35
2013-01-31,6.45
2013-02-01,6.25
2013-02-04,6.0
2013-02-05,5.8
2013-02-06,6.0
2013-02-07,5.7
2013-02-08,5.4
2013-02-11,5.55
2013-02-12,5.5
2013-02-13,5.35
2013-02-14,5.2
2013-02-15,5.25
2013-02-18,5.25
2013-02-19,5.5
2013-02-20,5.45
2013-02-21,5.15
2013-02-22,5.1
2013-02-25,4.9
2013-02-26,4.9
2013-02-27,4.8
2013-02-28,5.05
2013-03-01,5.1
2013-03-04,4.75
2013-03-05,5.0
2013-03-06,5.1
2013-03-07,5.1
2013-03-08,5.2
2013-03-11,5.2
2013-03-12,5.1
2013-03-13,5.0
2013-03-14,4.95
2013-03-15,5.25
2013-03-18,4.95
2013-03-19,4.95
2013-03-20,4.4
2013-03-21,4.35
2013-03-22,4.3
2013-03-25,4.3
2013-03-26,4.25
2013-03-28,4.5
2013-04-01,4.85
2013-04-02,4.65
2013-04-03,4.55
2013-04-04,4.4
2013-04-05,4.3
2013-04-08,4.35
2013-04-09,4.25
2013-04-10,4.15
2013-04-11,4.2
2013-04-12,4.2
2013-04-15,4.15
2013-04-16,4.2
2013-04-17,4.4
2013-04-18,4.3
2013-04-22,4.35
2013-04-23,4.35
2013-04-25,4.4
2013-04-26,4.3
2013-04-29,4.4
2013-04-30,4.3
2013-05-02,4.35
2013-05-03,4.3
2013-05-06,4.35
2013-05-07,4.5
2013-05-08,4.5
2013-05-09,4.35
2013-05-10,4.25
2013-05-11,4.25
2013-05-13,4.2
2013-05-14,4.15
2013-05-15,4.25
2013-05-16,4.3
2013-05-17,4.5
2013-05-20,4.3
2013-05-21,4.35
2013-05-22,3.9
2013-05-23,3.8
2013-05-24,3.85
2013-05-27,3.95
2013-05-28,3.9
2013-05-29,3.8
2013-05-30,3.7
2013-05-31,3.0
2013-06-03,3.1
2013-06-04,3.05
2013-06-05,3.05
2013-06-06,3.05
2013-06-07,3.0
2013-06-10,3.0
2013-06-11,2.85
2013-06-12,2.85
