Date,MANGCHEFER
2013-01-01,38.35
2013-01-02,38.55
2013-01-03,38.8
2013-01-04,39.3
2013-01-07,39.75
2013-01-08,39.4
2013-01-09,39.2
2013-01-10,40.25
2013-01-11,40.9
2013-01-14,43.5
2013-01-15,41.45
2013-01-16,40.7
2013-01-17,39.95
2013-01-18,39.75
2013-01-21,40.2
2013-01-22,39.7
2013-01-23,38.85
2013-01-24,37.0
2013-01-25,36.85
2013-01-28,37.0
2013-01-29,36.55
2013-01-30,36.05
2013-01-31,36.05
2013-02-01,36.3
2013-02-04,36.15
2013-02-05,36.1
2013-02-06,36.05
2013-02-07,35.25
2013-02-08,33.5
2013-02-11,33.05
2013-02-12,33.4
2013-02-13,35.05
2013-02-14,33.15
2013-02-15,33.75
2013-02-18,33.65
2013-02-19,33.85
2013-02-20,33.7
2013-02-21,32.85
2013-02-22,31.95
2013-02-25,30.45
2013-02-26,29.65
2013-02-27,30.75
2013-02-28,29.5
2013-03-01,28.65
2013-03-04,27.55
2013-03-05,29.9
2013-03-06,30.05
2013-03-07,29.9
2013-03-08,30.6
2013-03-11,30.0
2013-03-12,30.1
2013-03-13,30.15
2013-03-14,30.05
2013-03-15,30.1
2013-03-18,29.5
2013-03-19,29.45
2013-03-20,28.95
2013-03-21,28.55
2013-03-22,28.5
2013-03-25,28.1
2013-03-26,27.55
2013-03-28,28.7
2013-04-01,32.75
2013-04-02,39.3
2013-04-03,42.65
2013-04-04,40.85
2013-04-05,42.95
2013-04-08,41.1
2013-04-09,41.25
2013-04-10,41.1
2013-04-11,41.95
2013-04-12,41.65
2013-04-15,40.8
2013-04-16,41.25
2013-04-17,42.2
2013-04-18,41.6
2013-04-22,41.0
2013-04-23,41.3
2013-04-25,41.35
2013-04-26,40.75
2013-04-29,40.5
2013-04-30,40.55
2013-05-02,39.1
2013-05-03,41.85
2013-05-06,41.85
2013-05-07,41.1
2013-05-08,41.75
2013-05-09,41.3
2013-05-10,41.0
2013-05-11,41.0
2013-05-13,40.75
2013-05-14,40.9
2013-05-15,40.0
2013-05-16,41.6
2013-05-17,40.5
2013-05-20,40.9
2013-05-21,40.95
2013-05-22,41.1
2013-05-23,39.85
2013-05-24,41.35
2013-05-27,40.5
2013-05-28,40.15
2013-05-29,40.5
