Date,BIL
2013-03-01,181.45
2013-03-04,184.2
2013-03-05,188.95
2013-03-06,198.35
2013-03-07,213.6
2013-03-08,219.9
2013-03-11,218.5
2013-03-12,214.75
2013-03-13,215.7
2013-03-14,215.35
2013-03-15,214.0
2013-03-18,213.5
2013-03-19,211.2
2013-03-20,205.9
2013-03-21,208.45
2013-03-22,204.05
2013-03-25,207.05
2013-03-26,205.8
2013-03-28,200.35
2013-04-01,202.6
2013-04-02,203.25
2013-04-03,202.15
2013-04-04,200.05
2013-04-05,202.15
2013-04-08,200.4
2013-04-09,199.6
2013-04-10,201.3
2013-04-11,199.5
2013-04-12,198.85
2013-04-15,199.9
2013-04-16,210.05
2013-04-17,219.45
2013-04-18,218.6
2013-04-22,227.35
2013-04-23,230.2
2013-04-25,231.9
2013-04-26,231.7
2013-04-29,225.75
2013-04-30,228.3
2013-05-02,227.8
2013-05-03,225.25
2013-05-06,228.4
2013-05-07,232.45
2013-05-08,233.2
2013-05-09,232.5
2013-05-10,233.8
2013-05-11,235.9
2013-05-13,233.45
2013-05-14,233.35
2013-05-15,233.8
2013-05-16,231.95
2013-05-17,231.25
2013-05-20,230.5
2013-05-21,231.5
2013-05-22,230.3
2013-05-23,226.7
2013-05-24,228.3
2013-05-27,228.3
2013-05-28,230.7
2013-05-29,228.5
2013-05-30,224.7
2013-05-31,220.55
2013-06-03,218.0
2013-06-04,216.3
2013-06-05,214.95
2013-06-06,213.65
2013-06-07,218.35
2013-06-10,219.5
2013-06-11,217.55
2013-06-12,214.9
2013-06-13,210.75
2013-06-14,210.55
2013-06-17,209.0
2013-06-18,208.85
2013-06-19,208.55
2013-06-20,208.25
2013-06-21,206.8
2013-06-24,206.4
2013-06-25,203.5
2013-06-26,199.4
2013-06-27,191.5
2013-06-28,190.15
2013-07-01,153.8
2013-07-02,168.9
2013-07-03,171.05
2013-07-04,169.3
2013-07-05,157.05
2013-07-08,171.0
2013-07-09,173.2
2013-07-10,170.7
2013-07-11,170.0
2013-07-12,171.0
2013-07-15,174.4
2013-07-16,170.3
2013-07-17,171.3
2013-07-18,170.0
2013-07-19,170.15
2013-07-22,170.3
2013-07-23,171.85
2013-07-24,167.95
2013-07-25,161.4
2013-07-26,158.85
2013-07-29,158.4
2013-07-30,154.05
2013-07-31,147.85
2013-08-01,134.6
2013-08-02,125.15
2013-08-05,125.25
2013-08-06,116.85
2013-08-07,120.15
2013-08-08,119.1
2013-08-12,114.9
2013-08-13,137.85
2013-08-14,140.2
2013-08-16,139.7
2013-08-19,137.85
2013-08-20,136.2
2013-08-21,139.25
2013-08-22,138.1
2013-08-23,136.9
2013-08-26,140.25
2013-08-27,140.4
2013-08-28,148.3
2013-08-29,155.85
2013-08-30,154.7
2013-09-02,159.2
2013-09-03,156.85
2013-09-04,167.55
2013-09-05,168.05
2013-09-06,162.85
2013-09-10,177.65
2013-09-11,172.7
2013-09-12,170.5
2013-09-13,170.0
2013-09-16,176.5
2013-09-17,177.25
2013-09-18,174.65
2013-09-19,184.25
2013-09-20,186.0
2013-09-23,180.1
2013-09-24,182.4
2013-09-25,180.1
2013-09-26,178.1
2013-09-27,180.15
2013-09-30,182.2
2013-10-01,180.7
2013-10-03,195.2
2013-10-04,194.8
2013-10-07,194.6
2013-10-08,192.95
2013-10-09,189.35
2013-10-10,186.9
2013-10-11,185.5
2013-10-14,204.0
2013-10-15,195.85
2013-10-17,200.65
2013-10-18,197.1
2013-10-21,194.9
2013-10-22,196.8
2013-10-23,196.1
2013-10-24,193.35
2013-10-25,186.9
2013-10-28,184.95
2013-10-29,193.2
2013-10-30,191.45
2013-10-31,189.3
2013-11-01,189.25
2013-11-03,189.8
2013-11-05,189.95
2013-11-06,181.25
