Date,FILATEX
2013-01-01,30.0
2013-01-02,29.95
2013-01-03,29.6
2013-01-04,29.35
2013-01-07,28.9
2013-01-08,29.05
2013-01-09,29.35
2013-01-10,29.3
2013-01-14,29.4
2013-01-15,29.0
2013-01-16,28.6
2013-01-17,29.3
2013-01-18,28.5
2013-01-21,28.25
2013-01-22,28.4
2013-01-23,28.3
2013-01-24,27.3
2013-01-25,26.95
2013-01-28,27.45
2013-01-29,27.05
2013-01-30,28.5
2013-01-31,28.0
2013-02-01,26.8
2013-02-04,26.95
2013-02-05,26.95
2013-02-06,26.8
2013-02-07,26.65
2013-02-08,26.5
2013-02-11,26.75
2013-02-12,26.95
2013-02-13,26.05
2013-02-14,26.05
2013-02-18,26.95
2013-02-19,26.0
2013-02-20,25.85
2013-02-21,25.25
2013-02-22,26.5
2013-02-25,26.0
2013-02-26,25.55
2013-02-27,26.1
2013-02-28,25.0
2013-03-04,24.5
2013-03-05,24.45
2013-03-06,26.0
2013-03-07,23.5
2013-03-08,22.0
2013-03-11,21.5
2013-03-12,20.1
2013-03-13,21.0
2013-03-14,20.3
2013-03-15,19.5
2013-03-18,19.25
2013-03-19,19.75
2013-03-20,18.8
2013-03-21,20.25
2013-03-22,20.0
2013-03-25,20.75
2013-03-26,22.5
2013-03-28,24.65
2013-04-01,24.15
2013-04-02,22.9
2013-04-03,22.4
2013-04-04,22.6
2013-04-05,21.2
2013-04-09,20.15
2013-04-10,19.55
2013-04-15,19.25
2013-04-16,18.5
2013-04-17,18.5
2013-04-18,18.05
2013-04-22,18.95
2013-04-23,19.0
2013-04-25,19.95
2013-04-26,20.25
2013-04-29,20.0
2013-05-02,20.5
2013-05-03,20.5
2013-05-06,21.0
2013-05-07,21.05
2013-05-08,21.05
2013-05-09,21.0
2013-05-10,21.65
2013-05-14,21.05
2013-05-15,21.05
2013-05-16,22.1
2013-05-17,21.5
2013-05-20,21.5
2013-05-21,21.5
2013-05-22,21.5
2013-05-23,21.1
2013-06-06,20.4
2013-06-19,18.4
2013-07-08,17.55
2013-07-12,17.5
2013-07-15,17.5
2013-07-23,16.65
2013-08-01,15.85
2013-08-06,15.45
2013-08-14,15.4
2013-08-16,15.8
2013-08-22,15.55
2013-08-23,15.2
2013-08-27,15.9
2013-09-12,15.9
2013-09-13,15.2
2013-09-17,15.5
2013-09-18,15.1
2013-09-19,15.0
2013-09-23,15.0
2013-09-30,15.0
2013-10-01,15.0
2013-10-09,15.55
2013-10-11,16.3
2013-10-18,15.55
2013-10-23,15.6
2013-10-25,15.0
2013-10-31,15.75
2013-11-01,15.0
2013-11-05,15.75
2013-11-06,15.25
2013-11-08,15.25
2013-11-12,15.4
2013-11-13,15.4
2013-11-27,14.65
2013-12-02,15.2
2013-12-03,14.45
2013-12-04,13.75
2013-12-09,13.1
2013-12-12,13.75
2013-12-13,13.1
2013-12-20,13.0
2013-12-30,12.4
2014-01-02,13.0
2014-01-03,12.5
2014-01-06,13.1
2014-01-07,13.35
2014-01-08,13.65
2014-01-10,13.0
2014-01-13,13.45
2014-01-14,13.35
2014-01-15,13.1
2014-01-16,12.55
2014-01-17,12.75
2014-01-20,12.85
2014-01-23,12.8
2014-01-24,12.6
2014-01-27,12.3
2014-02-03,12.5
2014-02-05,13.1
2014-02-06,12.45
2014-02-07,11.9
2014-02-13,11.4
2014-02-14,11.1
2014-02-21,11.65
2014-02-24,12.2
2014-02-25,12.2
2014-02-28,12.1
2014-03-03,12.55
2014-03-04,11.95
2014-03-06,12.15
2014-03-07,12.1
2014-03-10,12.0
2014-03-11,11.4
2014-03-12,11.5
2014-03-13,11.5
2014-03-14,11.3
2014-03-18,11.75
2014-03-19,12.0
2014-03-21,11.75
2014-03-22,11.2
2014-03-24,11.75
2014-03-26,12.0
2014-03-27,12.6
2014-03-28,13.2
2014-03-31,13.45
2014-04-01,13.4
2014-04-02,13.0
2014-04-03,13.2
2014-04-07,13.2
2014-04-09,13.0
2014-04-10,13.0
2014-04-11,13.25
2014-04-15,13.1
2014-04-16,13.25
2014-04-17,13.5
2014-04-21,13.25
2014-04-22,12.85
2014-04-25,13.45
2014-04-28,13.15
2014-05-02,12.8
2014-05-05,13.4
2014-05-06,13.6
2014-05-08,14.65
2014-05-09,14.0
2014-05-12,13.6
2014-05-13,13.4
2014-05-14,13.05
2014-05-15,13.45
2014-05-16,14.35
2014-05-19,15.5
2014-05-20,17.0
2014-05-21,17.85
2014-05-22,17.9
2014-05-23,18.75
2014-05-26,19.65
2014-05-27,20.5
2014-05-28,21.35
2014-05-29,20.4
2014-05-30,20.0
2014-06-02,20.25
2014-06-05,21.25
2014-08-06,23.3
2014-08-07,22.6
2014-08-11,21.55
2014-08-12,22.6
2014-08-13,22.7
2014-08-14,23.8
2014-08-18,24.95
2014-08-19,23.85
2014-08-20,24.95
2014-08-21,26.15
2014-08-22,27.45
2014-08-25,28.35
2014-08-26,29.75
2014-08-27,31.1
2014-08-28,31.2
2014-09-01,32.0
2014-09-02,32.2
2014-09-03,32.1
2014-09-04,30.7
2014-09-05,29.2
2014-09-08,30.65
2014-10-10,31.25
2014-10-13,31.65
2014-10-14,33.0
2014-10-16,32.5
2014-10-17,33.4
2014-10-20,33.0
2014-10-21,34.0
2014-10-22,34.65
2014-10-23,35.45
2014-10-27,34.0
2014-10-28,34.45
2014-10-29,35.4
2014-10-30,35.0
2014-10-31,34.0
2014-11-03,34.4
2014-11-05,34.3
2014-11-07,33.0
2014-11-10,33.0
2014-11-11,30.7
2014-11-12,30.0
2014-11-13,30.0
2014-11-14,30.0
2014-11-17,32.8
2014-11-18,30.0
2014-11-19,30.0
2014-11-20,30.05
2014-11-21,29.9
2014-11-24,31.35
2014-11-25,31.65
2014-11-26,30.0
2014-11-27,31.0
2014-11-28,34.1
2014-12-01,36.75
2014-12-02,34.95
2014-12-03,35.75
2014-12-04,33.9
2014-12-05,33.6
2014-12-08,32.15
2014-12-09,30.2
