Date,MANALIPETC
2013-01-01,11.1
2013-01-02,11.05
2013-01-03,10.9
2013-01-04,11.25
2013-01-07,11.55
2013-01-08,11.65
2013-01-09,11.55
2013-01-10,11.4
2013-01-11,11.15
2013-01-14,11.25
2013-01-15,11.2
2013-01-16,11.1
2013-01-17,11.1
2013-01-18,11.15
2013-01-21,11.1
2013-01-22,10.9
2013-01-23,10.9
2013-01-24,10.7
2013-01-25,10.8
2013-01-28,10.65
2013-01-29,10.4
2013-01-30,10.45
2013-01-31,10.6
2013-02-01,9.4
2013-02-04,9.45
2013-02-05,9.5
2013-02-06,9.55
2013-02-07,9.25
2013-02-08,9.2
2013-02-11,9.1
2013-02-12,9.1
2013-02-13,9.1
2013-02-14,9.0
2013-02-15,8.85
2013-02-18,8.95
2013-02-19,8.95
2013-02-20,8.95
2013-02-21,8.8
2013-02-22,8.75
2013-02-25,8.8
2013-02-26,8.7
2013-02-27,8.75
2013-02-28,8.45
2013-03-01,8.6
2013-03-04,8.5
2013-03-05,8.65
2013-03-06,8.85
2013-03-07,8.8
2013-03-08,8.7
2013-03-11,8.75
2013-03-12,8.65
2013-03-13,8.55
2013-03-14,8.65
2013-03-15,8.7
2013-03-18,8.65
2013-03-19,8.5
2013-03-20,8.35
2013-03-21,8.1
2013-03-22,8.05
2013-03-25,7.95
2013-03-26,7.95
2013-03-28,8.0
2013-04-01,8.1
2013-04-02,8.35
2013-04-03,8.25
2013-04-04,8.05
2013-04-05,8.3
2013-04-08,8.4
2013-04-09,8.35
2013-04-10,8.35
2013-04-11,8.45
2013-04-12,8.45
2013-04-15,8.5
2013-04-16,8.45
2013-04-17,8.5
2013-04-18,8.6
2013-04-22,8.75
2013-04-23,9.15
2013-04-25,9.0
2013-04-26,8.9
2013-04-29,8.95
2013-04-30,8.95
2013-05-02,8.95
2013-05-03,8.95
2013-05-06,9.0
2013-05-07,9.0
2013-05-08,8.95
2013-05-09,8.95
2013-05-10,8.95
2013-05-11,8.9
2013-05-13,8.95
2013-05-14,8.95
2013-05-15,8.9
2013-05-16,8.9
2013-05-17,8.9
2013-05-20,8.85
2013-05-21,8.8
2013-05-22,8.8
2013-05-23,8.5
2013-05-24,8.7
2013-05-27,8.3
2013-05-28,8.4
2013-05-29,8.35
2013-05-30,8.35
2013-05-31,8.25
2013-06-03,8.3
2013-06-04,8.25
2013-06-05,8.25
2013-06-06,8.3
2013-06-07,8.4
2013-06-10,8.2
2013-06-11,8.35
2013-06-12,8.2
2013-06-13,8.2
2013-06-14,8.3
2013-06-17,8.25
2013-06-18,8.35
2013-06-19,8.4
2013-06-20,8.15
2013-06-21,8.05
2013-06-24,8.1
2013-06-25,8.0
2013-06-26,8.0
2013-06-27,8.0
2013-06-28,8.2
2013-07-01,8.2
2013-07-02,8.2
2013-07-03,8.05
2013-07-04,8.05
2013-07-05,8.05
2013-07-08,8.1
2013-07-09,8.15
2013-07-10,8.15
2013-07-11,8.2
2013-07-12,8.45
2013-07-15,8.5
2013-07-16,8.5
2013-07-17,8.55
2013-07-18,7.95
2013-07-19,8.0
2013-07-22,7.95
2013-07-23,7.95
2013-07-24,7.8
2013-07-25,7.75
2013-07-26,7.75
2013-07-29,7.45
2013-07-30,7.3
2013-07-31,6.95
2013-08-01,6.95
2013-08-02,6.9
2013-08-05,6.7
2013-08-06,6.1
2013-08-07,6.4
2013-08-08,6.55
2013-08-12,6.6
2013-08-13,6.65
2013-08-14,6.6
2013-08-16,6.35
2013-08-19,6.3
2013-08-20,6.3
2013-08-21,6.3
2013-08-22,6.5
2013-08-23,6.55
2013-08-26,6.75
2013-08-27,6.6
2013-08-28,6.45
