Date,PANAMAPET
2013-01-01,136.5
2013-01-02,135.5
2013-01-03,138.05
2013-01-04,139.5
2013-01-08,133.9
2013-01-09,133.1
2013-01-10,131.5
2013-01-11,133.0
2013-01-14,131.15
2013-01-15,133.3
2013-01-16,131.1
2013-01-17,130.45
2013-01-18,133.0
2013-01-21,149.95
2013-01-22,151.2
2013-01-23,146.15
2013-01-24,144.25
2013-01-25,142.4
2013-01-28,138.25
2013-01-29,141.85
2013-01-30,140.15
2013-01-31,139.5
2013-02-01,136.4
2013-02-04,133.35
2013-02-05,126.95
2013-02-06,125.95
2013-02-07,124.85
2013-02-08,127.3
2013-02-11,142.55
2013-02-12,138.3
2013-02-13,138.4
2013-02-14,134.3
2013-02-15,131.35
2013-02-18,131.1
2013-02-19,134.65
2013-02-20,133.0
2013-02-21,133.9
2013-02-22,133.25
2013-02-25,135.3
2013-02-26,132.8
2013-02-27,131.1
2013-02-28,134.05
2013-03-01,133.95
2013-03-04,132.0
2013-03-05,132.1
2013-03-06,135.0
2013-03-07,132.25
2013-03-08,135.0
2013-03-11,137.0
2013-03-12,137.75
2013-03-13,136.4
2013-03-14,137.1
2013-03-15,133.15
2013-03-18,135.95
2013-03-19,132.5
2013-03-20,135.0
2013-03-21,135.0
2013-03-22,134.95
2013-03-25,135.0
2013-03-26,135.0
2013-03-28,135.8
2013-04-01,138.1
2013-04-02,135.0
2013-04-03,135.1
2013-04-04,135.05
2013-04-05,137.6
2013-04-08,137.6
2013-04-09,138.85
2013-04-10,139.9
2013-04-11,140.05
2013-04-12,140.05
2013-04-15,140.95
2013-04-16,140.0
2013-04-17,140.0
2013-04-18,140.0
2013-04-22,140.0
2013-04-23,137.75
2013-04-25,138.0
2013-04-26,138.0
2013-04-29,138.0
2013-04-30,138.0
2013-05-02,139.9
2013-05-03,138.1
2013-05-06,142.15
2013-05-07,141.0
2013-05-08,138.1
2013-05-09,138.05
2013-05-10,138.0
2013-05-11,135.0
2013-05-13,138.05
2013-05-14,139.8
2013-05-15,138.0
2013-05-16,138.05
2013-05-17,138.0
2013-05-20,140.0
2013-05-21,136.05
2013-05-22,136.0
2013-05-23,136.0
2013-05-24,136.0
2013-05-27,140.0
2013-05-28,136.0
2013-05-29,136.0
2013-05-30,135.0
2013-06-03,132.0
2013-06-04,130.15
2013-06-05,129.75
2013-06-06,128.0
2013-06-07,128.0
2013-06-10,126.0
2013-06-11,124.0
2013-06-13,127.85
2013-06-14,125.5
2013-06-17,127.0
2013-06-18,122.2
