Date,VAIBHAVGBL
2013-03-01,108.65
2013-03-04,103.25
2013-03-05,98.15
2013-03-06,93.25
2013-03-07,102.55
2013-03-08,112.8
2013-03-11,120.35
2013-03-12,114.35
2013-03-13,108.65
2013-03-14,107.5
2013-03-15,106.7
2013-03-18,105.15
2013-03-19,99.9
2013-03-20,100.15
2013-03-21,102.85
2013-03-22,103.05
2013-03-25,105.1
2013-03-26,106.9
2013-03-28,112.2
2013-04-01,117.8
2013-04-02,123.65
2013-04-03,125.4
2013-04-04,122.5
2013-04-05,119.8
2013-04-08,119.05
2013-04-09,117.9
2013-04-10,120.6
2013-04-11,122.2
2013-04-12,122.85
2013-04-15,119.95
2013-04-16,118.2
2013-04-17,118.8
2013-04-18,118.65
2013-04-22,124.4
2013-04-23,125.05
2013-04-25,121.25
2013-04-26,120.95
2013-04-29,124.0
2013-04-30,122.2
2013-05-02,119.0
2013-05-03,117.0
2013-05-06,118.25
2013-05-07,123.85
2013-05-08,127.25
2013-05-09,126.15
2013-05-10,127.2
2013-05-11,132.45
2013-05-13,128.75
2013-05-14,127.5
2013-05-15,131.9
2013-05-16,133.25
2013-05-17,132.65
2013-05-20,129.6
2013-05-21,125.05
2013-05-22,121.6
2013-05-23,122.0
2013-05-24,125.6
2013-05-27,135.8
2013-05-28,138.85
2013-05-29,142.05
2013-05-30,139.65
2013-05-31,140.0
2013-06-03,139.0
2013-06-04,139.2
2013-06-05,144.0
2013-06-06,145.25
2013-06-07,145.0
2013-06-10,147.8
2013-06-11,145.0
2013-06-12,143.5
2013-06-13,143.0
2013-06-14,149.0
2013-06-17,150.8
2013-06-18,151.9
2013-06-19,150.6
2013-06-20,150.0
2013-06-21,150.0
2013-06-24,146.15
2013-06-25,149.05
2013-06-26,151.5
2013-06-27,162.5
2013-06-28,164.4
2013-07-01,161.65
2013-07-02,163.0
2013-07-03,162.25
2013-07-04,161.65
2013-07-05,161.1
2013-07-08,161.0
2013-07-09,160.15
2013-07-10,161.45
2013-07-11,160.95
2013-07-12,160.4
2013-07-15,162.4
2013-07-16,166.05
2013-07-17,166.55
2013-07-18,171.6
2013-07-19,167.0
2013-07-22,164.5
2013-07-23,165.0
2013-07-24,164.05
2013-07-25,167.65
2013-07-26,163.6
2013-07-29,161.25
2013-07-30,162.25
2013-07-31,164.45
2013-08-01,166.5
2013-08-02,169.7
2013-08-05,167.05
2013-08-06,163.2
2013-08-07,164.05
2013-08-08,169.15
2013-08-12,169.35
2013-08-13,170.0
