Date,NIBL
2013-05-02,8.45
2013-05-03,9.25
2013-05-06,10.15
2013-05-07,10.65
2013-05-08,10.65
2013-05-09,10.35
2013-05-10,10.35
2013-05-11,9.85
2013-05-13,9.4
2013-05-14,8.95
2013-05-15,9.35
2013-05-16,9.55
2013-05-17,9.55
2013-05-20,9.75
2013-05-21,9.6
2013-05-22,10.0
2013-05-23,9.6
2013-05-24,10.0
2013-05-27,10.0
2013-05-28,9.5
2013-05-29,9.95
2013-05-30,9.9
2013-05-31,9.45
2013-06-03,9.85
2013-06-04,9.95
2013-06-05,9.9
2013-06-06,9.9
2013-06-07,9.45
2013-06-10,9.9
2013-06-11,9.45
2013-06-12,9.5
2013-06-13,9.05
2013-06-14,9.4
2013-06-17,9.5
2013-06-18,9.4
2013-06-19,9.45
2013-06-20,9.0
2013-06-24,8.6
2013-06-25,8.2
2013-06-26,8.2
2013-06-27,7.8
2013-06-28,7.8
2013-07-02,7.8
2013-07-03,7.85
2013-07-05,7.55
2013-07-08,7.5
2013-07-09,7.5
2013-07-11,7.85
2013-07-12,8.2
2013-07-15,8.2
2013-07-16,7.8
2013-07-17,7.5
2013-07-18,7.85
2013-07-19,7.8
2013-07-22,7.45
2013-07-23,7.6
2013-07-24,7.3
2013-07-25,7.3
2013-07-26,6.95
2013-07-29,6.95
2013-07-31,7.0
2013-08-02,7.0
2013-08-08,7.0
2013-08-12,7.0
2013-08-13,6.7
2013-08-14,7.0
2013-08-16,7.1
2013-08-19,7.1
2013-08-20,7.4
2013-08-21,7.25
2013-08-22,7.25
2013-08-23,7.05
2013-08-26,7.4
2013-08-27,7.05
2013-08-28,7.4
2013-08-29,7.5
2013-08-30,7.5
2013-09-02,7.85
2013-09-03,7.55
2013-09-04,7.85
2013-09-05,8.2
2013-09-06,8.6
2013-09-10,8.25
2013-09-11,9.05
2013-09-13,8.65
2013-09-16,9.25
2013-09-17,9.0
2013-09-18,8.85
2013-09-19,9.2
2013-09-20,8.8
2013-09-23,8.25
2013-09-24,8.75
2013-09-25,8.3
2013-09-26,8.45
2013-09-27,8.5
2013-09-30,8.55
2013-10-01,8.3
2013-10-03,8.95
2013-10-04,8.55
2013-10-07,9.1
2013-10-08,8.4
2013-10-09,8.1
2013-10-10,8.1
2013-10-11,8.1
2013-10-14,8.9
2013-10-18,8.2
2013-10-21,7.4
2013-10-22,8.1
2013-10-23,8.15
2013-10-24,8.1
2013-10-28,7.35
2013-10-30,8.05
2013-11-01,8.85
2013-11-06,9.45
2013-11-08,9.9
2013-11-11,8.95
2013-11-14,8.1
2013-11-18,7.5
2013-11-19,7.15
2013-11-20,7.5
2013-11-25,7.55
2013-11-27,7.5
2013-11-28,7.5
2013-12-02,7.75
2013-12-04,7.7
2013-12-05,8.0
2013-12-24,7.6
2013-12-26,7.3
2013-12-27,7.0
2013-12-30,7.0
2013-12-31,7.0
2014-01-01,7.0
2014-01-02,7.0
2014-01-03,7.0
2014-01-06,7.35
2014-01-07,7.7
2014-01-08,8.05
2014-01-09,7.65
2014-01-10,7.3
2014-01-13,6.95
2014-01-14,6.65
2014-01-15,6.35
2014-01-16,6.05
2014-01-17,5.75
2014-01-20,6.0
2014-01-21,5.85
2014-01-22,5.6
2014-01-23,5.35
2014-01-24,5.6
2014-01-27,5.35
2014-01-28,5.1
2014-01-29,5.3
2014-01-30,5.05
2014-01-31,4.8
2014-02-03,5.0
2014-02-04,4.75
2014-02-05,4.95
2014-02-06,4.75
2014-02-07,4.95
2014-02-10,5.15
2014-02-11,5.35
2014-02-12,5.1
2014-02-13,4.85
2014-02-14,5.05
2014-02-17,4.8
2014-02-18,4.6
2014-02-19,4.7
2014-02-20,4.5
2014-02-21,4.3
2014-02-24,4.1
2014-02-25,3.9
2014-02-26,3.95
2014-02-28,3.85
2014-03-03,4.0
2014-03-04,4.2
2014-03-05,4.4
2014-03-06,4.2
2014-03-07,4.0
2014-03-10,3.95
2014-03-11,3.8
2014-03-12,3.65
2014-03-13,3.8
2014-03-14,3.65
2014-03-18,3.65
2014-03-19,3.5
2014-03-20,3.35
2014-03-21,3.5
2014-03-22,3.45
2014-03-24,3.6
2014-03-25,3.5
2014-03-26,3.65
2014-03-27,3.8
2014-03-28,3.95
2014-03-31,4.1
2014-04-01,4.3
2014-04-02,4.5
2014-04-03,4.7
2014-04-04,4.9
2014-04-07,5.1
2014-04-09,5.35
2014-04-10,5.6
2014-04-11,5.85
2014-06-13,11.1
2014-06-16,11.65
2014-06-17,12.2
2014-06-18,12.8
2014-06-19,13.4
2014-06-20,14.05
2014-06-23,14.75
2014-06-24,15.45
2014-06-25,16.2
2014-06-26,17.0
2014-06-27,16.95
2014-09-09,17.35
2014-09-10,17.9
2014-09-11,18.0
2014-09-12,17.7
2014-09-15,17.8
2014-09-16,17.05
2014-09-17,17.5
2014-09-18,17.3
2014-09-19,17.0
2014-09-22,17.4
2014-09-23,17.05
2014-09-24,17.0
2014-09-25,17.0
2014-09-26,16.55
2014-09-29,17.05
2014-09-30,17.1
2014-10-01,17.1
2014-10-07,17.95
2014-10-08,19.5
2014-10-09,20.7
2014-10-10,20.0
2014-10-13,20.0
2014-10-14,20.05
2014-10-16,20.0
2014-10-17,20.0
2014-10-20,20.0
2014-10-21,19.9
2014-10-22,19.95
2014-10-23,20.05
2014-10-27,20.0
2014-10-28,20.2
2014-10-29,20.2
2014-10-30,21.0
2014-10-31,21.35
2014-11-03,21.1
2014-11-05,20.75
2014-11-07,21.85
2014-11-10,22.8
2014-11-11,22.6
2014-11-12,25.1
2014-11-13,30.1
2014-11-14,34.1
2014-11-17,31.95
2014-11-18,31.25
2014-11-19,29.05
2014-11-20,27.8
2014-11-21,25.7
2014-11-24,26.95
2014-11-25,28.2
2014-11-26,29.1
2014-11-27,28.95
2014-11-28,29.0
2014-12-01,29.0
2014-12-02,30.35
2014-12-03,30.65
2014-12-04,30.35
2014-12-05,30.0
2014-12-08,30.3
2014-12-09,30.45
2014-12-10,30.0
2014-12-11,30.35
2014-12-12,30.15
2014-12-15,30.1
2014-12-16,31.05
2014-12-17,31.45
2014-12-18,32.85
2014-12-19,34.45
2014-12-22,36.15
2014-12-23,37.95
2014-12-24,39.8
2014-12-26,41.75
2014-12-29,43.8
2014-12-30,42.7
2014-12-31,43.35
2015-01-01,42.4
2015-01-02,43.0
2015-01-05,42.65
2015-02-10,38.0
2015-02-11,37.2
2015-02-12,36.5
2015-02-13,37.35
2015-02-16,38.0
2015-02-18,37.45
2015-02-19,37.2
2015-02-20,37.8
2015-02-23,37.25
2015-02-24,36.65
2015-02-25,34.9
2015-02-26,34.8
2015-02-27,34.4
2015-02-28,34.5
2015-03-02,34.0
2015-03-03,34.0
2015-03-04,33.5
2015-03-05,33.15
2015-03-09,32.7
2015-03-10,34.45
2015-03-11,37.65
2015-03-12,36.7
2015-03-13,34.75
2015-03-16,34.1
2015-03-17,35.05
2015-03-18,38.5
2015-03-19,39.85
2015-03-20,38.7
