Date,DALMIABHA
2013-01-01,179.7
2013-01-02,181.1
2013-01-03,188.55
2013-01-04,185.35
2013-01-07,190.55
2013-01-08,195.4
2013-01-09,200.0
2013-01-10,194.95
2013-01-11,187.4
2013-01-14,187.6
2013-01-15,190.8
2013-01-16,187.5
2013-01-17,187.0
2013-01-18,184.4
2013-01-21,187.45
2013-01-22,188.5
2013-01-23,181.35
2013-01-24,182.05
2013-01-25,182.65
2013-01-28,182.2
2013-01-29,180.1
2013-01-30,180.1
2013-01-31,177.5
2013-02-01,179.3
2013-02-04,177.65
2013-02-05,176.15
2013-02-06,175.05
2013-02-07,170.1
2013-02-08,166.15
2013-02-11,158.3
2013-02-12,159.85
2013-02-13,156.15
2013-02-14,151.95
2013-02-15,155.05
2013-02-18,159.7
2013-02-19,150.05
2013-02-20,161.45
2013-02-21,161.95
2013-02-22,163.55
2013-02-25,170.3
2013-02-26,163.5
2013-02-27,162.0
2013-02-28,163.45
2013-03-01,157.55
2013-03-04,153.6
2013-03-05,151.6
2013-03-06,154.85
2013-03-07,156.05
2013-03-08,158.1
2013-03-11,160.55
2013-03-12,162.95
2013-03-13,162.7
2013-03-14,160.7
2013-03-15,151.4
2013-03-18,156.3
2013-03-19,147.85
2013-03-20,145.95
2013-03-21,139.35
2013-03-22,140.35
2013-03-25,147.1
2013-03-26,147.5
2013-03-28,146.05
2013-04-01,146.3
2013-04-02,154.2
2013-04-03,150.6
2013-04-04,150.1
2013-04-05,149.55
2013-04-08,148.05
2013-04-09,146.8
2013-04-10,143.45
2013-04-11,144.0
2013-04-12,141.85
2013-04-15,142.5
2013-04-16,139.65
2013-04-17,140.0
2013-04-18,139.95
2013-04-22,139.55
2013-04-23,135.45
2013-04-25,132.2
2013-04-26,127.5
2013-04-29,128.2
2013-04-30,128.2
2013-05-02,128.9
2013-05-03,127.1
2013-05-06,128.85
2013-05-07,129.25
2013-05-08,131.0
2013-05-09,130.0
2013-05-10,130.0
2013-05-11,128.65
2013-05-13,130.9
2013-05-14,130.2
2013-05-15,133.0
2013-05-16,130.0
2013-05-17,133.25
2013-05-20,136.4
2013-05-21,129.7
2013-05-22,127.15
2013-05-23,123.4
2013-05-24,124.7
2013-05-27,127.4
2013-05-28,126.2
2013-05-29,126.35
2013-05-30,128.65
2013-05-31,132.3
2013-06-03,137.6
2013-06-04,134.05
2013-06-05,142.5
2013-06-06,140.45
2013-06-07,137.2
2013-06-10,133.1
2013-06-11,128.1
2013-06-12,129.2
2013-06-13,134.75
2013-06-14,131.8
2013-06-17,130.7
2013-06-18,131.65
2013-06-19,130.4
