Date,DHUNINV
2013-01-01,63.25
2013-01-03,64.45
2013-01-07,63.5
2013-01-08,60.6
2013-01-09,60.3
2013-01-10,60.5
2013-01-14,62.0
2013-01-15,64.4
2013-01-16,61.2
2013-01-17,60.5
2013-01-18,60.55
2013-01-21,60.55
2013-01-22,60.0
2013-01-23,60.5
2013-01-24,59.3
2013-01-25,59.0
2013-01-28,59.0
2013-01-29,58.4
2013-01-30,56.1
2013-01-31,58.9
2013-02-04,56.5
2013-02-05,57.0
2013-02-07,57.05
2013-02-08,59.45
2013-02-11,57.05
2013-02-13,57.0
2013-02-15,59.8
2013-02-25,55.0
2013-02-26,53.65
2013-02-27,55.95
2013-03-01,53.3
2013-03-06,55.95
2013-03-07,57.7
2013-03-08,55.05
2013-03-11,57.8
2013-03-12,55.45
2013-03-14,56.85
2013-03-18,54.5
2013-03-28,53.75
2013-04-01,51.75
2013-04-02,51.05
2013-04-03,53.45
2013-04-05,53.9
2013-04-18,51.6
2013-04-22,52.0
2013-04-23,51.35
2013-04-25,52.0
2013-04-29,51.35
2013-04-30,51.0
2013-05-02,50.6
2013-05-07,50.0
2013-05-08,51.0
2013-05-09,50.0
2013-05-10,50.0
2013-05-11,48.1
2013-05-14,48.35
2013-05-22,48.85
2013-05-30,49.0
2013-06-24,49.95
2013-06-27,48.95
2013-07-02,48.95
2013-07-03,47.25
2013-07-17,45.2
2013-07-31,45.0
2013-08-26,44.1
2013-08-29,43.8
2013-09-05,42.05
2013-09-06,40.3
2013-09-25,42.2
2013-09-30,44.0
2013-10-04,44.05
2013-10-08,46.25
2013-10-15,48.55
2013-10-18,50.0
2013-10-21,50.35
2013-10-22,50.5
2013-10-23,50.9
2013-10-24,50.1
2013-10-28,48.75
2013-11-01,48.05
2013-11-05,48.1
2013-11-07,50.2
2013-11-08,48.55
2013-11-12,47.6
2013-11-14,49.0
2013-11-18,48.25
2013-11-19,48.65
2013-11-25,49.2
2013-12-02,49.0
2013-12-03,49.0
2013-12-06,51.2
2013-12-26,53.7
2013-12-27,53.0
2014-01-01,50.6
2014-01-06,51.2
2014-01-07,50.15
2014-01-10,52.0
2014-01-13,51.0
2014-01-14,51.05
2014-01-15,50.65
2014-01-16,51.0
2014-01-17,50.5
2014-01-20,50.0
2014-01-22,50.3
2014-01-24,49.15
2014-01-29,51.0
2014-01-31,50.25
2014-02-03,50.95
2014-02-04,50.05
2014-02-05,52.55
2014-02-06,52.6
2014-02-07,52.35
2014-02-10,53.55
2014-02-11,53.0
2014-02-12,53.7
2014-02-13,53.7
2014-02-14,53.0
2014-02-17,53.05
2014-02-18,55.0
2014-02-19,55.0
2014-02-21,57.75
2014-02-25,56.0
2014-03-03,55.0
2014-03-04,54.4
2014-03-05,55.0
2014-03-06,55.0
2014-03-07,58.9
2014-03-10,53.6
2014-03-12,54.1
2014-03-18,58.5
2014-03-19,52.75
2014-03-20,55.5
2014-03-21,53.65
2014-03-24,55.05
2014-03-25,53.7
2014-03-27,53.85
2014-03-28,53.5
