Date,UFO
2015-05-14,597.3
2015-05-15,611.25
2015-05-18,603.3
2015-05-19,605.6
2015-05-20,607.15
2015-05-21,601.45
2015-05-22,600.0
2015-05-25,591.4
2015-05-26,584.95
2015-05-27,586.05
2015-05-28,580.5
2015-05-29,586.45
2015-06-01,585.0
2015-06-02,562.25
2015-06-03,535.95
2015-06-04,553.45
2015-06-05,574.6
2015-06-08,553.75
2015-06-09,560.9
2015-06-10,573.45
2015-06-11,558.3
2015-06-12,552.0
2015-06-15,555.15
2015-06-16,561.65
2015-06-17,564.05
2015-06-18,563.95
2015-06-19,556.1
2015-06-22,571.9
2015-06-23,570.55
2015-06-24,570.3
2015-06-25,575.0
2015-06-26,574.4
2015-06-29,561.9
2015-06-30,568.8
2015-07-01,572.25
2015-07-02,578.55
2015-07-03,575.1
2015-07-06,585.6
2015-07-07,605.35
2015-07-08,611.3
2015-07-09,612.95
2015-07-10,617.85
2015-07-13,620.55
2015-07-14,614.3
2015-07-15,616.0
2015-07-16,616.6
2015-07-17,627.15
2015-07-20,618.7
2015-07-21,607.8
2015-07-22,625.55
2015-07-23,616.3
2015-07-24,618.85
2015-07-27,610.0
2015-07-28,610.0
2015-07-29,611.1
2015-07-30,604.95
2015-07-31,620.0
2015-08-03,620.15
2015-08-04,629.1
2015-08-05,629.65
2015-08-06,620.15
2015-08-07,610.9
2015-08-10,598.55
2015-08-11,605.1
2015-08-12,590.4
2015-08-13,585.7
2015-08-14,610.8
2015-08-17,601.2
2015-08-18,611.4
2015-08-19,628.5
2015-08-20,613.9
2015-08-21,614.1
2015-08-24,580.55
2015-08-25,560.15
2015-08-26,550.2
2015-08-27,562.4
2015-08-28,549.45
2015-08-31,561.45
2015-09-01,565.05
2015-09-02,561.95
2015-09-03,557.55
2015-09-04,557.75
2015-09-07,564.95
2015-09-08,565.4
2015-09-09,565.9
2015-09-10,550.55
2015-09-11,564.2
2015-09-14,547.3
2015-09-15,562.55
2015-09-16,565.3
2015-09-18,565.1
2015-09-21,568.65
2015-09-22,567.0
2015-09-23,567.5
2015-09-24,566.55
2015-09-28,558.65
2015-09-29,551.05
2015-09-30,571.85
2015-10-01,553.65
2015-10-05,549.6
2015-10-06,547.15
2015-10-07,545.2
2015-10-08,542.95
2015-10-09,559.85
2015-10-12,553.25
2015-10-13,551.3
2015-10-14,555.0
2015-10-15,549.0
2015-10-16,545.95
2015-10-19,543.1
2015-10-20,534.85
2015-10-21,544.8
2015-10-23,538.85
2015-10-26,530.35
2015-10-27,527.75
2015-10-28,524.75
2015-10-29,497.8
2015-10-30,549.9
2015-11-02,532.15
2015-11-03,533.6
2015-11-04,531.45
2015-11-05,526.6
2015-11-06,513.35
2015-11-09,510.8
2015-11-10,539.05
2015-11-11,543.1
2015-11-13,552.25
2015-11-16,553.15
2015-11-17,551.6
2015-11-18,550.35
2015-11-19,558.9
2015-11-20,549.5
2015-11-23,539.85
2015-11-24,544.1
2015-11-26,539.3
2015-11-27,534.7
2015-11-30,532.8
2015-12-01,534.65
2015-12-02,552.1
2015-12-03,560.1
