Date,GET&D
2013-01-01,186.15
2013-01-02,185.75
2013-01-03,185.55
2013-01-04,185.85
2013-01-07,186.05
2013-01-08,186.05
2013-01-09,186.05
2013-01-10,186.1
2013-01-11,186.25
2013-01-14,186.35
2013-01-15,186.3
2013-01-16,179.35
2013-01-17,176.05
2013-01-18,174.25
2013-01-21,174.0
2013-01-22,173.1
2013-01-23,170.3
2013-01-24,174.0
2013-01-25,173.9
2013-01-28,176.3
2013-01-29,177.45
2013-01-30,180.4
2013-01-31,181.0
2013-02-01,177.05
2013-02-04,184.05
2013-02-05,182.25
2013-02-06,183.1
2013-02-07,179.0
2013-02-08,182.65
2013-02-11,179.9
2013-02-12,176.35
2013-02-13,175.7
2013-02-14,175.05
2013-02-15,168.85
2013-02-18,166.85
2013-02-19,165.95
2013-02-20,168.0
2013-02-21,169.2
2013-02-22,166.1
2013-02-25,160.85
2013-02-26,158.7
2013-02-27,164.2
2013-02-28,165.15
2013-03-01,159.6
2013-03-04,160.0
2013-03-05,164.9
2013-03-06,164.55
2013-03-07,162.3
2013-03-08,162.15
2013-03-11,159.9
2013-03-12,156.3
2013-03-13,154.45
2013-03-14,152.75
2013-03-15,151.05
2013-03-18,153.3
2013-03-19,148.8
2013-03-20,149.35
2013-03-21,147.3
2013-03-22,143.95
2013-03-25,144.95
2013-03-26,145.45
2013-03-28,146.9
2013-04-01,149.65
2013-04-02,156.9
2013-04-03,152.8
2013-04-04,150.75
2013-04-05,149.95
2013-04-08,151.6
2013-04-09,148.25
2013-04-10,151.95
2013-04-11,149.9
2013-04-12,148.05
2013-04-15,150.0
2013-04-16,148.4
2013-04-17,147.15
2013-04-18,152.0
2013-04-22,156.0
2013-04-23,159.7
2013-04-25,159.8
2013-04-26,155.65
2013-04-29,160.35
2013-04-30,165.35
2013-05-02,160.7
2013-05-03,166.5
2013-05-06,163.75
2013-05-07,164.6
2013-05-08,160.3
2013-05-09,164.55
2013-05-10,164.15
2013-05-11,163.35
2013-05-13,160.05
2013-05-14,158.3
2013-05-15,160.75
2013-05-16,167.05
2013-05-17,181.85
2013-05-20,174.0
2013-05-21,176.2
2013-05-22,175.05
2013-05-23,170.55
2013-05-24,168.85
2013-05-27,168.45
2013-05-28,168.45
2013-05-29,167.15
2013-05-30,162.2
2013-05-31,159.15
2013-06-03,157.45
2013-06-04,157.65
2013-06-05,154.5
2013-06-06,156.3
2013-06-07,155.85
2013-06-10,155.05
2013-06-11,155.05
2013-06-12,153.9
2013-06-13,154.35
2013-06-14,152.9
2013-06-17,151.85
2013-06-18,151.85
2013-06-19,152.25
2013-06-20,150.2
2013-06-21,171.55
2013-06-24,166.1
2013-06-25,169.05
2013-06-26,168.15
2013-06-27,170.7
2013-06-28,169.1
2013-07-01,167.95
2013-07-02,166.6
