Date,PPAP
2013-01-01,46.95
2013-01-02,47.0
2013-01-03,46.8
2013-01-04,47.1
2013-01-07,46.95
2013-01-08,45.95
2013-01-09,44.7
2013-01-10,44.95
2013-01-11,47.65
2013-01-14,45.8
2013-01-15,45.6
2013-01-16,46.85
2013-01-17,46.05
2013-01-18,48.5
2013-01-21,46.3
2013-01-22,45.6
2013-01-23,45.0
2013-01-24,44.5
2013-01-25,44.35
2013-01-28,44.8
2013-01-29,44.25
2013-01-30,45.0
2013-01-31,45.2
2013-02-01,45.0
2013-02-04,45.4
2013-02-05,47.0
2013-02-06,45.75
2013-02-07,47.1
2013-02-08,45.75
2013-02-11,44.9
2013-02-12,44.55
2013-02-13,45.0
2013-02-14,44.85
2013-02-15,46.0
2013-02-18,46.1
2013-02-19,47.25
2013-02-20,44.35
2013-02-21,44.45
2013-02-22,43.2
2013-02-25,43.0
2013-02-26,43.0
2013-02-27,43.05
2013-02-28,43.0
2013-03-01,41.45
2013-03-04,41.8
2013-03-05,40.7
2013-03-06,41.85
2013-03-07,40.7
2013-03-08,41.05
2013-03-11,40.5
2013-03-12,40.65
2013-03-13,39.5
2013-03-14,39.2
2013-03-15,39.0
2013-03-18,38.55
2013-03-19,37.05
2013-03-20,36.0
2013-03-21,34.5
2013-03-22,34.8
2013-03-25,34.3
2013-03-26,35.95
2013-03-28,34.25
2013-04-01,37.95
2013-04-02,37.0
2013-04-03,37.0
2013-04-04,38.5
2013-04-05,36.25
2013-04-08,35.65
2013-04-09,36.7
2013-04-10,34.7
2013-04-11,34.1
2013-04-12,36.95
2013-04-15,35.0
2013-04-16,35.05
2013-04-17,35.0
2013-04-18,35.0
2013-04-22,34.45
2013-04-23,33.95
2013-04-25,33.5
2013-04-26,33.0
2013-04-29,38.15
2013-04-30,36.0
2013-05-02,36.25
2013-05-03,43.5
2013-05-06,42.05
2013-05-07,41.1
2013-05-08,41.4
2013-05-09,41.2
2013-05-10,41.0
2013-05-13,40.0
2013-05-14,42.0
2013-05-15,46.15
2013-05-16,46.6
2013-05-17,45.5
2013-05-20,48.4
2013-05-21,48.95
2013-05-22,46.0
2013-05-23,44.1
2013-05-24,45.05
2013-05-27,46.8
2013-05-28,47.15
2013-05-29,49.85
2013-05-30,48.5
2013-05-31,46.0
2013-06-03,46.0
2013-06-04,48.0
2013-06-05,45.95
2013-06-06,45.4
2013-06-07,45.95
2013-06-10,45.85
2013-06-11,46.15
2013-06-12,45.45
2013-06-13,44.9
2013-09-02,26.0
2013-09-03,25.25
2013-09-04,25.25
2013-09-05,26.0
2013-09-06,25.0
2013-09-10,26.25
2013-09-11,25.5
2013-09-12,25.75
2013-09-16,27.0
2013-09-17,28.35
2013-09-18,29.5
2013-09-19,30.95
2013-09-20,32.45
2013-09-23,34.0
2013-09-24,33.5
2013-09-25,34.9
2013-09-26,33.5
2013-09-27,35.1
2013-09-30,34.0
2013-10-01,35.7
2013-10-03,36.0
2013-10-04,35.65
2013-10-07,36.4
2013-10-08,37.9
2013-10-09,36.9
2013-10-10,37.75
2013-10-11,38.9
2013-10-14,38.0
2013-10-15,37.75
2013-10-17,36.0
2013-10-18,37.4
2013-10-21,38.0
2013-10-22,37.9
2013-10-23,36.05
2013-10-24,34.25
2013-10-25,34.2
2013-10-28,34.2
2013-10-29,33.5
2013-10-30,33.0
2013-10-31,31.35
2013-11-01,32.8
2013-11-03,33.85
2013-11-05,32.2
2013-11-06,33.8
2013-11-07,34.5
2013-11-08,34.8
2013-11-11,36.45
2013-11-12,36.45
2013-11-13,34.65
2013-11-14,33.0
2013-11-18,31.6
2013-11-19,31.5
2013-11-20,33.0
2013-11-21,31.35
2013-11-22,29.8
2013-11-25,30.5
2013-11-26,31.75
2013-11-27,30.2
2013-11-28,28.7
2013-11-29,29.9
2013-12-02,29.5
2013-12-03,29.0
2013-12-04,29.0
2013-12-05,29.0
2013-12-06,29.0
2013-12-09,30.0
2013-12-10,30.0
2013-12-11,29.95
2013-12-12,29.0
2013-12-13,29.0
2013-12-16,29.0
2013-12-17,27.6
2013-12-18,28.95
2013-12-19,30.35
2013-12-20,31.85
2013-12-23,30.9
2013-12-24,31.4
2013-12-26,32.95
2013-12-27,31.5
2013-12-30,32.5
2013-12-31,34.1
2014-01-01,35.8
2014-01-02,35.0
2014-01-03,35.65
2014-01-06,35.5
2014-01-07,34.25
2014-01-08,34.5
2014-01-09,35.0
2014-01-10,36.0
2014-01-13,35.9
2014-01-14,35.95
2014-01-15,36.7
2014-01-16,35.6
2014-01-17,35.9
2014-01-20,36.05
2014-01-21,37.05
2014-01-22,37.95
2014-01-23,39.8
2014-01-24,40.1
2014-01-27,39.15
2014-01-28,39.0
2014-01-29,40.65
2014-01-30,40.75
2014-01-31,40.95
2014-02-03,40.55
2014-02-04,42.4
2014-02-05,44.1
2014-02-06,43.9
2014-02-07,44.65
2014-02-10,45.7
2014-02-11,46.3
2014-02-12,48.25
2014-02-13,47.2
2014-02-14,47.5
2014-02-17,47.8
2014-02-18,47.75
2014-02-19,49.45
2014-02-20,49.95
2014-02-21,49.8
2014-02-24,51.35
2014-02-25,51.0
2014-02-26,50.25
