Date,CINELINE
2013-03-01,10.85
2013-03-04,10.35
2013-03-05,10.65
2013-03-06,10.45
2013-03-07,11.05
2013-03-08,12.1
2013-03-11,12.45
2013-03-12,12.3
2013-03-13,11.95
2013-03-14,12.0
2013-03-15,12.0
2013-03-18,11.8
2013-03-19,11.45
2013-03-20,11.4
2013-03-21,10.9
2013-03-22,11.05
2013-03-25,10.8
2013-03-26,10.8
2013-03-28,10.3
2013-04-01,10.95
2013-04-02,10.9
2013-04-03,11.95
2013-04-04,11.85
2013-04-05,12.1
2013-04-08,12.0
2013-04-09,11.7
2013-04-10,11.85
2013-04-11,11.5
2013-04-12,11.35
2013-04-15,11.35
2013-04-16,11.35
2013-04-17,11.15
2013-04-18,11.6
2013-04-22,11.45
2013-04-23,12.55
2013-04-25,13.3
2013-04-26,12.7
2013-04-29,12.0
2013-04-30,11.75
2013-05-02,11.6
2013-05-03,12.1
2013-05-06,12.4
2013-05-07,12.25
2013-05-08,11.8
2013-05-09,11.8
2013-05-10,11.8
2013-05-11,11.7
2013-05-13,12.05
2013-05-14,12.05
2013-05-15,11.8
2013-05-16,11.95
2013-05-17,11.95
2013-05-20,11.95
2013-05-21,11.6
2013-05-22,11.65
2013-05-23,11.45
2013-05-24,11.5
2013-05-27,11.25
2013-05-28,12.0
2013-05-29,11.55
2013-05-30,11.3
2013-05-31,11.6
2013-06-03,11.4
2013-06-04,11.0
2013-06-05,10.7
2013-06-06,10.8
2013-06-07,10.9
2013-06-10,10.8
2013-06-11,10.8
2013-06-12,10.75
2013-06-13,10.55
2013-06-14,10.7
2013-06-17,9.85
2013-06-18,10.7
2013-06-19,10.85
2013-06-20,10.3
2013-06-21,10.15
2013-06-24,10.05
2013-06-25,9.9
2013-06-26,9.95
2013-06-27,10.0
2013-06-28,9.95
2013-07-01,10.3
2013-07-02,10.15
2013-07-03,10.0
2013-07-04,9.6
2013-07-05,9.75
2013-07-09,10.0
2013-07-10,9.75
2013-07-11,9.75
2013-07-12,9.0
2013-07-15,9.05
2013-07-16,9.05
2013-07-17,9.0
2013-07-18,9.0
2013-07-19,8.5
2013-07-22,9.05
2013-07-23,9.25
2013-07-24,9.0
2013-07-25,9.0
2013-07-26,8.3
2013-07-29,8.25
2013-07-30,8.5
2013-07-31,9.0
2013-08-01,9.0
2013-08-02,8.5
2013-08-05,8.5
2013-08-06,8.0
2013-08-07,8.1
2013-08-08,8.2
2013-08-12,8.25
2013-08-13,7.95
2013-08-14,8.55
2013-08-16,8.1
2013-08-19,7.25
2013-08-20,8.65
2013-08-21,8.2
2013-08-23,6.95
2013-08-29,7.1
2013-09-03,8.4
2013-09-04,7.05
2013-09-10,7.5
2013-09-11,7.5
2013-09-12,6.8
2013-09-16,7.45
2013-09-17,7.5
2013-09-18,7.5
2013-09-19,7.05
2013-09-20,7.1
2013-09-23,7.25
2013-09-24,7.25
2013-09-26,7.0
2013-09-30,7.15
2013-10-03,7.0
2013-10-04,7.05
2013-10-07,7.3
2013-10-08,7.6
2013-10-10,7.35
2013-10-11,7.1
2013-10-14,7.05
2013-10-15,7.1
2013-10-18,7.8
2013-10-21,7.3
2013-10-22,7.9
2013-10-23,8.6
2013-10-28,7.75
2013-10-29,7.15
2013-10-30,7.2
2013-10-31,7.85
2013-11-01,7.15
2013-11-03,7.5
2013-11-05,7.5
2013-11-06,7.5
2013-11-07,7.45
2013-11-08,7.1
2013-11-12,7.2
2013-11-13,7.1
2013-11-14,6.4
2013-11-18,7.0
2013-11-19,7.0
2013-11-20,7.05
2013-11-21,6.7
2013-11-25,7.25
2013-11-26,7.0
2013-11-28,7.0
2013-11-29,7.2
2013-12-02,7.0
2013-12-03,7.0
2013-12-05,6.65
2013-12-06,7.3
2013-12-09,6.8
2013-12-10,6.8
2013-12-11,6.8
2013-12-12,6.8
2013-12-13,7.0
2013-12-16,7.35
2013-12-17,7.05
2013-12-18,7.15
2013-12-19,7.0
2013-12-23,7.25
2013-12-30,6.55
2013-12-31,7.15
2014-01-01,7.85
2014-01-02,8.6
2014-01-03,8.0
2014-01-06,8.1
2014-01-07,9.0
2014-01-08,10.5
2014-01-09,9.25
2014-01-10,10.0
2014-01-13,10.15
2014-01-14,9.95
2014-01-15,10.0
2014-01-16,8.8
2014-01-17,10.1
2014-01-20,10.75
2014-01-21,10.45
2014-01-22,10.05
2014-01-23,9.7
2014-01-24,9.85
2014-01-27,9.2
2014-01-28,9.4
2014-01-29,9.35
2014-01-30,9.25
2014-01-31,8.8
2014-02-03,8.8
2014-02-04,8.95
2014-02-05,9.15
2014-02-06,8.95
2014-02-07,8.65
2014-02-10,8.7
2014-02-11,8.65
2014-02-12,8.65
2014-02-13,8.6
2014-02-14,8.45
2014-02-17,8.3
2014-02-18,8.05
2014-02-19,8.25
2014-02-20,8.0
2014-02-21,8.0
2014-02-24,8.3
2014-02-25,8.45
2014-02-26,8.4
2014-02-28,8.15
2014-03-03,8.1
2014-03-04,8.05
2014-03-05,8.05
2014-03-06,7.9
2014-03-07,7.95
2014-03-10,7.85
2014-03-11,9.4
2014-03-12,10.9
2014-03-13,11.7
2014-03-14,10.9
2014-03-18,10.7
2014-03-19,10.5
2014-03-20,10.15
2014-03-21,9.8
2014-03-22,9.95
2014-03-24,9.85
2014-03-25,9.85
2014-03-26,10.8
2014-03-27,11.5
2014-03-28,12.3
2014-03-31,13.5
2014-04-01,14.15
2014-04-02,14.85
2014-04-03,14.15
2014-04-04,13.45
2014-04-07,13.05
2014-04-09,12.6
2014-04-10,12.35
2014-04-11,12.2
2014-04-15,12.2
2014-04-16,12.1
2014-04-17,12.4
2014-04-21,12.9
2014-04-22,12.8
2014-04-23,12.5
2014-04-25,12.95
2014-04-28,13.35
2014-04-29,13.0
2014-04-30,12.45
2014-05-02,12.0
2014-05-05,11.85
2014-05-06,11.65
2014-05-07,11.7
2014-05-08,11.7
2014-05-09,12.1
2014-05-12,11.55
2014-05-13,10.75
2014-05-14,10.9
2014-05-15,10.5
2014-05-16,10.1
2014-05-19,11.1
2014-05-20,11.6
2014-05-21,12.0
2014-05-22,13.15
2014-05-23,14.45
2014-05-26,13.75
2014-05-27,13.4
2014-05-28,13.65
2014-05-29,13.4
2014-05-30,12.9
2014-06-02,12.9
2014-06-03,13.45
2014-06-04,13.5
2014-06-05,13.55
2014-06-06,13.8
2014-06-09,13.75
2014-06-10,14.4
2014-06-11,14.55
2014-06-12,14.75
2014-06-13,14.05
2014-06-16,13.8
2014-06-17,13.8
2014-06-18,14.3
2014-06-19,13.75
2014-06-20,13.45
2014-06-23,13.0
2014-06-24,13.25
2014-06-25,13.0
2014-06-26,13.4
2014-06-27,13.0
2014-06-30,13.05
2014-07-01,13.55
2014-07-02,13.75
2014-07-03,13.55
2014-07-04,13.5
2014-07-07,14.4
2014-07-08,14.8
2014-07-09,14.25
2014-07-10,14.3
2014-07-11,13.65
2014-07-14,13.75
2014-07-15,13.65
2014-07-16,14.45
2014-07-17,14.05
2014-07-18,13.7
2014-07-21,13.9
2014-07-22,13.9
2014-07-23,13.85
2014-07-24,14.5
2014-07-25,13.65
2014-07-28,13.0
2014-07-30,13.25
2014-07-31,13.25
2014-08-01,12.8
2014-08-04,12.9
2014-08-05,12.85
2014-08-06,13.2
2014-08-07,13.15
2014-08-08,12.85
2014-08-11,12.7
2014-08-12,13.85
2014-08-13,15.1
2014-08-14,14.3
2014-08-18,14.2
2014-08-19,14.25
2014-08-20,14.35
2014-08-21,14.6
2014-08-22,14.4
2014-08-25,13.85
2014-08-26,14.35
2014-08-27,14.1
2014-08-28,13.65
2014-09-01,14.65
2014-09-02,14.2
2014-09-03,14.6
2014-09-04,14.25
2014-09-05,14.15
2014-09-08,14.2
2014-09-09,14.25
2014-09-10,13.95
2014-09-11,14.0
2014-09-12,13.7
2014-09-15,13.6
2014-09-16,13.8
2014-09-17,13.85
2014-09-18,13.4
2014-09-19,13.55
2014-09-22,13.4
2014-09-23,12.95
2014-09-24,13.0
2014-09-25,12.95
2014-09-26,12.3
2014-09-29,12.5
2014-09-30,12.85
2014-10-01,13.0
2014-10-07,12.85
2014-10-08,12.35
2014-10-09,12.55
2014-10-10,13.2
2014-10-13,12.25
2014-10-14,12.65
2014-10-16,12.2
2014-10-17,11.8
2014-10-20,11.75
2014-10-21,11.9
2014-10-22,12.1
2014-10-23,13.0
2014-10-27,12.05
2014-10-28,12.55
2014-10-29,12.45
2014-10-30,12.25
2014-10-31,12.85
2014-11-03,12.05
2014-11-05,12.25
2014-11-07,12.2
2014-11-10,12.1
2014-11-11,12.4
2014-11-12,12.45
2014-11-13,11.9
2014-11-14,12.55
2014-11-17,12.1
2014-11-18,12.0
2014-11-19,11.9
2014-11-20,11.8
2014-11-21,12.15
2014-11-24,11.55
2014-11-25,11.55
2014-11-26,11.75
2014-11-27,11.55
2014-11-28,11.1
2014-12-01,11.75
2014-12-02,11.35
