Date,CPSEETF
2014-04-04,19.35
2014-04-07,19.36
2014-04-09,19.69
2014-04-10,19.82
2014-04-11,19.66
2014-04-15,19.59
2014-04-16,19.4
2014-04-17,19.7
2014-04-21,19.87
2014-04-22,20.05
2014-04-23,20.08
2014-04-25,19.99
2014-04-28,19.87
2014-04-29,19.77
2014-04-30,19.68
2014-05-02,19.85
2014-05-05,20.05
2014-05-06,20.18
2014-05-07,20.13
2014-05-08,20.08
2014-05-09,20.72
2014-05-12,21.54
2014-05-13,22.1
2014-05-14,22.42
2014-05-15,22.59
2014-05-16,23.46
2014-05-19,25.62
2014-05-20,24.88
2014-05-21,24.79
2014-05-22,25.48
2014-05-23,25.82
2014-05-26,25.76
2014-05-27,24.84
2014-05-28,24.63
2014-05-29,24.22
2014-05-30,24.15
2014-06-02,25.0
2014-06-03,25.27
2014-06-04,25.15
2014-06-05,25.75
2014-06-06,26.93
2014-06-09,27.46
2014-06-10,27.04
2014-06-11,26.43
2014-06-12,26.25
2014-06-13,25.55
2014-06-16,25.9
2014-06-17,26.77
2014-06-18,26.51
2014-06-19,25.81
2014-06-20,25.77
2014-06-23,26.09
2014-06-24,26.76
2014-06-25,26.95
2014-06-26,26.16
2014-06-27,25.94
2014-06-30,26.52
2014-07-01,26.53
2014-07-02,26.81
2014-07-03,26.72
2014-07-04,26.81
2014-07-07,26.84
2014-07-08,25.7
2014-07-09,25.63
2014-07-10,25.88
2014-07-11,25.01
2014-07-14,25.19
2014-07-15,25.67
2014-07-16,25.56
2014-07-17,25.63
2014-07-18,25.36
2014-07-21,25.3
2014-07-22,25.44
2014-07-23,25.38
2014-07-24,25.25
2014-07-25,24.9
2014-07-28,24.49
2014-07-30,24.73
2014-07-31,24.68
2014-08-01,24.3
2014-08-04,24.51
2014-08-05,24.59
2014-08-06,24.45
2014-08-07,24.54
2014-08-08,24.07
2014-08-11,24.05
2014-08-12,24.69
2014-08-13,24.21
2014-08-14,24.51
2014-08-18,25.31
2014-08-19,25.3
2014-08-20,25.06
2014-08-21,24.94
2014-08-22,25.1
2014-08-25,24.85
2014-08-26,24.65
2014-08-27,24.95
2014-08-28,25.18
2014-09-01,26.03
2014-09-02,25.91
2014-09-03,25.85
2014-09-04,25.78
2014-09-05,25.87
2014-09-08,26.29
2014-09-09,26.29
2014-09-10,25.96
2014-09-11,25.77
2014-09-12,25.76
2014-09-15,25.58
2014-09-16,24.84
2014-09-17,24.64
2014-09-18,24.91
2014-09-19,24.77
2014-09-22,25.09
2014-09-23,25.23
2014-09-24,24.73
2014-09-25,24.36
2014-09-26,24.67
2014-09-29,24.49
2014-09-30,24.5
2014-10-01,24.45
2014-10-07,24.08
2014-10-08,24.21
2014-10-09,24.69
2014-10-10,24.35
2014-10-13,24.46
2014-10-14,24.52
2014-10-16,24.33
2014-10-17,24.41
2014-10-20,25.39
2014-10-21,25.38
2014-10-22,25.35
2014-10-23,25.38
2014-10-27,25.31
2014-10-28,25.48
2014-10-29,25.57
2014-10-30,25.63
2014-10-31,26.31
2014-11-03,25.92
2014-11-05,25.78
2014-11-07,25.69
2014-11-10,25.39
2014-11-11,25.39
2014-11-12,25.33
2014-11-13,24.97
2014-11-14,25.43
2014-11-17,25.86
2014-11-18,25.84
2014-11-19,25.45
2014-11-20,25.35
2014-11-21,25.37
2014-11-24,25.47
2014-11-25,25.54
2014-11-26,25.69
2014-11-27,25.68
2014-11-28,25.67
2014-12-01,25.27
2014-12-02,25.09
2014-12-03,25.46
2014-12-04,25.51
2014-12-05,25.3
2014-12-08,25.21
2014-12-09,24.73
2014-12-10,25.0
2014-12-11,24.68
2014-12-12,24.07
2014-12-15,24.14
2014-12-16,23.69
2014-12-17,23.84
2014-12-18,24.61
2014-12-19,24.87
2014-12-22,25.29
2014-12-23,25.01
2014-12-24,24.69
2014-12-26,24.78
2014-12-29,24.99
2014-12-30,24.91
2014-12-31,25.01
2015-01-01,25.09
2015-01-02,25.22
2015-01-05,25.25
2015-01-06,24.4
2015-01-07,24.42
2015-01-08,24.71
2015-01-09,24.85
2015-01-12,24.52
2015-01-13,24.42
2015-01-14,24.42
2015-01-15,24.75
2015-01-16,24.84
2015-01-19,25.01
2015-01-20,24.94
2015-01-21,24.94
2015-01-22,25.15
2015-01-23,25.0
2015-01-27,24.96
2015-01-28,25.22
2015-01-29,25.07
2015-01-30,24.98
2015-02-02,24.98
2015-02-03,24.97
2015-02-04,25.17
2015-02-05,24.87
2015-02-06,24.62
2015-02-09,24.33
2015-02-10,24.51
