Date,JAGRAN
2013-01-01,103.65
2013-01-02,106.05
2013-01-03,106.5
2013-01-04,108.35
2013-01-07,115.0
2013-01-08,113.55
2013-01-09,113.05
2013-01-10,112.25
2013-01-11,112.95
2013-01-14,112.45
2013-01-15,111.0
2013-01-16,110.6
2013-01-17,109.25
2013-01-18,106.65
2013-01-21,109.6
2013-01-22,108.25
2013-01-23,108.6
2013-01-24,107.55
2013-01-25,108.75
2013-01-28,107.95
2013-01-29,108.55
2013-01-30,110.0
2013-01-31,108.45
2013-02-01,106.3
2013-02-04,106.1
2013-02-05,105.55
2013-02-06,104.75
2013-02-07,106.6
2013-02-08,105.2
2013-02-11,103.9
2013-02-12,104.35
2013-02-13,103.5
2013-02-14,102.1
2013-02-15,102.6
2013-02-18,102.9
2013-02-19,102.8
2013-02-20,103.75
2013-02-21,103.15
2013-02-22,103.0
2013-02-25,101.5
2013-02-26,100.35
2013-02-27,99.95
2013-02-28,96.9
2013-03-01,96.8
2013-03-04,95.1
2013-03-05,96.2
2013-03-06,97.95
2013-03-07,99.0
2013-03-08,98.7
2013-03-11,101.2
2013-03-12,100.95
2013-03-13,100.3
2013-03-14,98.95
2013-03-15,98.5
2013-03-18,98.3
2013-03-19,97.05
2013-03-20,96.0
2013-03-21,95.8
2013-03-22,93.45
2013-03-25,94.95
2013-03-26,95.6
2013-03-28,93.0
2013-04-01,93.55
2013-04-02,94.1
2013-04-03,95.0
2013-04-04,94.1
2013-04-05,96.75
2013-04-08,96.4
2013-04-09,93.85
2013-04-10,91.95
2013-04-11,93.3
2013-04-12,90.9
2013-04-15,88.65
2013-04-16,88.1
2013-04-17,88.95
2013-04-18,91.5
2013-04-22,90.55
2013-04-23,89.1
2013-04-25,91.65
2013-04-26,92.65
2013-04-29,94.2
2013-04-30,92.45
2013-05-02,93.2
2013-05-03,92.7
2013-05-06,90.9
2013-05-07,90.55
2013-05-08,90.1
2013-05-09,88.5
2013-05-10,90.05
2013-05-11,90.4
2013-05-13,90.2
2013-05-14,92.95
2013-05-15,95.25
2013-05-16,96.0
2013-05-17,94.35
2013-05-20,92.6
2013-05-21,90.0
2013-05-22,94.0
2013-05-23,91.2
2013-05-24,90.45
2013-05-27,89.6
2013-05-28,88.85
2013-05-29,86.65
2013-05-30,84.9
2013-05-31,86.2
2013-06-03,86.95
2013-06-04,84.75
2013-06-05,85.25
2013-06-06,88.95
2013-06-07,91.9
2013-06-10,92.55
2013-06-11,89.8
2013-06-12,91.3
2013-06-13,93.0
2013-06-14,92.15
2013-06-17,92.2
2013-06-18,92.15
2013-06-19,88.5
2013-06-20,85.95
2013-06-21,86.2
2013-06-24,83.5
2013-06-25,84.2
2013-06-26,82.05
2013-06-27,81.95
2013-06-28,81.85
2013-07-01,81.95
2013-07-02,82.1
2013-07-03,81.75
2013-07-04,81.9
2013-07-05,81.55
2013-07-08,82.4
2013-07-09,85.45
2013-07-10,84.45
2013-07-11,85.95
2013-07-12,86.55
2013-07-15,86.85
2013-07-16,87.15
2013-07-17,86.85
2013-07-18,86.7
2013-07-19,89.9
2013-07-22,90.95
2013-07-23,91.35
2013-07-24,91.0
2013-07-25,90.1
2013-07-26,90.35
2013-07-29,90.5
2013-07-30,90.2
2013-07-31,92.15
2013-08-01,91.55
2013-08-02,89.3
2013-08-05,90.45
2013-08-06,85.0
2013-08-07,86.75
2013-08-08,90.85
2013-08-12,89.55
2013-08-13,89.6
2013-08-14,89.35
2013-08-16,88.3
2013-08-19,86.3
2013-08-20,85.65
2013-08-21,85.35
2013-08-22,84.85
2013-08-23,84.55
2013-08-26,84.5
2013-08-27,84.35
2013-08-28,81.3
2013-08-29,81.8
2013-08-30,82.65
2013-09-02,82.75
2013-09-03,82.3
2013-09-04,82.2
2013-09-05,82.2
2013-09-06,84.2
2013-09-10,84.75
2013-09-11,82.25
2013-09-12,83.05
2013-09-13,83.75
