Date,KHANDSE
2013-01-01,16.05
2013-01-02,16.5
2013-01-07,15.7
2013-01-08,16.4
2013-01-09,16.75
2013-01-10,17.2
2013-01-11,17.25
2013-01-14,17.0
2013-01-15,16.95
2013-01-16,17.25
2013-01-17,17.3
2013-01-18,17.05
2013-01-22,17.0
2013-01-24,16.9
2013-01-30,16.1
2013-02-01,15.4
2013-02-04,15.0
2013-02-05,15.75
2013-02-06,16.45
2013-02-08,16.0
2013-02-11,16.3
2013-02-13,15.7
2013-02-14,14.95
2013-02-15,15.55
2013-02-19,15.75
2013-02-20,15.65
2013-02-21,16.0
2013-02-22,15.8
2013-02-25,15.25
2013-02-26,15.05
2013-02-27,15.8
2013-02-28,16.0
2013-03-06,16.3
2013-03-11,15.5
2013-03-13,15.65
2013-03-14,16.25
2013-03-19,15.5
2013-03-20,15.95
2013-03-21,15.25
2013-03-22,15.75
2013-03-25,15.15
2013-03-28,15.45
2013-04-01,15.5
2013-04-02,15.4
2013-04-03,15.5
2013-04-11,14.75
2013-05-13,15.4
2013-06-04,16.1
2013-06-06,16.7
2013-06-14,16.1
2013-06-20,15.9
2013-09-12,15.5
2013-09-13,15.4
2013-09-24,15.5
2013-09-25,16.25
2013-10-10,15.75
2013-10-17,15.0
2013-11-07,15.7
2013-11-13,15.65
2013-11-14,16.0
2014-01-22,15.2
2014-01-23,14.45
2014-01-27,15.0
2014-02-07,14.25
2014-02-11,13.55
2014-02-12,13.0
2014-02-14,13.3
2014-02-17,12.85
2014-02-18,12.75
2014-02-19,13.15
2014-02-21,13.5
2014-02-24,13.0
2014-02-25,12.5
2014-02-26,12.95
2014-02-28,13.55
2014-03-11,13.25
2014-03-13,14.35
2014-03-14,14.0
2014-03-18,13.8
2014-03-19,13.25
2014-03-20,12.0
2014-03-21,11.3
2014-03-22,11.85
2014-03-24,12.25
2014-03-25,12.15
2014-03-26,12.25
2014-03-27,12.0
2014-03-28,12.0
2014-03-31,12.0
2014-04-03,12.0
2014-04-09,12.0
2014-04-10,12.0
2014-04-11,12.0
2014-04-15,12.6
2014-04-16,13.1
2014-04-17,12.7
2014-04-21,13.0
2014-04-22,12.55
2014-04-23,12.0
2014-04-28,12.0
2014-04-29,12.0
2014-04-30,12.6
2014-05-02,12.05
2014-05-05,12.5
2014-05-08,13.65
2014-05-09,13.05
2014-05-13,11.9
2014-05-14,11.25
2014-05-15,11.25
2014-05-16,11.95
2014-05-19,12.3
2014-05-20,13.0
2014-05-21,12.35
2014-05-22,13.2
2014-05-23,13.4
2014-05-26,13.0
2014-05-27,12.75
2014-05-28,13.8
2014-05-29,13.2
2014-05-30,13.0
2014-06-02,13.0
2014-06-03,13.05
2014-06-04,12.3
2014-06-05,13.4
2014-06-06,13.5
2014-06-09,14.0
2014-06-10,13.6
2014-06-11,14.0
2014-06-12,14.3
2014-06-13,14.25
2014-06-16,14.0
2014-06-17,13.9
2014-06-18,14.0
2014-06-19,14.0
2014-06-25,13.9
2014-06-27,13.3
2014-06-30,14.0
2014-07-01,14.2
2014-07-02,14.6
2014-07-03,14.9
2014-07-04,14.5
2014-07-07,15.5
2014-07-08,15.9
2014-07-09,15.85
2014-07-10,15.55
2014-07-11,14.95
2014-07-14,16.0
2014-07-15,15.85
2014-07-16,16.3
2014-07-17,17.7
2014-07-18,17.7
2014-07-21,17.6
2014-07-22,17.5
2014-07-23,16.75
2014-07-24,16.5
2014-07-25,16.0
2014-07-28,16.35
2014-07-30,16.15
2014-07-31,15.8
2014-08-04,16.5
2014-08-05,17.0
2014-08-06,17.25
2014-08-07,16.65
2014-08-08,16.8
2014-08-13,16.5
2014-08-14,16.0
2014-08-20,16.0
2014-08-22,16.5
2014-08-25,16.45
2014-08-26,16.75
2014-08-27,17.65
2014-08-28,17.4
2014-09-01,17.45
2014-09-02,17.75
2014-09-03,17.9
2014-09-04,17.05
2014-09-09,17.05
2014-09-10,17.0
2014-09-11,17.5
2014-09-12,17.85
2014-09-15,18.0
2014-09-16,17.9
2014-09-17,17.2
2014-09-19,17.2
2014-09-23,17.85
2014-09-25,17.85
2014-09-30,19.25
2014-10-08,18.3
2014-10-09,17.4
2014-10-10,17.95
2014-10-14,17.1
2014-10-16,16.95
2014-10-17,16.6
2014-10-21,16.5
2014-10-22,17.0
2014-10-23,17.7
2014-10-31,17.5
2014-11-03,17.25
2014-11-07,17.9
2014-11-10,17.75
2014-11-11,17.15
2014-11-12,17.5
2014-11-13,16.8
2014-11-14,17.0
2014-11-17,17.5
2014-11-18,17.75
2014-11-19,18.55
2014-11-20,17.75
2014-11-21,18.25
2014-12-02,17.35
