Date,LAKPRE
2013-01-01,37.05
2013-01-02,37.5
2013-01-03,37.4
2013-01-04,37.7
2013-01-07,38.7
2013-01-08,37.95
2013-01-09,38.1
2013-01-10,37.8
2013-01-11,38.35
2013-01-14,38.0
2013-01-15,38.5
2013-01-16,38.0
2013-01-17,38.8
2013-01-18,38.0
2013-01-21,38.2
2013-01-22,38.0
2013-01-23,37.5
2013-01-24,36.5
2013-01-25,36.5
2013-01-28,37.15
2013-01-29,36.35
2013-01-30,36.4
2013-01-31,36.25
2013-02-01,36.7
2013-02-04,37.55
2013-02-06,35.9
2013-02-07,36.55
2013-02-11,36.0
2013-02-12,36.3
2013-02-13,36.7
2013-02-14,35.4
2013-02-15,34.8
2013-02-18,35.0
2013-02-20,34.9
2013-02-21,36.0
2013-02-22,36.0
2013-02-26,34.1
2013-02-27,33.2
2013-02-28,33.0
2013-03-01,34.0
2013-03-04,32.1
2013-03-05,32.5
2013-03-06,32.25
2013-03-07,31.15
2013-03-08,32.75
2013-03-11,31.95
2013-03-12,29.1
2013-03-13,29.9
2013-03-14,29.9
2013-03-15,29.65
2013-03-18,30.0
2013-03-19,28.6
2013-03-20,27.2
2013-03-21,26.95
2013-03-22,27.1
2013-03-25,26.0
2013-03-26,27.6
2013-03-28,27.5
2013-04-01,26.45
2013-04-02,29.0
2013-04-03,28.55
2013-04-04,27.0
2013-04-05,28.2
2013-04-15,24.7
2013-04-16,24.75
2013-04-22,23.05
2013-04-23,23.7
2013-04-25,25.1
2013-04-26,26.15
2013-04-29,26.55
2013-05-10,27.2
2013-05-15,28.0
2013-05-16,28.25
2013-05-23,26.0
2013-05-24,27.5
2013-05-27,25.5
2013-05-28,27.0
2013-05-29,26.95
2013-05-30,26.7
2013-05-31,26.5
2013-06-03,26.5
2013-06-11,24.0
2013-06-12,24.2
2013-06-13,26.0
2013-06-18,25.95
2013-06-19,26.0
2013-06-21,25.5
2013-06-24,25.0
2013-06-25,25.25
2013-06-26,26.3
2013-06-28,26.0
2013-07-01,26.0
2013-07-03,26.0
2013-07-09,27.3
2013-07-15,26.1
2013-07-17,25.65
2013-07-18,24.5
2013-07-19,25.5
2013-07-22,24.5
2013-07-25,25.7
2013-07-26,26.0
2013-07-29,24.85
2013-07-31,23.65
2013-08-01,24.75
2013-08-02,23.55
2013-08-05,24.6
2013-08-06,23.55
2013-08-07,24.35
2013-08-08,25.5
2013-08-14,26.75
2013-08-16,28.05
2013-08-19,29.45
2013-08-21,30.9
2013-08-27,32.4
2013-08-28,33.0
2013-08-29,34.65
2013-08-30,36.3
2013-09-02,38.1
2013-09-03,36.2
2013-09-04,37.95
2013-09-05,37.8
2013-09-06,35.95
2013-09-10,37.7
2013-09-11,37.6
2013-09-13,39.45
2013-09-16,38.95
2013-09-17,38.7
2013-09-18,36.3
2013-09-19,37.75
2013-09-20,36.55
2013-09-23,38.0
2013-09-24,39.1
2013-09-26,38.7
2013-09-27,39.3
2013-09-30,40.0
2013-10-01,38.0
2013-10-03,38.5
2013-10-04,37.0
2013-10-07,38.0
2013-10-09,39.9
2013-10-10,41.85
2013-10-11,41.1
2013-10-22,41.95
2013-10-23,40.65
2013-10-28,42.0
2013-11-11,44.0
2013-11-12,43.0
2013-11-13,41.0
2013-11-14,43.0
2013-11-28,44.9
2013-12-12,46.0
2013-12-13,46.5
2013-12-23,44.2
2013-12-30,42.0
2014-01-02,41.0
2014-01-03,40.3
2014-01-06,42.2
2014-01-07,44.0
2014-01-08,41.8
2014-01-09,42.2
2014-01-10,44.0
2014-01-13,41.8
2014-01-14,39.9
2014-01-15,37.95
2014-01-16,37.5
2014-01-17,36.0
2014-01-21,36.9
2014-01-22,36.85
2014-01-23,38.55
2014-01-24,38.35
2014-01-28,38.95
2014-01-29,37.6
2014-01-30,36.45
2014-01-31,38.25
2014-02-03,39.15
2014-02-04,41.0
2014-02-05,39.6
2014-02-06,41.55
2014-02-07,40.35
2014-02-10,41.2
2014-02-11,40.5
2014-02-12,39.05
2014-02-13,40.15
2014-02-14,40.8
2014-02-17,38.8
2014-02-18,37.75
2014-02-19,36.5
2014-02-24,37.15
2014-02-25,38.65
2014-02-26,38.0
2014-02-28,37.0
2014-03-06,36.0
2014-03-07,35.1
2014-03-10,34.85
2014-03-11,34.2
2014-03-12,33.55
2014-03-13,34.0
2014-03-14,33.5
2014-03-18,32.85
2014-03-19,33.05
2014-03-20,35.0
2014-03-21,34.95
2014-03-22,33.25
2014-03-24,33.3
2014-03-25,34.4
2014-03-26,35.5
2014-03-27,39.05
2014-03-28,40.2
2014-04-01,40.0
2014-04-03,42.45
2014-04-04,42.25
2014-04-07,40.85
2014-04-09,38.95
2014-04-10,39.0
2014-04-11,42.0
2014-04-15,40.05
2014-04-16,38.1
2014-04-17,39.5
2014-04-21,40.15
2014-04-22,38.15
2014-04-23,40.45
2014-04-25,39.95
2014-04-28,39.85
2014-04-30,39.6
2014-05-02,37.55
2014-05-05,37.5
2014-05-06,37.5
2014-05-08,40.0
2014-05-09,39.0
2014-05-12,36.6
2014-05-13,37.0
2014-05-14,36.3
2014-05-15,37.0
2014-05-16,37.5
2014-05-19,39.05
2014-05-20,42.3
2014-05-21,41.85
2014-05-22,43.4
2014-05-23,42.35
2014-05-26,43.25
2014-05-27,40.7
2014-05-28,41.0
2014-05-29,43.4
2014-05-30,38.8
2014-06-02,39.95
2014-06-03,40.25
2014-06-04,38.0
2014-06-05,39.5
2014-06-06,39.45
2014-06-09,39.9
2014-06-10,39.8
2014-06-11,43.15
2014-06-12,40.6
2014-06-13,39.7
2014-06-16,38.65
2014-06-17,38.85
2014-06-18,39.5
2014-06-19,40.95
2014-06-20,41.2
2014-06-23,43.05
2014-06-24,41.4
2014-06-25,40.5
2014-06-26,41.8
2014-06-27,41.85
2014-06-30,43.0
2014-07-01,43.0
2014-07-02,43.25
2014-07-03,42.25
2014-07-04,42.5
2014-07-07,44.0
2014-07-08,52.25
2014-07-09,48.55
2014-07-10,48.9
2014-07-11,45.85
2014-07-14,44.5
2014-07-15,48.0
2014-07-16,56.05
2014-07-17,54.45
2014-07-18,52.95
2014-07-21,53.1
2014-07-22,55.1
2014-07-23,53.85
2014-07-24,53.95
2014-07-25,52.2
2014-07-28,52.5
2014-07-30,49.1
2014-07-31,50.0
2014-08-01,49.05
2014-08-04,50.55
2014-08-05,50.35
2014-08-06,49.45
2014-08-07,51.5
2014-08-08,47.9
2014-08-11,49.7
2014-08-12,49.7
2014-08-13,47.65
2014-08-14,44.9
2014-08-18,43.8
2014-08-19,44.9
2014-08-20,46.5
2014-08-21,47.05
2014-08-22,46.5
2014-08-25,45.0
2014-08-26,44.05
2014-08-27,44.5
2014-08-28,43.9
2014-09-01,44.4
2014-09-02,44.05
2014-09-03,43.35
2014-09-04,42.75
2014-09-05,42.45
2014-09-08,48.45
