Date,KAVVERITEL
2013-01-01,83.95
2013-01-02,83.5
2013-01-03,85.75
2013-01-04,85.1
2013-01-07,88.2
2013-01-08,90.75
2013-01-09,94.6
2013-01-10,94.1
2013-01-11,91.4
2013-01-14,92.5
2013-01-15,97.35
2013-01-16,93.6
2013-01-17,94.25
2013-01-18,90.9
2013-01-21,89.5
2013-01-22,91.5
2013-01-23,88.25
2013-01-24,86.95
2013-01-25,90.05
2013-01-28,86.8
2013-01-29,85.85
2013-01-30,85.0
2013-01-31,85.1
2013-02-01,84.1
2013-02-04,80.5
2013-02-05,83.9
2013-02-06,82.9
2013-02-07,81.65
2013-02-08,82.95
2013-02-11,82.0
2013-02-12,78.1
2013-02-13,71.55
2013-02-14,72.65
2013-02-15,72.2
2013-02-18,75.75
2013-02-19,80.55
2013-02-20,83.4
2013-02-21,80.25
2013-02-22,80.5
2013-02-25,77.6
2013-02-26,77.95
2013-02-27,73.65
2013-02-28,71.3
2013-03-01,71.75
2013-03-04,69.6
2013-03-05,70.0
2013-03-06,72.55
2013-03-07,71.05
2013-03-08,72.65
2013-03-11,81.6
2013-03-12,81.5
2013-03-13,82.55
2013-03-14,79.8
2013-03-15,77.15
2013-03-18,75.4
2013-03-19,72.6
2013-03-20,66.0
2013-03-21,61.0
2013-03-22,58.55
2013-03-25,59.55
2013-03-26,65.9
2013-03-28,78.85
2013-04-01,75.75
2013-04-02,72.0
2013-04-03,75.4
2013-04-04,69.4
2013-04-05,69.75
2013-04-08,67.15
2013-04-09,61.55
2013-04-10,58.15
2013-04-11,59.05
2013-04-12,55.85
2013-04-15,49.1
2013-04-16,46.8
2013-04-17,41.45
2013-04-18,37.65
2013-04-22,35.15
2013-04-23,34.6
2013-04-25,33.75
2013-04-26,34.3
2013-04-29,33.35
2013-04-30,30.7
2013-05-02,33.75
2013-05-03,37.1
2013-05-06,40.8
2013-05-07,37.45
2013-05-08,36.05
2013-05-09,34.15
2013-05-10,32.95
2013-05-11,34.15
2013-05-13,32.55
2013-05-14,31.65
2013-05-15,31.8
2013-05-16,31.0
2013-05-17,30.35
2013-05-20,29.3
2013-05-21,28.85
2013-05-22,34.6
2013-05-23,38.4
2013-05-24,46.05
2013-05-27,50.65
2013-05-28,55.7
2013-05-29,61.25
2013-05-30,58.2
2013-05-31,55.3
2013-06-03,52.55
2013-06-04,49.95
2013-06-05,47.5
2013-06-06,45.15
2013-08-30,24.1
2013-09-02,24.8
2013-09-03,24.5
2013-09-04,24.05
2013-09-05,25.25
2013-09-06,27.75
2013-09-10,30.5
2013-09-11,33.55
2013-09-12,32.6
2013-09-13,32.65
2013-09-16,31.55
2013-09-17,30.5
2013-09-18,29.7
2013-09-19,30.45
2013-09-20,29.6
2013-09-23,28.55
2013-09-24,28.85
2013-09-25,29.25
2013-09-26,29.5
2013-09-27,29.6
2013-09-30,28.15
2013-10-01,28.05
2013-10-03,28.15
2013-10-04,28.2
2013-10-07,28.3
2013-10-08,28.4
2013-10-09,28.5
2013-10-10,29.15
2013-10-11,30.6
2013-10-14,29.15
2013-10-15,28.55
2013-10-17,29.5
2013-10-18,29.1
2013-10-21,28.5
2013-10-22,27.95
2013-10-23,27.25
2013-10-24,27.8
2013-10-25,27.0
2013-10-28,26.7
2013-10-29,26.6
2013-10-30,27.85
2013-10-31,27.6
2013-11-01,27.65
2013-11-03,28.05
2013-11-05,28.6
2013-11-06,28.65
2013-11-07,29.0
2013-11-08,29.35
2013-11-11,28.9
2013-11-12,27.85
2013-11-13,27.1
2013-11-14,29.4
2013-11-18,28.75
2013-11-19,27.9
2013-11-20,27.0
2013-11-21,26.35
2013-11-22,26.2
2013-11-25,25.65
2013-11-26,25.25
2013-11-27,24.4
