Date,GULPOLY
2015-01-28,227.4
2015-01-29,215.05
2015-01-30,211.15
2015-02-02,220.0
2015-02-03,228.6
2015-02-04,230.95
2015-02-05,234.2
2015-02-06,220.0
2015-02-09,212.45
2015-02-10,210.0
2015-02-11,221.05
2015-02-12,223.9
2015-02-13,216.55
2015-02-16,235.35
2015-02-18,265.65
2015-02-19,286.95
2015-02-20,296.7
2015-02-23,301.4
2015-02-24,300.55
2015-02-25,292.55
2015-02-26,288.45
2015-02-27,281.1
2015-02-28,280.65
2015-03-02,289.35
2015-03-03,291.05
2015-03-04,290.5
2015-03-05,289.7
2015-03-09,282.2
2015-03-10,271.05
2015-03-11,273.65
2015-03-12,272.6
2015-03-13,269.05
2015-03-16,271.15
2015-03-17,275.95
2015-03-18,264.55
2015-03-19,271.5
2015-03-20,262.8
2015-03-23,262.05
2015-03-24,260.15
2015-03-25,262.05
2015-03-26,258.95
2015-03-27,265.5
2015-03-30,318.6
2015-03-31,330.65
2015-04-01,319.5
2015-04-06,343.0
2015-04-07,340.0
2015-04-08,334.8
2015-04-09,329.15
2015-04-10,327.95
2015-04-13,330.85
2015-04-15,339.9
2015-04-16,342.4
2015-04-17,334.05
2015-04-20,312.95
2015-04-21,321.25
2015-04-22,320.4
2015-04-23,317.5
2015-04-24,300.4
2015-04-27,293.7
2015-04-28,311.4
2015-04-29,309.05
2015-04-30,304.1
2015-05-04,316.8
2015-05-05,305.35
2015-05-06,306.5
2015-05-07,290.45
2015-05-08,296.6
2015-05-11,290.3
2015-05-12,294.85
2015-05-13,317.0
2015-05-14,317.6
2015-05-15,329.75
2015-05-18,348.4
2015-05-19,349.6
2015-05-20,350.65
2015-05-21,349.7
2015-05-22,346.55
2015-05-25,357.2
2015-05-26,341.85
2015-05-27,333.4
2015-05-28,333.15
2015-05-29,336.7
2015-06-01,305.25
2015-06-02,297.0
2015-06-03,291.1
2015-06-04,301.25
2015-06-05,298.8
2015-06-08,288.7
2015-06-09,291.15
2015-06-10,288.5
2015-06-11,283.75
2015-06-12,289.0
2015-06-15,287.9
