Date,MARICO
2013-01-01,219.55
2013-01-02,220.1
2013-01-03,223.6
2013-01-04,224.75
2013-01-07,227.4
2013-01-08,231.25
2013-01-09,228.9
2013-01-10,228.9
2013-01-11,227.3
2013-01-14,229.2
2013-01-15,227.0
2013-01-16,225.05
2013-01-17,224.0
2013-01-18,223.05
2013-01-21,225.0
2013-01-22,224.1
2013-01-23,222.0
2013-01-24,222.1
2013-01-25,217.25
2013-01-28,222.25
2013-01-29,224.55
2013-01-30,226.0
2013-01-31,226.55
2013-02-01,230.1
2013-02-04,224.05
2013-02-05,218.75
2013-02-06,218.75
2013-02-07,218.75
2013-02-08,218.5
2013-02-11,217.45
2013-02-12,218.9
2013-02-13,216.3
2013-02-14,211.25
2013-02-15,212.95
2013-02-18,217.75
2013-02-19,223.7
2013-02-20,223.85
2013-02-21,219.65
2013-02-22,220.75
2013-02-25,221.6
2013-02-26,220.15
2013-02-27,216.8
2013-02-28,213.4
2013-03-01,218.85
2013-03-04,215.05
2013-03-05,217.75
2013-03-06,215.8
2013-03-07,216.15
2013-03-08,217.3
2013-03-11,217.25
2013-03-12,218.2
2013-03-13,217.45
2013-03-14,217.4
2013-03-15,220.3
2013-03-18,217.25
2013-03-19,225.1
2013-03-20,225.2
2013-03-21,208.15
2013-03-22,208.1
2013-03-25,208.65
2013-03-26,213.0
2013-03-28,212.9
2013-04-01,213.6
2013-04-02,220.35
2013-04-03,219.1
2013-04-04,217.45
2013-04-05,217.6
2013-04-08,220.3
2013-04-09,219.1
2013-04-10,217.9
2013-04-11,219.15
2013-04-12,215.7
2013-04-15,213.8
2013-04-16,215.0
2013-04-17,213.45
2013-04-18,212.45
2013-04-22,214.2
2013-04-23,215.85
2013-04-25,219.65
2013-04-26,219.15
2013-04-29,223.15
2013-04-30,225.4
2013-05-02,221.6
2013-05-03,216.4
2013-05-06,219.05
2013-05-07,219.6
2013-05-08,213.45
2013-05-09,211.15
2013-05-10,213.0
2013-05-11,213.85
2013-05-13,213.65
2013-05-14,214.35
2013-05-15,217.75
2013-05-16,219.15
2013-05-17,222.3
2013-05-20,219.1
2013-05-21,220.15
2013-05-22,219.05
2013-05-23,223.75
2013-05-24,221.55
2013-05-27,225.15
2013-05-28,226.35
2013-05-29,229.75
2013-05-30,228.45
2013-05-31,236.05
2013-06-03,234.05
2013-06-04,232.65
2013-06-05,233.5
2013-06-06,234.1
2013-06-07,233.75
2013-06-10,233.15
2013-06-11,231.0
2013-06-12,226.5
2013-06-13,221.4
2013-06-14,224.95
2013-06-17,227.05
2013-06-18,221.7
2013-06-19,220.05
2013-06-20,212.35
2013-06-21,208.75
2013-06-24,202.3
2013-06-25,190.3
2013-06-26,204.95
2013-06-27,208.3
2013-06-28,207.65
2013-07-01,202.75
2013-07-02,203.65
2013-07-03,204.2
2013-07-04,208.65
2013-07-05,209.6
2013-07-08,209.9
