Date,GRAPHITE
2013-01-01,83.15
2013-01-02,82.0
2013-01-03,83.15
2013-01-04,81.95
2013-01-07,82.1
2013-01-08,82.75
2013-01-09,82.2
2013-01-10,82.05
2013-01-11,81.1
2013-01-14,81.45
2013-01-15,81.05
2013-01-16,80.8
2013-01-17,80.95
2013-01-18,81.5
2013-01-21,81.35
2013-01-22,80.55
2013-01-23,80.15
2013-01-24,79.15
2013-01-25,80.65
2013-01-28,80.55
2013-01-29,80.55
2013-01-30,82.25
2013-01-31,84.35
2013-02-01,85.15
2013-02-04,82.75
2013-02-05,83.65
2013-02-06,82.35
2013-02-07,80.45
2013-02-08,81.55
2013-02-11,81.45
2013-02-12,82.5
2013-02-13,84.35
2013-02-14,86.55
2013-02-15,85.5
2013-02-18,85.25
2013-02-19,85.3
2013-02-20,83.95
2013-02-21,83.3
2013-02-22,82.55
2013-02-25,81.7
2013-02-26,83.1
2013-02-27,84.2
2013-02-28,84.0
2013-03-01,84.65
2013-03-04,81.45
2013-03-05,81.65
2013-03-06,80.95
2013-03-07,81.05
2013-03-08,80.9
2013-03-11,81.3
2013-03-12,80.45
2013-03-13,79.9
2013-03-14,80.0
2013-03-15,80.65
2013-03-18,79.2
2013-03-19,78.95
2013-03-20,77.4
2013-03-21,76.75
2013-03-22,77.35
2013-03-25,77.0
2013-03-26,77.05
2013-03-28,79.1
2013-04-01,79.5
2013-04-02,79.0
2013-04-03,78.4
2013-04-04,78.5
2013-04-05,78.0
2013-04-08,79.2
2013-04-09,78.75
2013-04-10,77.8
2013-04-11,77.75
2013-04-12,78.25
2013-04-15,77.7
2013-04-16,78.2
2013-04-17,78.6
2013-04-18,78.05
2013-04-22,78.25
2013-04-23,78.0
2013-04-25,78.4
2013-04-26,78.15
2013-04-29,77.8
2013-04-30,78.3
2013-05-02,79.65
2013-05-03,78.85
2013-05-06,79.3
2013-05-07,78.55
2013-05-08,79.45
2013-05-09,78.7
2013-05-10,78.05
2013-05-11,78.35
2013-05-13,76.85
2013-05-14,76.8
2013-05-15,75.9
2013-05-16,76.1
2013-05-17,76.05
2013-05-20,75.85
2013-05-21,75.95
2013-05-22,74.9
2013-05-23,74.25
2013-05-24,73.5
2013-05-27,73.8
2013-05-28,77.3
2013-05-29,77.95
2013-05-30,78.0
2013-05-31,76.65
2013-06-03,76.4
2013-06-04,75.1
2013-06-05,74.85
2013-06-06,74.35
2013-06-07,74.1
2013-06-10,73.0
2013-06-11,72.5
2013-06-12,72.55
2013-06-13,72.95
2013-06-14,73.0
2013-06-17,72.8
2013-06-18,74.15
2013-06-19,73.6
2013-06-20,73.0
2013-06-21,73.0
2013-06-24,72.95
2013-06-25,73.0
2013-06-26,73.0
2013-06-27,73.55
2013-06-28,73.45
2013-07-01,74.7
2013-07-02,75.3
2013-07-03,75.3
