Date,RANEENGINE
2013-01-01,170.0
2013-01-02,167.6
2013-01-03,172.9
2013-01-04,171.45
2013-01-07,166.45
2013-01-08,171.55
2013-01-09,168.55
2013-01-10,167.5
2013-01-11,164.25
2013-01-14,163.6
2013-01-15,165.05
2013-01-16,163.75
2013-01-17,171.05
2013-01-18,166.1
2013-01-21,164.5
2013-01-22,170.0
2013-01-24,167.4
2013-01-25,159.15
2013-01-28,160.0
2013-01-29,160.0
2013-01-30,164.9
2013-01-31,162.0
2013-02-01,158.2
2013-02-04,158.0
2013-02-05,157.05
2013-02-06,156.1
2013-02-07,155.05
2013-02-08,163.05
2013-02-11,156.15
2013-02-13,161.35
2013-02-14,160.05
2013-02-15,162.0
2013-02-18,164.95
2013-02-19,158.05
2013-02-20,156.25
2013-02-21,165.0
2013-02-22,155.0
2013-02-25,155.0
2013-02-26,153.25
2013-02-27,152.5
2013-02-28,150.55
2013-03-01,150.1
2013-03-04,147.95
2013-03-05,152.0
2013-03-06,150.0
2013-03-07,145.25
2013-03-08,146.15
2013-03-11,148.35
2013-03-12,147.1
2013-03-13,147.25
2013-03-15,147.75
2013-03-18,148.0
2013-03-19,145.05
2013-03-20,145.5
2013-03-21,151.85
2013-03-22,143.05
2013-03-25,136.65
2013-03-26,130.85
2013-03-28,140.75
2013-04-01,147.65
2013-04-02,150.95
2013-04-03,154.9
2013-04-04,154.0
2013-04-09,153.6
2013-04-10,146.0
2013-04-18,153.65
2013-04-22,146.0
2013-05-06,146.0
2013-05-07,134.2
2013-05-08,135.0
2013-05-14,153.0
2013-05-29,135.5
2013-05-30,135.0
2013-06-05,157.5
2013-06-07,128.1
2013-06-17,137.0
2013-06-18,136.0
2013-06-20,135.0
2013-06-26,120.2
2013-07-09,126.0
2013-07-19,119.7
2013-07-25,120.0
2013-08-01,114.0
2013-08-02,108.3
2013-08-05,102.9
2013-08-08,102.9
2013-08-12,97.8
2013-08-13,93.0
2013-08-14,90.0
2013-08-20,94.5
2013-08-22,94.5
2013-08-23,99.0
2013-08-28,103.5
2013-09-02,107.8
2013-09-03,113.0
2013-09-06,107.35
2013-09-12,107.5
2013-09-16,112.0
2013-09-17,106.4
2013-09-19,102.1
2013-09-24,104.9
2013-09-27,100.0
2013-10-01,100.0
2013-10-04,100.0
2013-10-07,95.35
2013-10-09,100.0
2013-10-15,105.0
2013-10-22,100.0
2013-10-23,98.7
2013-11-06,103.0
2013-11-08,108.0
2013-11-13,113.0
2013-11-14,110.0
2013-11-19,104.5
2013-11-20,106.0
2013-11-29,110.95
2013-12-06,106.05
2013-12-09,107.0
2013-12-18,107.0
2013-12-19,112.35
2013-12-23,107.3
2013-12-24,112.65
2013-12-26,118.25
2013-12-27,116.0
2013-12-30,121.8
2013-12-31,127.85
2014-01-01,125.05
2014-01-02,125.05
2014-03-03,140.2
2014-03-04,140.0
2014-03-05,133.0
2014-03-06,136.0
2014-03-07,137.95
2014-03-10,141.5
2014-03-11,135.0
2014-03-12,128.35
2014-03-13,130.5
2014-03-18,135.0
2014-03-19,128.35
2014-03-21,134.5
2014-03-24,130.0
2014-03-25,136.5
2014-03-26,142.5
2014-03-27,144.0
2014-03-28,151.2
2014-03-31,158.75
2014-04-01,166.65
2014-04-02,174.95
2014-04-03,183.65
2014-04-04,192.8
2014-04-07,189.5
2014-04-09,185.3
2014-04-10,190.0
2014-04-11,199.5
2014-08-06,350.0
2014-08-07,350.0
2014-08-08,350.0
2014-08-11,360.0
2014-08-12,350.0
2014-08-13,350.0
2014-08-14,355.0
2014-08-18,355.0
2014-08-20,355.0
2014-08-21,360.0
2014-08-25,350.0
