Date,ABFRL
2013-07-31,154.2
2013-08-01,161.35
2013-08-02,155.35
2013-08-05,158.75
2013-08-06,147.5
2013-08-07,147.35
2013-08-08,144.05
2013-08-12,144.4
2013-08-13,148.25
2013-08-14,152.4
2013-08-16,143.55
2013-08-19,139.6
2013-08-20,139.55
2013-08-21,139.0
2013-08-22,136.5
2013-08-23,130.8
2013-08-26,135.9
2013-08-27,132.15
2013-08-28,133.05
2013-08-29,130.15
2013-08-30,127.0
2013-09-02,126.2
2013-09-03,124.55
2013-09-04,125.9
2013-09-05,125.35
2013-09-06,123.3
2013-09-10,129.25
2013-09-11,125.45
2013-09-12,124.75
2013-09-13,124.05
2013-09-16,121.6
2013-09-17,119.0
2013-09-18,118.6
2013-09-19,120.55
2013-09-20,118.15
2013-09-23,115.75
2013-09-24,118.1
2013-09-25,114.2
2013-09-26,119.85
2013-09-27,116.9
2013-09-30,111.75
2013-10-01,107.95
2013-10-03,116.55
2013-10-04,111.55
2013-10-07,111.6
2013-10-08,111.15
2013-10-09,110.2
2013-10-10,110.05
2013-10-11,111.15
2013-10-14,110.0
2013-10-15,105.15
2013-10-17,103.4
2013-10-18,108.1
2013-10-21,104.4
2013-10-22,105.2
2013-10-23,104.25
2013-10-24,102.1
2013-10-25,103.55
2013-10-28,102.65
2013-10-29,101.75
2013-10-30,102.1
2013-10-31,101.25
2013-11-01,98.2
2013-11-03,99.05
2013-11-05,97.9
2013-11-06,98.2
2013-11-07,95.25
2013-11-08,92.15
2013-11-11,89.05
2013-11-12,84.5
2013-11-13,81.6
2013-11-14,83.8
2013-11-18,82.7
2013-11-19,80.5
2013-11-20,82.75
2013-11-21,81.3
2013-11-22,79.9
2013-11-25,78.35
2013-11-26,77.15
2013-11-27,76.5
2013-11-28,81.6
2013-11-29,87.1
2013-12-02,86.25
2013-12-03,86.2
2013-12-04,86.55
2013-12-05,85.15
2013-12-06,84.25
2013-12-09,87.3
2013-12-10,85.0
2013-12-11,90.3
2013-12-12,97.3
2013-12-13,98.5
2013-12-16,94.35
2013-12-17,88.55
2013-12-18,85.45
2013-12-19,82.8
2013-12-20,81.7
2013-12-23,83.35
2013-12-24,85.0
2013-12-26,85.3
2013-12-27,85.45
2013-12-30,83.85
2013-12-31,89.65
2014-01-01,88.8
2014-01-02,85.85
2014-01-03,84.8
2014-01-06,86.55
2014-01-07,85.1
2014-01-08,86.9
2014-01-09,86.3
2014-01-10,85.25
2014-01-13,85.05
2014-01-14,85.05
2014-01-15,86.25
2014-01-16,87.3
2014-01-17,86.25
2014-01-20,85.95
2014-01-21,87.8
2014-01-22,86.85
2014-01-23,86.15
2014-01-24,86.0
2014-01-27,84.55
2014-01-28,84.6
2014-01-29,84.55
2014-01-30,84.9
2014-01-31,84.05
2014-02-03,84.8
2014-02-04,83.1
2014-02-05,84.25
2014-02-06,84.0
2014-02-07,84.95
2014-02-10,85.0
2014-02-11,85.05
2014-02-12,86.3
2014-02-13,85.65
2014-02-14,89.55
2014-02-17,86.95
2014-02-18,85.4
2014-02-19,85.2
2014-02-20,85.45
2014-02-21,85.1
2014-02-24,85.5
2014-02-25,86.05
2014-02-26,85.15
2014-02-28,85.1
2014-03-03,87.2
2014-03-04,89.0
2014-03-05,88.4
2014-03-06,90.45
2014-03-07,88.65
2014-03-10,86.0
2014-03-11,84.05
2014-03-12,81.95
2014-03-13,83.15
2014-03-14,83.1
2014-03-18,83.3
2014-03-19,83.65
2014-03-20,82.7
2014-03-21,83.95
2014-03-22,85.45
2014-03-24,83.55
2014-03-25,82.8
2014-03-26,81.95
2014-03-27,81.8
2014-03-28,82.2
2014-03-31,82.6
