Date,TATAMETALI
2013-01-01,62.75
2013-01-02,62.65
2013-01-03,62.8
2013-01-04,62.85
2013-01-07,63.6
2013-01-08,63.2
2013-01-09,63.4
2013-01-10,63.55
2013-01-11,62.35
2013-01-14,62.9
2013-01-15,63.3
2013-01-16,63.1
2013-01-17,63.5
2013-01-18,62.6
2013-01-21,62.15
2013-01-22,61.35
2013-01-23,60.5
2013-01-24,59.3
2013-01-25,59.95
2013-01-28,61.6
2013-01-29,60.45
2013-01-30,59.45
2013-01-31,59.15
2013-02-01,59.6
2013-02-04,55.95
2013-02-05,56.35
2013-02-06,56.8
2013-02-07,56.2
2013-02-08,55.8
2013-02-11,55.55
2013-02-12,55.8
2013-02-13,56.15
2013-02-14,54.7
2013-02-15,55.35
2013-02-18,55.1
2013-02-19,55.45
2013-02-20,55.85
2013-02-21,54.45
2013-02-22,54.55
2013-02-25,53.4
2013-02-26,52.2
2013-02-27,52.05
2013-02-28,48.25
2013-03-01,48.55
2013-03-04,47.1
2013-03-05,49.25
2013-03-06,49.2
2013-03-07,50.4
2013-03-08,51.5
2013-03-11,50.55
2013-03-12,50.0
2013-03-13,49.65
2013-03-14,49.25
2013-03-15,49.55
2013-03-18,48.1
2013-03-19,46.35
2013-03-20,45.65
2013-03-21,45.25
2013-03-22,43.95
2013-03-25,42.15
2013-03-26,42.95
2013-03-28,42.85
2013-04-01,44.55
2013-04-02,45.3
2013-04-03,44.85
2013-04-04,43.0
2013-04-05,43.45
2013-04-08,43.6
2013-04-09,44.6
2013-04-10,45.0
2013-04-11,44.35
2013-04-12,41.65
2013-04-15,40.85
2013-04-16,40.85
2013-04-17,40.75
2013-04-18,40.95
2013-04-22,41.8
2013-04-23,41.75
2013-04-25,41.95
2013-04-26,40.8
2013-04-29,40.8
2013-04-30,40.4
2013-05-02,40.55
2013-05-03,41.1
2013-05-06,42.4
2013-05-07,42.55
2013-05-08,41.9
2013-05-09,41.2
2013-05-10,41.55
2013-05-11,41.65
2013-05-13,40.45
2013-05-14,40.0
2013-05-15,40.5
2013-05-16,40.65
2013-05-17,40.75
2013-05-20,41.0
2013-05-21,40.5
2013-05-22,39.9
2013-05-23,39.2
2013-05-24,40.35
2013-05-27,40.9
2013-05-28,41.45
2013-05-29,40.65
2013-05-30,39.8
2013-05-31,38.5
2013-06-03,38.6
2013-06-04,38.95
2013-06-05,38.9
2013-06-06,38.95
2013-06-07,38.45
2013-06-10,37.95
2013-06-11,36.75
2013-06-12,35.6
2013-06-13,34.5
2013-06-14,35.5
2013-06-17,35.8
2013-06-18,36.8
2013-06-19,37.55
2013-06-20,35.75
2013-06-21,35.1
2013-06-24,34.15
2013-06-25,34.25
2013-06-26,33.65
2013-06-27,33.65
2013-06-28,34.8
2013-07-01,35.6
2013-07-02,36.0
2013-07-03,34.8
2013-07-04,34.25
2013-07-05,34.25
2013-07-08,33.75
2013-07-09,33.85
2013-07-10,33.3
2013-07-11,33.75
2013-07-12,33.7
2013-07-15,33.85
2013-07-16,33.05
2013-07-17,32.35
2013-07-18,32.5
2013-07-19,32.25
