Date,ORIENTPPR
2013-01-01,79.6
2013-01-02,80.15
2013-01-03,79.05
2013-01-04,79.8
2013-01-07,80.3
2013-01-08,80.25
2013-01-09,79.65
2013-01-10,78.9
2013-01-11,78.05
2013-01-14,78.35
2013-01-15,79.25
2013-01-16,79.2
2013-01-17,79.25
2013-01-18,79.0
2013-01-21,78.15
2013-01-22,79.25
2013-01-23,79.15
2013-01-24,76.9
2013-01-25,78.5
2013-01-28,77.15
2013-01-29,77.3
2013-01-30,78.2
2013-01-31,78.8
2013-02-01,78.2
2013-02-04,77.0
2013-02-05,76.7
2013-02-06,77.45
2013-02-07,75.05
2013-02-08,73.05
2013-02-11,73.2
2013-02-12,73.45
2013-02-13,73.9
2013-02-14,73.1
2013-02-15,73.65
2013-02-18,73.25
2013-02-19,73.55
2013-02-20,73.45
2013-02-21,72.05
2013-02-22,70.85
2013-02-25,70.25
2013-02-26,70.1
2013-02-27,71.1
2013-02-28,70.4
2013-03-01,73.65
2013-03-04,71.55
2013-03-05,70.8
2013-03-06,72.6
2013-03-21,8.25
2013-03-22,7.45
2013-03-25,6.75
2013-03-26,6.5
2013-03-28,6.25
2013-04-01,6.55
2013-04-02,6.8
2013-04-03,7.1
2013-04-04,7.35
2013-04-05,7.65
2013-04-08,7.4
2013-04-09,7.05
2013-04-10,7.0
2013-04-11,6.95
2013-04-12,6.8
2013-04-15,6.75
2013-04-16,6.8
2013-04-17,6.85
2013-04-18,6.8
2013-04-22,6.9
2013-04-23,6.95
2013-04-25,6.95
2013-04-26,6.9
2013-04-29,7.1
2013-04-30,7.0
2013-05-02,7.1
2013-05-03,7.15
2013-05-06,7.05
2013-05-07,6.9
2013-05-08,6.95
2013-05-09,7.45
2013-05-10,8.1
2013-05-11,8.85
2013-05-13,8.45
2013-05-14,8.05
2013-05-15,7.7
2013-05-16,7.9
2013-05-17,7.7
2013-05-20,7.8
2013-05-21,7.75
2013-05-22,7.45
2013-05-23,7.3
2013-05-24,7.25
2013-05-27,7.3
2013-05-28,7.6
2013-05-29,7.4
2013-05-30,7.25
2013-05-31,6.9
2013-06-03,6.75
2013-06-04,6.8
2013-06-05,6.85
2013-06-06,6.95
2013-06-07,6.95
2013-06-10,6.75
2013-06-11,6.65
2013-06-12,6.7
2013-06-13,6.55
2013-06-14,6.6
2013-06-17,6.8
2013-06-18,6.9
2013-06-19,7.2
2013-06-20,7.2
2013-06-21,7.3
2013-06-24,7.3
2013-06-25,7.3
2013-06-26,7.15
2013-06-27,7.4
2013-06-28,7.3
2013-07-01,7.3
2013-07-02,7.4
2013-07-03,7.35
2013-07-04,7.2
2013-07-05,6.95
2013-07-08,7.2
2013-07-09,7.0
2013-07-10,7.0
2013-07-11,7.05
2013-07-12,7.0
2013-07-15,6.95
2013-07-16,6.95
2013-07-17,6.95
2013-07-18,7.1
2013-07-19,6.95
2013-07-22,7.0
2013-07-23,7.0
2013-07-24,6.5
2013-07-25,6.5
2013-07-26,6.2
2013-07-29,5.8
2013-07-30,5.25
2013-07-31,5.25
2013-08-01,5.0
2013-08-02,4.75
2013-08-05,4.95
2013-08-06,4.75
2013-08-07,4.75
2013-08-08,4.55
2013-08-12,4.4
2013-08-13,4.6
2013-08-14,4.8
2013-08-16,5.0
2013-08-19,5.25
2013-08-20,5.5
2013-08-21,5.75
2013-08-22,6.0
2013-08-23,6.25
2013-08-26,6.25
2013-08-27,5.95
2013-08-28,5.85
2013-08-29,5.75
2013-08-30,6.0
2013-09-02,6.3
2013-09-03,6.0
2013-09-04,6.3
2013-09-05,6.35
2013-09-06,6.55
2013-09-10,6.45
2013-09-11,6.45
2013-09-12,6.65
2013-09-13,6.95
2013-09-16,7.2
2013-09-17,7.35
2013-09-18,7.1
2013-09-19,7.35
2013-09-20,7.3
2013-09-23,7.3
2013-09-24,7.35
2013-09-25,7.3
2013-09-26,7.65
2013-09-27,7.9
2013-09-30,8.0
2013-10-01,8.15
2013-10-03,8.0
2013-10-04,8.0
2013-10-07,8.0
2013-10-08,7.75
2013-10-09,7.8
2013-10-10,8.15
2013-10-11,8.05
2013-10-14,7.9
2013-10-15,7.7
2013-10-17,7.55
2013-10-18,7.6
2013-10-21,7.95
2013-10-22,8.0
2013-10-23,8.3
2013-10-24,8.2
2013-10-25,8.15
2013-10-28,7.85
2013-10-29,8.2
2013-10-30,7.85
2013-10-31,7.8
2013-11-01,7.55
2013-11-03,7.8
2013-11-05,8.15
2013-11-06,8.55
2013-11-07,9.1
2013-11-08,10.0
2013-11-11,9.95
2013-11-12,9.85
2013-11-13,9.55
2013-11-14,9.35
2013-11-18,10.25
2013-11-19,11.25
2013-11-20,11.1
2013-11-21,10.55
2013-11-22,10.6
2013-11-25,10.65
2013-11-26,10.75
2013-11-27,10.65
2013-11-28,10.7
2013-11-29,10.9
2013-12-02,11.2
2013-12-03,11.35
2013-12-04,11.65
2013-12-05,11.5
2013-12-06,11.65
2013-12-09,11.3
2013-12-10,11.15
2013-12-11,11.0
2013-12-12,10.7
2013-12-13,10.6
2013-12-16,10.35
2013-12-17,10.55
2013-12-18,10.8
2013-12-19,10.7
2013-12-20,11.75
2013-12-23,12.0
2013-12-24,11.95
2013-12-26,12.3
2013-12-27,12.35
2013-12-30,12.25
2013-12-31,12.5
2014-01-01,12.5
2014-01-02,12.95
2014-01-03,13.4
2014-01-06,14.7
2014-01-07,15.7
2014-01-08,17.15
2014-01-09,15.75
2014-01-10,15.2
2014-01-13,14.4
2014-01-14,15.05
2014-01-15,15.6
2014-01-16,15.15
2014-01-17,14.7
2014-01-20,14.25
2014-01-21,14.4
2014-01-22,14.25
2014-01-23,14.75
2014-01-24,13.95
2014-01-27,12.85
2014-01-28,12.9
2014-01-29,13.2
2014-01-30,13.45
2014-01-31,14.1
2014-02-03,14.0
2014-02-04,14.9
2014-02-05,15.0
2014-02-06,14.55
2014-02-07,14.7
2014-02-10,14.55
2014-02-11,14.25
2014-02-12,14.65
2014-02-13,14.4
2014-02-14,14.15
2014-02-17,13.8
2014-02-18,13.95
2014-02-19,13.8
2014-02-20,13.8
2014-02-21,13.75
2014-02-24,13.6
2014-02-25,13.65
2014-02-26,13.4
2014-02-28,13.1
2014-03-03,12.85
2014-03-04,13.15
2014-03-05,13.55
2014-03-06,13.5
2014-03-07,13.3
2014-03-10,12.95
2014-03-11,12.9
2014-03-12,12.9
2014-03-13,13.05
2014-03-14,12.85
2014-03-18,12.85
2014-03-19,13.05
2014-03-20,12.95
