Date,FDC
2013-01-01,94.95
2013-01-02,95.5
2013-01-03,95.4
2013-01-04,95.1
2013-01-07,95.75
2013-01-08,94.85
2013-01-09,94.25
2013-01-10,94.05
2013-01-11,91.4
2013-01-14,92.15
2013-01-15,93.35
2013-01-16,92.6
2013-01-17,93.2
2013-01-18,93.35
2013-01-21,92.8
2013-01-22,92.8
2013-01-23,93.35
2013-01-24,92.85
2013-01-25,92.9
2013-01-28,93.0
2013-01-29,93.2
2013-01-30,92.8
2013-01-31,92.55
2013-02-01,92.65
2013-02-04,92.5
2013-02-05,92.95
2013-02-06,92.85
2013-02-07,92.95
2013-02-08,92.45
2013-02-11,91.1
2013-02-12,92.7
2013-02-13,92.85
2013-02-14,93.0
2013-02-15,92.25
2013-02-18,92.7
2013-02-19,93.0
2013-02-20,93.0
2013-02-21,92.6
2013-02-22,92.95
2013-02-25,92.95
2013-02-26,92.75
2013-02-27,92.95
2013-02-28,91.8
2013-03-01,91.1
2013-03-04,90.3
2013-03-05,92.5
2013-03-06,92.25
2013-03-07,91.65
2013-03-08,92.8
2013-03-11,92.95
2013-03-12,92.5
2013-03-13,92.5
2013-03-14,92.95
2013-03-15,92.65
2013-03-18,92.55
2013-03-19,92.35
2013-03-20,91.95
2013-03-21,92.05
2013-03-22,92.6
2013-03-25,90.1
2013-03-26,91.0
2013-03-28,91.9
2013-04-01,92.1
2013-04-02,91.95
2013-04-03,91.1
2013-04-04,90.5
2013-04-05,90.05
2013-04-08,90.0
2013-04-09,89.55
2013-04-10,89.55
2013-04-11,89.05
2013-04-12,88.85
2013-04-15,88.9
2013-04-16,89.45
2013-04-17,88.05
2013-04-18,89.7
2013-04-22,89.9
2013-04-23,89.95
2013-04-25,89.95
2013-04-26,89.95
2013-04-29,89.8
2013-04-30,89.4
2013-05-02,88.8
2013-05-03,89.4
2013-05-06,89.85
2013-05-07,89.85
2013-05-08,91.45
2013-05-09,91.95
2013-05-10,91.9
2013-05-11,93.05
2013-05-13,92.7
2013-05-14,91.75
2013-05-15,93.05
2013-05-16,92.9
2013-05-17,93.85
2013-05-20,91.5
2013-05-21,90.1
2013-05-22,90.1
2013-05-23,89.8
2013-05-24,88.6
2013-05-27,88.95
2013-05-28,88.6
2013-05-29,88.8
2013-05-30,88.55
2013-05-31,89.0
2013-06-03,88.2
2013-06-04,89.25
2013-06-05,89.95
2013-06-06,89.65
2013-06-07,89.15
2013-06-10,88.2
2013-06-11,88.95
2013-06-12,91.05
2013-06-13,91.9
2013-06-14,92.85
2013-06-17,92.95
2013-06-18,92.85
2013-06-19,93.0
2013-06-20,92.45
2013-06-21,92.6
2013-06-24,92.2
2013-06-25,92.4
2013-06-26,91.1
2013-06-27,91.5
2013-06-28,90.1
2013-07-01,88.8
