Date,VRLLOG
2015-04-30,294.1
2015-05-04,283.0
2015-05-05,285.55
2015-05-06,279.25
2015-05-07,275.1
2015-05-08,281.0
2015-05-11,279.95
2015-05-12,261.8
2015-05-13,269.9
2015-05-14,272.2
2015-05-15,267.55
2015-05-18,278.65
2015-05-19,288.9
2015-05-20,301.25
2015-05-21,292.5
2015-05-22,290.3
2015-05-25,297.2
2015-05-26,320.15
2015-05-27,304.8
2015-05-28,317.55
2015-05-29,309.35
2015-06-01,306.55
2015-06-02,301.15
2015-06-03,284.75
2015-06-04,289.9
2015-06-05,290.45
2015-06-08,285.3
2015-06-09,289.8
2015-06-10,289.45
2015-06-11,285.4
2015-06-12,283.25
2015-06-15,289.95
2015-06-16,292.85
2015-06-17,293.7
2015-06-18,312.1
2015-06-19,316.0
2015-06-22,312.25
2015-06-23,316.85
2015-06-24,310.85
2015-06-25,309.8
2015-06-26,307.8
2015-06-29,302.75
2015-06-30,306.3
2015-07-01,306.55
2015-07-02,313.85
2015-07-03,320.05
2015-07-06,331.0
2015-07-07,336.35
2015-07-08,322.6
2015-07-09,327.4
2015-07-10,328.2
2015-07-13,330.25
2015-07-14,350.9
2015-07-15,348.8
2015-07-16,356.05
2015-07-17,348.15
2015-07-20,358.95
2015-07-21,354.2
2015-07-22,369.3
2015-07-23,364.8
2015-07-24,359.8
2015-07-27,358.4
2015-07-28,380.25
2015-07-29,372.95
2015-07-30,378.05
2015-07-31,386.4
2015-08-03,397.65
2015-08-04,392.4
2015-08-05,387.65
2015-08-06,379.65
2015-08-07,382.65
2015-08-10,394.25
2015-08-11,391.65
2015-08-12,380.15
2015-08-13,367.55
2015-08-14,375.8
2015-08-17,382.7
2015-08-18,387.35
2015-08-19,385.5
2015-08-20,372.75
2015-08-21,370.3
2015-08-24,358.9
2015-08-25,380.15
2015-08-26,393.1
2015-08-27,414.3
2015-08-28,452.3
2015-08-31,467.0
2015-09-01,435.5
2015-09-02,406.6
2015-09-03,404.35
2015-09-04,387.7
2015-09-07,400.05
2015-09-08,411.8
2015-09-09,416.7
2015-09-10,401.35
2015-09-11,409.6
2015-09-14,409.25
2015-09-15,402.85
2015-09-16,395.55
2015-09-18,390.9
2015-09-21,401.45
2015-09-22,394.95
2015-09-23,398.4
2015-09-24,395.75
2015-09-28,396.2
2015-09-29,390.3
2015-09-30,392.5
2015-10-01,386.35
2015-10-05,388.8
2015-10-06,386.55
2015-10-07,378.75
2015-10-08,371.05
2015-10-09,373.95
2015-10-12,374.5
2015-10-13,377.35
2015-10-14,373.85
2015-10-15,383.3
2015-10-16,385.6
2015-10-19,384.05
