Date,GUFICBIO
2013-01-01,7.35
2013-01-02,7.1
2013-01-03,7.05
2013-01-04,6.95
2013-01-07,7.65
2013-01-08,7.9
2013-01-09,7.65
2013-01-10,7.5
2013-01-11,7.55
2013-01-14,7.1
2013-01-15,7.65
2013-01-16,8.05
2013-01-17,8.2
2013-01-18,8.25
2013-01-21,8.5
2013-01-22,8.3
2013-01-23,8.2
2013-01-24,8.5
2013-01-25,8.5
2013-01-28,8.25
2013-01-29,8.5
2013-01-30,8.4
2013-01-31,8.2
2013-02-01,9.0
2013-02-04,8.75
2013-02-05,8.75
2013-02-06,8.65
2013-02-07,8.35
2013-02-08,7.85
2013-02-11,8.05
2013-02-12,7.5
2013-02-13,7.15
2013-02-14,7.15
2013-02-15,7.0
2013-02-18,6.95
2013-02-19,6.9
2013-02-20,6.95
2013-02-21,7.0
2013-02-22,6.95
2013-02-25,6.8
2013-02-26,6.9
2013-02-27,6.75
2013-02-28,6.4
2013-03-01,6.45
2013-03-04,6.25
2013-03-05,6.9
2013-03-06,6.6
2013-03-07,7.0
2013-03-08,6.6
2013-03-11,6.95
2013-03-12,6.9
2013-03-13,6.75
2013-03-14,6.7
2013-03-15,6.45
2013-03-18,6.4
2013-03-19,6.3
2013-03-20,6.65
2013-03-21,6.3
2013-03-22,6.15
2013-03-25,6.5
2013-03-26,6.25
2013-03-28,6.45
2013-04-01,6.9
2013-04-02,6.65
2013-04-03,7.0
2013-04-04,6.35
2013-04-05,6.6
2013-04-08,6.4
2013-04-09,6.4
2013-04-10,6.9
2013-04-11,6.95
2013-04-12,6.95
2013-04-15,7.55
2013-04-16,7.45
2013-04-17,7.1
2013-04-18,7.05
2013-04-22,6.8
2013-04-23,6.75
2013-04-25,6.8
2013-04-26,6.8
2013-04-29,7.0
2013-04-30,6.8
2013-05-02,6.8
2013-05-03,6.6
2013-05-06,6.55
2013-05-07,6.7
2013-05-08,6.6
2013-05-09,6.8
2013-05-10,6.7
2013-05-11,6.55
2013-05-13,6.7
2013-05-14,6.5
2013-05-15,6.75
2013-05-16,6.45
2013-05-17,5.95
2013-05-20,6.1
2013-05-21,5.95
2013-05-22,5.95
2013-05-23,5.8
2013-05-24,5.75
2013-05-27,6.15
2013-05-28,5.75
2013-05-29,5.7
2013-05-30,5.8
2013-05-31,5.55
2013-06-03,5.65
2013-06-04,6.0
2013-06-05,6.25
2013-06-06,6.1
2013-06-07,6.1
2013-06-10,6.0
2013-06-11,6.1
2013-06-12,5.95
2013-06-13,5.55
2013-06-14,5.9
2013-06-17,5.6
2013-06-18,5.75
2013-06-19,5.9
2013-06-20,5.55
2013-06-21,5.65
2013-06-24,5.4
2013-06-25,5.8
2013-06-26,5.25
2013-06-27,5.4
2013-06-28,5.6
2013-07-01,5.5
2013-07-02,5.3
2013-07-03,5.1
2013-07-04,5.5
2013-07-05,5.15
2013-07-08,5.15
2013-07-09,4.65
2013-07-11,4.5
2013-07-15,5.4
2013-07-16,5.4
2013-07-17,5.05
2013-07-18,5.15
2013-07-19,5.15
2013-07-22,5.6
2013-07-23,5.1
2013-07-25,5.0
2013-07-26,5.55
2013-07-29,5.0
2013-07-30,4.55
2013-08-02,4.1
2013-08-06,4.25
