Date,PGHH
2013-01-01,2750.1
2013-01-02,2726.65
2013-01-03,2706.5
2013-01-04,2704.75
2013-01-07,2673.5
2013-01-08,2681.5
2013-01-09,2622.65
2013-01-10,2621.15
2013-01-11,2599.25
2013-01-14,2620.6
2013-01-15,2595.3
2013-01-16,2609.5
2013-01-17,2584.4
2013-01-18,2567.2
2013-01-21,2540.65
2013-01-22,2517.4
2013-01-23,2464.1
2013-01-24,2470.05
2013-01-25,2470.25
2013-01-28,2470.1
2013-01-29,2494.95
2013-01-30,2483.55
2013-01-31,2502.55
2013-02-01,2503.65
2013-02-04,2551.35
2013-02-05,2514.7
2013-02-06,2527.6
2013-02-07,2499.85
2013-02-08,2506.7
2013-02-11,2532.95
2013-02-12,2512.65
2013-02-13,2520.65
2013-02-14,2521.2
2013-02-15,2519.7
2013-02-18,2528.7
2013-02-19,2525.1
2013-02-20,2544.15
2013-02-21,2524.7
2013-02-22,2525.05
2013-02-25,2542.8
2013-02-26,2526.0
2013-02-27,2523.75
2013-02-28,2522.9
2013-03-01,2547.05
2013-03-04,2539.85
2013-03-05,2504.05
2013-03-06,2503.6
2013-03-07,2499.55
2013-03-08,2505.25
2013-03-11,2507.2
2013-03-12,2502.8
2013-03-13,2503.2
2013-03-14,2523.3
2013-03-15,2505.55
2013-03-18,2547.0
2013-03-19,2522.45
2013-03-20,2539.5
2013-03-21,2508.0
2013-03-22,2505.95
2013-03-25,2534.4
2013-03-26,2530.75
2013-03-28,2523.6
2013-04-01,2520.4
2013-04-02,2532.7
2013-04-03,2554.25
2013-04-04,2526.25
2013-04-05,2524.35
2013-04-08,2521.5
2013-04-09,2525.15
2013-04-10,2531.65
2013-04-11,2533.0
2013-04-12,2548.9
2013-04-15,2526.05
2013-04-16,2559.1
2013-04-17,2525.75
2013-04-18,2526.1
2013-04-22,2585.3
2013-04-23,2555.9
2013-04-25,2527.85
2013-04-26,2543.95
2013-04-29,2571.75
2013-04-30,2734.45
2013-05-02,2705.3
2013-05-03,2681.8
2013-05-06,2654.85
2013-05-07,2665.85
2013-05-08,2640.75
2013-05-09,2632.35
2013-05-10,2582.8
2013-05-11,2596.05
2013-05-13,2526.4
2013-05-14,2534.0
2013-05-15,2561.75
2013-05-16,2561.85
2013-05-17,2558.9
2013-05-20,2597.4
2013-05-21,2640.45
2013-05-22,2686.2
2013-05-23,2684.4
2013-05-24,2673.4
2013-05-27,2697.4
2013-05-28,2677.5
2013-05-29,2676.3
