Date,INDOTECH
2013-01-01,158.9
2013-01-02,160.2
2013-01-03,157.8
2013-01-04,158.4
2013-01-07,161.4
2013-01-08,177.5
2013-01-09,177.25
2013-01-10,174.5
2013-01-11,170.8
2013-01-14,175.85
2013-01-15,176.7
2013-01-16,173.65
2013-01-17,175.65
2013-01-18,177.0
2013-01-21,174.95
2013-01-22,175.6
2013-01-23,172.4
2013-01-24,168.6
2013-01-25,151.75
2013-01-28,166.8
2013-01-29,152.55
2013-01-30,141.95
2013-01-31,127.8
2013-02-01,121.45
2013-02-04,115.4
2013-02-05,109.65
2013-02-06,104.2
2013-02-07,99.0
2013-02-08,97.75
2013-02-11,93.85
2013-02-12,89.2
2013-02-13,89.65
2013-02-14,91.35
2013-02-15,91.5
2013-02-18,91.65
2013-02-19,90.55
2013-02-20,91.0
2013-02-21,89.3
2013-02-22,85.15
2013-02-25,82.1
2013-02-26,78.7
2013-02-27,80.8
2013-02-28,78.0
2013-03-01,78.45
2013-03-04,77.6
2013-03-05,78.7
2013-03-06,78.45
2013-03-07,79.3
2013-03-08,77.35
2013-03-11,77.3
2013-03-12,79.6
2013-03-13,78.0
2013-03-14,80.05
2013-03-15,78.65
2013-03-18,77.65
2013-03-19,75.95
2013-03-20,74.7
2013-03-21,74.0
2013-03-22,72.4
2013-03-25,72.7
2013-03-26,71.05
2013-03-28,73.5
2013-04-01,76.1
2013-04-02,78.8
2013-04-03,79.85
2013-04-04,79.9
2013-04-05,80.05
2013-04-08,78.4
2013-04-09,77.8
2013-04-10,76.35
2013-04-11,76.25
2013-04-12,76.1
2013-04-15,77.9
2013-04-16,76.05
2013-04-17,76.6
2013-04-18,76.65
2013-04-22,75.85
2013-04-23,77.0
2013-04-25,77.6
2013-04-26,78.45
2013-04-29,77.7
2013-04-30,78.45
2013-05-02,77.35
2013-05-03,78.05
2013-05-06,81.2
2013-05-07,82.0
2013-05-08,80.2
2013-05-09,80.25
2013-05-10,81.55
2013-05-11,78.65
2013-05-13,75.55
2013-05-14,76.85
2013-05-15,79.6
2013-05-16,79.75
2013-05-17,86.25
2013-05-20,87.3
2013-05-21,87.2
2013-05-22,86.25
2013-05-23,80.65
2013-05-24,81.3
2013-05-27,81.5
2013-05-28,80.75
2013-05-29,84.35
2013-05-30,82.05
2013-05-31,79.0
2013-06-03,78.45
2013-06-04,77.15
2013-06-05,80.35
2013-06-06,80.05
2013-06-07,80.7
2013-06-10,79.8
2013-06-11,76.65
2013-06-12,77.45
2013-06-13,78.7
2013-06-14,78.15
2013-06-17,76.45
2013-06-18,77.75
2013-06-19,76.4
2013-06-20,75.0
2013-06-21,75.05
2013-06-24,73.8
2013-06-25,77.3
2013-06-26,74.4
2013-06-27,71.65
2013-06-28,73.45
2013-07-01,73.5
2013-07-02,73.2
2013-07-03,72.15
2013-07-04,73.75
2013-07-05,73.0
2013-07-08,72.65
2013-07-09,72.05
2013-07-10,71.0
2013-07-11,72.55
2013-07-12,71.7
2013-07-15,74.3
2013-07-16,76.1
2013-07-17,72.9
2013-07-18,71.0
2013-07-19,70.1
2013-07-22,69.5
2013-07-23,69.05
2013-07-24,68.75
2013-07-25,65.3
2013-07-26,67.95
2013-07-29,67.0
2013-07-30,62.5
2013-07-31,63.15
2013-08-01,60.45
2013-08-02,64.2
2013-08-05,58.9
2013-08-06,56.2
2013-08-07,60.6
2013-08-08,60.15
2013-08-12,59.15
2013-08-13,61.75
2013-08-14,67.2
2013-08-16,57.95
2013-08-19,56.9
2013-08-20,55.15
2013-08-21,50.55
2013-08-22,51.65
2013-08-23,51.4
2013-08-26,52.1
2013-08-27,50.65
2013-08-28,50.3
2013-08-29,50.9
2013-08-30,50.55
2013-09-02,50.25
2013-09-03,50.0
2013-09-04,49.4
2013-09-05,48.35
2013-09-06,50.1
2013-09-10,54.0
2013-09-11,54.35
2013-09-12,53.2
2013-09-13,53.4
2013-09-16,53.1
2013-09-17,52.75
2013-09-18,53.5
2013-09-19,55.05
2013-09-20,53.35
2013-09-23,55.0
2013-09-24,53.05
2013-09-25,52.6
2013-09-26,53.1
2013-09-27,51.25
2013-09-30,50.45
2013-10-01,50.3
2013-10-03,50.0
2013-10-04,51.0
2013-10-07,50.85
2013-10-08,52.2
2013-10-09,52.35
2013-10-10,52.3
2013-10-11,53.0
2013-10-14,53.95
2013-10-15,50.4
2013-10-17,49.2
2013-10-18,49.6
2013-10-21,53.25
2013-10-22,52.0
2013-10-23,52.4
2013-10-24,52.15
2013-10-25,51.1
2013-10-28,49.9
2013-10-29,49.85
2013-10-30,51.0
2013-10-31,50.35
2013-11-01,51.05
2013-11-03,51.65
2013-11-05,54.7
2013-11-06,52.75
2013-11-07,51.65
2013-11-08,51.9
2013-11-11,51.95
2013-11-12,51.6
2013-11-13,50.5
2013-11-14,50.7
2013-11-18,51.75
2013-11-19,54.0
2013-11-20,56.7
2013-11-21,68.0
2013-11-22,77.55
2013-11-25,70.75
2013-11-26,74.2
2013-11-27,72.85
2013-11-28,72.05
2013-11-29,71.6
2013-12-02,71.4
2013-12-03,70.4
2013-12-04,68.2
2013-12-05,68.45
2014-03-03,58.75
2014-03-04,61.0
2014-03-05,62.0
2014-03-06,63.0
2014-03-07,65.0
2014-03-10,62.8
2014-03-11,63.5
2014-03-12,62.75
2014-03-13,61.9
2014-03-14,60.25
2014-03-18,64.0
2014-03-19,61.8
2014-03-20,59.2
2014-03-21,58.65
2014-03-22,58.05
2014-03-24,60.55
2014-03-25,59.8
2014-03-26,59.6
2014-03-27,60.0
2014-03-28,60.15
2014-03-31,59.9
2014-04-01,59.9
2014-04-02,61.25
2014-04-03,63.3
2014-04-04,65.9
2014-04-07,66.3
2014-04-09,72.9
2014-04-10,75.95
2014-04-11,72.5
2014-04-15,72.0
2014-04-16,71.05
2014-04-17,72.35
2014-04-21,74.45
2014-04-22,76.5
2014-04-23,83.5
2014-04-25,85.2
2014-04-28,86.1
2014-04-29,85.2
2014-04-30,85.0
2014-05-02,84.1
2014-05-05,83.0
2014-05-06,80.05
2014-05-07,80.4
2014-05-08,81.65
2014-06-13,117.8
2014-06-16,121.1
2014-06-17,125.95
2014-06-18,130.35
2014-06-19,136.65
2014-06-20,137.45
2014-06-23,136.15
2014-06-24,135.6
2014-06-25,142.35
2014-06-26,149.45
2014-06-27,156.9
2014-06-30,164.7
2014-07-01,172.9
2014-07-02,181.5
2014-07-03,180.05
2014-07-04,173.6
2014-07-07,167.4
2014-07-08,162.15
2014-07-09,164.2
2014-07-10,164.05
2014-07-11,157.2
2014-07-14,157.1
2014-07-15,158.35
2014-07-16,160.2
2014-07-17,158.3
2014-07-18,156.8
2014-07-21,160.1
2014-07-22,164.6
2014-07-23,163.35
2014-07-24,162.65
2014-07-25,156.0
2014-07-28,154.6
2014-07-30,162.3
2014-07-31,166.3
2014-08-01,161.8
2014-08-04,171.1
2014-08-05,175.25
2014-08-06,192.75
2014-08-07,212.0
2014-08-08,217.75
2014-08-11,215.05
2014-08-12,206.65
2014-08-13,196.35
2014-08-14,192.8
2014-08-18,202.4
2014-08-19,204.1
2014-08-20,198.35
2014-08-21,193.45
2014-08-22,194.0
2014-08-25,188.75
2014-08-26,189.0
2014-08-27,189.1
2014-08-28,184.9
2014-09-01,182.5
2014-09-02,191.6
