Date,RUCHIRA
2013-01-01,14.95
2013-01-02,15.85
2013-01-03,16.4
2013-01-04,16.45
2013-01-07,16.25
2013-01-08,16.95
2013-01-09,16.9
2013-01-10,17.45
2013-01-11,17.9
2013-01-14,19.2
2013-01-15,18.4
2013-01-16,17.5
2013-01-17,17.4
2013-01-18,17.3
2013-01-21,18.1
2013-01-22,17.85
2013-01-23,18.25
2013-01-24,16.5
2013-01-25,16.9
2013-01-28,15.55
2013-01-29,15.55
2013-01-30,16.0
2013-01-31,16.95
2013-02-01,16.5
2013-02-04,17.7
2013-02-05,17.0
2013-02-06,16.8
2013-02-07,16.55
2013-02-08,15.95
2013-02-11,17.0
2013-02-12,15.75
2013-02-13,15.95
2013-02-14,14.3
2013-02-15,15.25
2013-02-18,15.6
2013-02-19,16.95
2013-02-20,16.95
2013-02-21,17.15
2013-02-22,17.75
2013-02-25,17.6
2013-02-26,17.0
2013-02-27,16.6
2013-02-28,15.75
2013-03-01,15.55
2013-03-04,16.0
2013-03-05,15.6
2013-03-06,15.5
2013-03-07,15.15
2013-03-08,15.75
2013-03-11,14.5
2013-03-12,15.25
2013-03-13,16.0
2013-03-14,16.05
2013-03-15,15.5
2013-03-18,15.5
2013-03-19,15.3
2013-03-20,16.0
2013-03-21,15.75
2013-03-22,16.0
2013-03-25,15.5
2013-03-26,15.25
2013-03-28,14.6
2013-04-01,14.7
2013-04-02,14.6
2013-04-03,14.5
2013-04-04,14.05
2013-04-05,14.25
2013-04-08,13.9
2013-04-09,14.0
2013-04-12,14.55
2013-04-15,15.0
2013-04-16,14.25
2013-04-17,14.5
2013-04-18,14.45
2013-04-22,14.15
2013-04-23,14.4
2013-04-25,14.3
2013-04-26,15.8
2013-04-29,15.15
2013-04-30,15.25
2013-05-02,15.3
2013-05-03,14.35
2013-05-06,14.5
2013-05-07,15.3
2013-05-08,15.5
2013-05-09,15.6
2013-05-10,16.3
2013-05-11,16.45
2013-05-13,16.35
2013-05-14,17.2
2013-05-15,17.4
2013-05-16,17.55
2013-05-17,17.6
2013-05-20,17.05
2013-05-21,17.05
2013-05-22,17.0
2013-05-23,16.55
2013-05-24,16.3
2013-05-27,16.0
2013-05-28,16.3
2013-05-29,16.0
2013-05-30,16.5
2013-05-31,15.5
2013-06-03,15.75
2013-06-04,15.95
2013-06-05,16.4
2013-06-06,16.35
2013-06-07,16.15
2013-06-10,16.4
2013-06-11,16.4
2013-06-12,15.9
2013-06-13,15.95
2013-06-14,15.85
2013-06-17,16.25
2013-06-18,15.75
2013-06-19,15.85
2013-06-20,15.35
2013-06-21,15.8
2013-06-24,15.6
2013-06-25,15.95
2013-06-26,15.95
2013-06-27,15.9
2013-06-28,15.45
2013-07-01,15.85
2013-07-02,15.2
2013-07-03,15.65
2013-07-04,15.5
2013-07-05,15.85
2013-07-08,16.85
2013-07-09,16.45
2013-07-10,16.45
2013-07-11,16.3
2013-07-22,16.4
2013-07-23,16.8
2013-07-25,16.75
2013-07-29,15.35
2013-07-31,15.75
2013-08-02,16.75
2013-08-05,16.95
2013-08-06,17.15
2013-08-07,17.4
2013-08-08,17.2
2013-08-12,17.5
2013-08-13,17.9
2013-08-14,16.5
2013-08-16,17.8
2013-08-19,17.9
2013-08-20,17.8
2013-08-21,17.95
2013-08-22,17.9
2013-08-23,16.7
