Date,JAYSREETEA
2013-03-01,99.35
2013-03-04,98.25
2013-03-05,99.85
2013-03-06,100.25
2013-03-07,101.75
2013-03-08,100.6
2013-03-11,101.2
2013-03-12,99.65
2013-03-13,97.85
2013-03-14,98.1
2013-03-15,97.9
2013-03-18,99.35
2013-03-19,95.55
2013-03-20,92.35
2013-03-21,89.9
2013-03-22,87.9
2013-03-25,85.95
2013-03-26,85.0
2013-03-28,85.2
2013-04-01,89.0
2013-04-02,93.2
2013-04-03,91.6
2013-04-04,88.85
2013-04-05,89.65
2013-04-08,95.95
2013-04-09,99.7
2013-04-10,96.45
2013-04-11,94.85
2013-04-12,92.7
2013-04-15,94.45
2013-04-16,94.0
2013-04-17,92.2
2013-04-18,92.9
2013-04-22,93.25
2013-04-23,92.95
2013-04-25,93.2
2013-04-26,92.75
2013-04-29,93.7
2013-04-30,95.05
2013-05-02,94.6
2013-05-03,94.65
2013-05-06,95.05
2013-05-07,92.85
2013-05-08,93.2
2013-05-09,90.25
2013-05-10,89.7
2013-05-11,90.55
2013-05-13,88.95
2013-05-14,88.1
2013-05-15,89.05
2013-05-16,89.85
2013-05-17,89.0
2013-05-20,89.4
2013-05-21,89.55
2013-05-22,88.0
2013-05-23,86.7
2013-05-24,86.3
2013-05-27,86.9
2013-05-28,86.15
2013-05-29,86.2
2013-05-30,84.35
2013-05-31,83.85
2013-06-03,84.05
2013-06-04,85.5
2013-06-05,84.7
2013-06-06,84.7
2013-06-07,85.9
2013-06-10,85.55
2013-06-11,83.25
2013-06-12,83.75
2013-06-13,82.55
2013-06-14,83.35
2013-06-17,83.1
2013-06-18,83.25
2013-06-19,83.4
2013-06-20,82.05
2013-06-21,80.7
2013-06-24,78.85
2013-06-25,78.55
2013-06-26,77.55
2013-06-27,76.85
2013-06-28,77.35
2013-07-01,81.05
2013-07-02,81.95
2013-07-03,80.0
2013-07-04,79.95
2013-07-05,79.2
2013-07-08,78.4
2013-07-09,79.95
2013-07-10,80.85
2013-07-11,81.5
2013-07-12,82.0
2013-07-15,82.95
2013-07-16,83.0
2013-07-17,82.75
2013-07-18,78.25
2013-07-19,79.0
2013-07-22,78.5
2013-07-23,78.5
2013-07-24,77.45
2013-07-25,76.25
2013-07-26,75.75
2013-07-29,77.6
2013-07-30,77.5
2013-07-31,77.3
2013-08-01,76.5
2013-08-02,76.55
2013-08-05,77.35
2013-08-06,77.05
2013-08-07,76.4
2013-08-08,78.15
2013-08-12,78.05
2013-08-13,78.65
2013-08-14,85.6
2013-08-16,86.8
2013-08-19,86.1
2013-08-20,84.65
2013-08-21,83.85
2013-08-22,85.35
2013-08-23,86.7
2013-08-26,85.8
2013-08-27,84.3
2013-08-28,83.25
2013-08-29,84.55
2013-08-30,84.1
2013-09-02,84.05
2013-09-03,82.75
2013-09-04,84.8
2013-09-05,84.75
2013-09-06,84.15
2013-09-10,83.9
2013-09-11,86.65
2013-09-12,86.4
2013-09-13,85.65
2013-09-16,84.7
2013-09-17,83.85
2013-09-18,84.05
2013-09-19,84.25
2013-09-20,83.9
2013-09-23,82.85
2013-09-24,82.05
2013-09-25,82.2
2013-09-26,82.0
2013-09-27,81.85
2013-09-30,81.6
2013-10-01,82.8
2013-10-03,84.35
2013-10-04,84.95
2013-10-07,84.4
2013-10-08,85.4
2013-10-09,89.25
2013-10-10,88.35
2013-10-11,87.4
2013-10-14,86.05
2013-10-15,85.75
2013-10-17,88.3
2013-10-18,87.1
2013-10-21,88.6
2013-10-22,88.05
2013-10-23,86.4
2013-10-24,86.0
2013-10-25,85.35
2013-10-28,84.25
2013-10-29,84.8
2013-10-30,84.25
2013-10-31,84.85
2013-11-01,85.9
2013-11-03,86.9
2013-11-05,85.35
2013-11-06,87.05
2013-11-07,85.6
2013-11-08,88.2
2013-11-11,90.7
2013-11-12,89.5
2013-11-13,88.7
2013-11-14,82.4
2013-11-18,79.35
2013-11-19,78.25
2013-11-20,80.3
2013-11-21,79.3
2013-11-22,78.3
2013-11-25,79.4
2013-11-26,78.5
2013-11-27,78.95
2013-11-28,79.8
2013-11-29,80.15
2013-12-02,81.05
2013-12-03,83.85
2013-12-04,82.15
2013-12-05,83.4
2013-12-06,83.35
2013-12-09,83.15
2013-12-10,81.6
2013-12-11,80.9
2013-12-12,83.5
2013-12-13,82.05
2013-12-16,81.35
2013-12-17,82.2
2013-12-18,82.9
2013-12-19,82.55
2013-12-20,86.5
2013-12-23,87.3
2013-12-24,89.6
2013-12-26,91.35
2013-12-27,91.55
2013-12-30,93.25
2013-12-31,92.95
2014-01-01,93.5
2014-01-02,89.5
2014-01-03,89.65
2014-01-06,97.5
2014-01-07,98.55
2014-01-08,99.6
2014-01-09,96.7
2014-01-10,94.4
2014-01-13,92.95
2014-01-14,93.2
2014-01-15,92.7
2014-01-16,93.9
2014-01-17,89.6
2014-01-20,90.4
2014-01-21,90.25
2014-01-22,90.05
2014-01-23,89.95
2014-01-24,88.0
2014-01-27,85.7
