Date,AUTOIND
2013-01-01,140.4
2013-01-02,140.55
2013-01-03,138.9
2013-01-04,139.65
2013-01-07,138.5
2013-01-08,144.2
2013-01-09,140.65
2013-01-10,137.15
2013-01-11,136.05
2013-01-14,133.95
2013-01-15,135.35
2013-01-16,131.95
2013-01-17,131.0
2013-01-18,136.8
2013-01-21,138.4
2013-01-22,133.3
2013-01-23,132.2
2013-01-24,126.2
2013-01-25,125.8
2013-01-28,126.2
2013-01-29,121.85
2013-01-30,118.0
2013-01-31,118.75
2013-02-01,130.5
2013-02-04,120.95
2013-02-05,118.8
2013-02-06,118.7
2013-02-07,115.25
2013-02-08,111.45
2013-02-11,109.65
2013-02-12,104.7
2013-02-13,108.5
2013-02-14,101.75
2013-02-15,97.55
2013-02-18,100.8
2013-02-19,102.75
2013-02-20,102.05
2013-02-21,98.75
2013-02-22,99.6
2013-02-25,94.2
2013-02-26,90.35
2013-02-27,86.4
2013-02-28,84.7
2013-03-01,78.85
2013-03-04,76.35
2013-03-05,79.55
2013-03-06,79.8
2013-03-07,85.3
2013-03-08,83.2
2013-03-11,85.5
2013-03-12,84.55
2013-03-13,81.3
2013-03-14,84.6
2013-03-15,80.6
2013-03-18,78.5
2013-03-19,74.8
2013-03-20,71.9
2013-03-21,68.65
2013-03-22,66.6
2013-03-25,67.45
2013-03-26,62.4
2013-03-28,62.7
2013-04-01,67.9
2013-04-02,78.8
2013-04-03,79.2
2013-04-04,75.0
2013-04-05,75.55
2013-04-08,74.0
2013-04-09,72.5
2013-04-10,73.15
2013-04-11,73.65
2013-04-12,74.05
2013-04-15,79.85
2013-04-16,93.0
2013-04-17,111.6
2013-04-18,122.75
2013-04-22,121.85
2013-04-23,122.85
2013-04-25,118.95
2013-04-26,108.55
2013-04-29,99.25
2013-04-30,97.8
2013-05-02,99.0
2013-05-03,96.1
2013-05-06,99.5
2013-05-07,99.55
2013-05-08,99.35
2013-05-09,97.95
2013-05-10,96.15
2013-05-11,95.4
2013-05-13,91.0
2013-05-14,95.6
2013-05-15,99.05
2013-05-16,97.9
2013-05-17,95.4
2013-05-20,91.45
2013-05-21,89.6
2013-05-22,87.0
2013-05-23,82.55
2013-05-24,81.8
2013-05-27,83.8
2013-05-28,83.2
2013-05-29,86.9
2013-05-30,90.1
2013-05-31,89.0
2013-06-03,85.15
2013-06-04,84.35
2013-06-05,84.6
2013-06-06,84.05
2013-06-07,82.7
2013-06-10,81.15
2013-06-11,77.95
2013-06-12,80.75
2013-06-13,77.25
2013-06-14,79.45
2013-06-17,78.3
2013-06-18,82.6
2013-06-19,84.55
2013-06-20,79.5
2013-06-21,79.1
2013-06-24,73.45
2013-06-25,75.5
2013-06-26,72.3
2013-06-27,73.7
2013-06-28,75.0
2013-07-01,76.25
2013-07-02,78.0
2013-07-03,75.5
2013-07-04,77.1
2013-07-05,76.5
2013-07-08,74.15
2013-07-09,73.9
2013-07-10,74.55
2013-07-11,73.95
2013-07-12,73.9
2013-07-15,73.9
2013-07-16,72.25
2013-07-17,70.5
2013-07-18,69.35
2013-07-19,70.1
2013-07-22,71.0
2013-07-23,70.8
2013-07-24,66.95
2013-07-25,67.0
2013-07-26,65.55
2013-07-29,62.8
2013-07-30,58.3
2013-07-31,55.2
2013-08-01,54.85
2013-08-02,51.0
2013-08-05,48.7
2013-08-06,47.5
2013-08-07,49.0
2013-08-08,58.8
2013-08-12,70.55
2013-08-13,75.5
2013-08-14,69.05
2013-08-16,64.15
2013-08-19,61.9
2013-08-20,64.75
2013-08-21,64.15
2013-08-22,62.7
2013-08-23,64.85
2013-08-26,64.5
2013-08-27,61.3
2013-08-28,59.1
2013-08-29,61.25
2013-08-30,59.65
2013-09-02,62.2
2013-09-03,62.15
2013-09-04,61.75
2013-09-05,63.05
2013-09-06,67.5
2013-09-10,71.35
2013-09-11,72.45
2013-09-12,69.0
2013-09-13,72.8
2013-09-16,70.65
2013-09-17,70.0
2013-09-18,71.65
2013-09-19,71.75
2013-09-20,68.85
2013-09-23,69.9
2013-09-24,68.35
2013-09-25,67.2
2013-09-26,67.25
2013-09-27,65.85
2013-09-30,64.7
2013-10-01,64.85
2013-10-03,66.0
2013-10-04,68.4
2013-10-07,69.4
2013-10-08,70.0
2013-10-09,70.9
2013-10-10,71.1
2013-10-11,70.4
2013-10-14,70.35
2013-10-15,69.2
2013-10-17,69.4
2013-10-18,70.05
2013-10-21,71.45
2013-10-22,72.75
2013-10-23,71.2
2013-10-24,69.2
2013-10-25,67.75
2013-10-28,66.3
2013-10-29,66.4
2013-10-30,67.5
2013-10-31,67.4
2013-11-01,69.4
2013-11-03,70.55
2013-11-05,71.9
2013-11-06,71.55
2013-11-07,69.3
2013-11-08,67.75
2013-11-11,68.95
2013-11-12,67.15
2013-11-13,66.8
2013-11-14,67.85
2013-11-18,69.2
2013-11-19,68.7
2013-11-20,68.45
2013-11-21,67.0
2013-11-22,65.8
2013-11-25,70.25
2013-11-26,67.85
2013-11-27,66.9
2013-11-28,68.85
2013-11-29,68.85
2013-12-02,70.15
2013-12-03,73.3
2013-12-04,74.6
2013-12-05,79.6
2013-12-06,83.15
2013-12-09,83.05
2013-12-10,82.85
2013-12-11,83.8
2013-12-12,82.4
2013-12-13,79.85
2013-12-16,80.9
2013-12-17,78.15
2013-12-18,78.45
2013-12-19,78.4
2013-12-20,78.35
2013-12-23,79.05
2013-12-24,86.15
2013-12-26,88.35
2013-12-27,91.95
2013-12-30,90.7
2013-12-31,88.55
2014-01-01,89.35
2014-01-02,84.25
2014-01-03,83.05
2014-01-06,82.6
2014-01-07,85.85
2014-01-08,86.2
2014-01-09,84.95
2014-01-10,82.2
2014-01-13,81.3
2014-01-14,80.45
2014-01-15,80.5
2014-01-16,78.45
2014-01-17,75.1
2014-01-20,78.35
2014-01-21,77.35
2014-01-22,76.4
2014-01-23,79.05
2014-01-24,76.75
2014-01-27,71.25
2014-01-28,71.95
2014-01-29,72.35
2014-01-30,70.3
2014-01-31,70.7
2014-02-03,68.85
2014-02-04,65.55
2014-02-05,66.6
2014-02-06,66.05
2014-02-07,68.0
2014-02-10,66.8
2014-02-11,65.7
2014-02-12,65.8
2014-02-13,62.1
2014-02-14,63.9
2014-02-17,63.15
2014-02-18,63.3
2014-02-19,64.55
2014-02-20,66.4
2014-02-21,66.4
2014-02-24,64.75
2014-02-25,66.15
2014-02-26,64.55
2014-02-28,65.55
2014-03-03,64.05
2014-03-04,64.95
2014-03-05,69.3
2014-03-06,69.2
2014-03-07,67.1
2014-03-10,69.45
2014-03-11,73.0
2014-03-12,68.8
2014-03-13,67.2
2014-03-14,65.8
2014-03-18,69.0
2014-03-19,71.0
2014-03-20,68.7
2014-03-21,68.0
2014-03-22,69.9
2014-03-24,70.95
2014-03-25,69.85
2014-03-26,70.3
2014-03-27,70.35
2014-03-28,71.05
2014-03-31,72.35
2014-04-01,72.15
2014-04-02,73.65
2014-04-03,74.05
2014-04-04,74.85
2014-04-07,74.9
2014-04-09,75.5
2014-04-10,74.3
2014-04-11,76.95
2014-04-15,75.7
2014-04-16,72.05
2014-04-17,74.45
2014-04-21,77.4
2014-04-22,75.75
2014-04-23,74.4
2014-04-25,76.95
2014-04-28,74.9
2014-04-29,73.45
2014-04-30,72.0
2014-05-02,72.05
2014-05-05,70.65
2014-05-06,71.85
2014-05-07,70.1
2014-05-08,72.05
2014-05-09,71.1
2014-05-12,71.85
2014-05-13,74.05
2014-05-14,73.2
2014-05-15,70.7
2014-05-16,70.7
2014-05-19,75.7
2014-05-20,84.35
2014-05-21,87.55
2014-05-22,88.5
2014-05-23,89.4
2014-05-26,87.05
2014-05-27,86.15
2014-05-28,85.8
2014-05-29,83.4
2014-05-30,84.3
2014-06-02,86.45
2014-06-03,87.65
2014-06-04,91.05
2014-06-05,88.05
2014-06-06,95.75
2014-06-09,96.25
2014-06-10,94.4
2014-06-11,93.35
2014-06-12,94.9
2014-06-13,96.0
2014-06-16,93.9
2014-06-17,96.5
2014-06-18,95.55
