Date,CTE
2013-01-01,7.5
2013-01-02,7.35
2013-01-03,7.45
2013-01-04,7.3
2013-01-07,7.25
2013-01-08,7.3
2013-01-09,7.3
2013-01-10,7.2
2013-01-11,7.0
2013-01-14,6.85
2013-01-15,7.15
2013-01-16,7.0
2013-01-17,6.75
2013-01-18,6.45
2013-01-21,6.85
2013-01-22,6.5
2013-01-24,6.2
2013-01-25,6.45
2013-01-28,6.4
2013-01-29,6.2
2013-01-30,6.75
2013-01-31,6.7
2013-02-01,6.35
2013-02-04,6.05
2013-02-05,5.9
2013-02-06,5.65
2013-02-07,6.05
2013-02-08,5.75
2013-02-11,6.05
2013-02-12,5.6
2013-02-13,6.15
2013-02-14,6.2
2013-02-15,6.6
2013-02-18,6.2
2013-02-19,6.25
2013-02-20,6.2
2013-02-21,5.6
2013-02-22,5.75
2013-02-25,5.9
2013-02-26,5.75
2013-02-27,5.5
2013-02-28,5.0
2013-03-01,4.7
2013-03-04,4.65
2013-03-05,4.65
2013-03-06,4.65
2013-03-07,5.05
2013-03-08,5.25
2013-03-11,5.6
2013-03-12,5.65
2013-03-13,6.05
2013-03-15,6.0
2013-03-18,5.8
2013-03-19,5.95
2013-03-20,5.75
2013-03-21,5.8
2013-03-22,5.6
2013-03-25,5.8
2013-03-26,5.6
2013-03-28,5.8
2013-04-01,5.7
2013-04-02,5.55
2013-04-03,5.5
2013-04-04,5.25
2013-04-05,5.0
2013-04-08,5.0
2013-04-09,4.9
2013-04-10,4.85
2013-04-11,5.05
2013-04-12,5.2
2013-04-15,5.35
2013-04-17,5.1
2013-04-18,5.3
2013-04-22,5.05
2013-04-23,5.15
2013-04-25,5.0
2013-04-26,5.0
2013-04-29,4.75
2013-04-30,4.7
2013-05-02,4.8
2013-05-03,4.75
2013-05-06,4.8
2013-05-07,4.75
2013-05-08,4.8
2013-05-09,4.7
2013-05-10,4.5
2013-05-11,4.5
2013-05-13,4.3
2013-05-14,4.2
2013-05-15,4.0
2013-05-16,3.9
2013-05-17,3.8
2013-05-20,3.75
2013-05-21,3.6
2013-05-22,3.65
2013-05-23,3.8
2013-05-24,3.8
2013-05-27,3.65
2013-05-28,3.5
2013-06-04,3.65
2013-06-05,3.7
2013-06-06,3.6
2013-06-10,3.6
2013-06-11,3.45
2013-06-12,3.6
2013-06-13,3.5
2013-06-14,3.65
2013-06-17,3.7
2013-06-18,3.65
2013-06-19,3.6
2013-06-20,3.55
2013-06-21,3.7
2013-06-24,3.6
2013-06-25,3.55
2013-06-26,3.7
2013-06-27,3.85
2013-06-28,3.7
2013-07-01,3.85
2013-07-02,3.7
2013-07-03,3.7
2013-07-04,3.55
2013-07-10,3.5
2013-07-18,3.5
2013-07-25,3.65
2013-10-07,3.6
2013-10-08,3.45
2013-10-10,3.3
2013-10-11,3.15
2013-10-14,3.15
2013-10-21,3.1
2013-10-22,3.0
2013-10-24,3.0
2013-10-29,2.95
2013-10-30,3.05
2013-10-31,3.05
2013-11-07,2.95
2013-11-08,2.95
2013-11-14,2.95
2013-11-20,2.85
2014-03-03,3.45
2014-03-04,3.6
2014-03-05,3.5
2014-03-06,3.6
2014-03-07,3.5
2014-03-10,3.65
2014-03-11,3.75
2014-03-12,3.65
2014-03-13,3.5
2014-03-14,3.6
2014-03-18,3.45
2014-03-21,3.55
2014-03-24,3.55
2014-03-25,3.6
2014-03-26,3.45
2014-03-27,3.45
2014-03-28,3.4
2014-03-31,3.5
2014-04-01,3.65
2014-04-02,3.65
2014-04-03,3.65
2014-04-10,3.55
2014-04-11,3.5
2014-04-16,3.35
2014-04-17,3.35
2014-04-22,3.5
