Date,AMDIND
2013-01-01,15.45
2013-01-02,15.35
2013-01-03,15.55
2013-01-04,15.35
2013-01-07,15.55
2013-01-08,15.3
2013-01-09,15.35
2013-01-10,15.25
2013-01-11,15.2
2013-01-14,15.3
2013-01-15,15.2
2013-01-16,15.05
2013-01-17,15.45
2013-01-18,15.4
2013-01-21,15.05
2013-01-22,15.05
2013-01-23,14.85
2013-01-24,14.75
2013-01-25,14.6
2013-01-28,14.65
2013-01-29,14.4
2013-01-30,14.5
2013-01-31,14.5
2013-02-01,14.8
2013-02-04,14.65
2013-02-05,14.45
2013-02-06,14.45
2013-02-07,14.15
2013-02-08,14.5
2013-02-11,14.15
2013-02-12,13.5
2013-02-13,13.7
2013-02-14,13.6
2013-02-15,13.45
2013-02-18,13.3
2013-02-19,13.55
2013-02-20,13.4
2013-02-21,13.25
2013-02-22,13.15
2013-02-25,13.05
2013-02-26,13.0
2013-02-27,13.0
2013-02-28,12.95
2013-03-01,12.1
2013-03-04,12.25
2013-03-05,11.9
2013-03-06,11.65
2013-03-07,11.45
2013-03-08,11.8
2013-03-11,11.65
2013-03-12,11.55
2013-03-13,11.55
2013-03-14,11.4
2013-03-15,11.25
2013-03-18,11.0
2013-03-19,11.3
2013-03-20,10.85
2013-03-21,10.65
2013-03-22,10.05
2013-03-25,10.0
2013-03-26,10.5
2013-03-28,10.0
2013-04-01,10.5
2013-04-02,10.55
2013-04-03,10.8
2013-04-04,11.0
2013-04-05,10.5
2013-04-08,11.8
2013-04-09,10.5
2013-04-11,10.3
2013-04-15,10.3
2013-04-16,10.7
2013-04-17,11.0
2013-04-18,11.0
2013-04-23,12.0
2013-04-25,11.0
2013-04-29,11.0
2013-04-30,11.0
2013-05-02,11.0
2013-05-03,11.0
2013-05-06,10.6
2013-05-07,10.5
2013-05-08,10.8
2013-05-09,10.5
2013-05-10,10.55
2013-05-11,10.5
2013-05-13,10.05
2013-05-14,10.0
2013-05-15,10.25
2013-05-16,10.15
2013-05-17,10.0
2013-05-20,10.0
2013-05-21,10.0
2013-05-22,11.0
2013-05-24,10.1
2013-05-28,9.4
2013-05-29,9.65
2013-05-30,10.8
2013-05-31,10.7
2013-06-03,10.65
2013-06-06,10.9
2013-06-10,10.0
2013-06-11,10.0
2013-06-12,11.1
2013-06-13,10.2
2013-06-17,10.5
2013-06-18,10.55
2013-06-19,10.5
2013-06-20,10.1
2013-06-24,10.8
2013-06-25,9.7
2013-06-27,10.05
2013-06-28,10.05
2013-07-01,10.75
2013-07-02,10.5
2013-07-03,9.55
2013-07-08,9.6
2013-07-09,10.05
2013-07-11,10.35
2013-07-15,10.25
2013-07-16,10.25
2013-07-17,10.5
2013-07-18,10.15
2013-07-19,10.65
2013-07-23,10.25
2013-07-29,10.0
2013-07-30,10.5
2013-07-31,10.5
2013-08-05,10.0
2013-08-06,10.0
2013-08-12,10.5
2013-08-16,11.0
2013-08-19,10.85
2013-08-22,10.5
2013-08-28,10.95
2013-08-29,10.5
2013-09-02,11.0
2013-09-03,11.4
2013-09-04,11.5
2013-09-05,11.0
2013-09-06,10.65
2013-09-10,10.65
2013-09-11,11.15
2013-09-12,10.9
2013-09-13,11.4
2013-09-16,11.95
2013-09-17,10.55
2013-09-18,11.05
2013-09-19,11.0
2013-09-20,11.2
2013-09-23,10.8
2013-09-24,10.8
2013-09-25,10.3
2013-09-26,10.1
2013-09-27,10.0
2013-09-30,10.5
2013-10-01,10.85
2013-10-03,10.85
2013-10-04,10.75
2013-10-08,11.0
2013-10-09,11.0
2013-10-10,10.9
2013-10-11,10.65
2013-10-14,10.8
2013-10-15,10.65
2013-10-17,10.7
2013-10-18,10.7
2013-10-23,11.2
2013-10-24,11.0
2013-10-25,11.55
2013-10-28,11.0
2013-10-29,11.55
2013-10-30,11.75
2013-10-31,11.35
2013-11-01,10.8
2013-11-03,11.3
2013-11-05,11.55
2013-11-06,12.1
2013-11-08,11.3
2013-11-11,11.4
2013-11-12,11.65
2013-11-13,11.65
2013-11-14,12.0
2013-11-18,12.15
2013-11-19,12.1
2013-11-20,12.0
2013-11-21,12.5
2013-11-22,12.25
2013-11-25,13.0
2013-11-28,11.8
2013-11-29,12.0
2013-12-02,11.6
2013-12-03,12.6
2013-12-04,13.8
2013-12-05,12.5
2013-12-06,13.6
2013-12-09,14.7
2013-12-11,14.0
2013-12-17,13.3
2013-12-27,13.5
2013-12-31,13.0
2014-01-01,12.65
2014-01-02,13.0
2014-01-03,13.0
2014-01-06,13.0
2014-01-07,13.0
2014-01-08,12.6
2014-01-09,12.5
2014-01-10,12.95
2014-01-13,12.1
2014-01-14,12.2
2014-01-15,12.95
2014-01-16,12.8
2014-01-17,12.4
2014-01-20,12.35
2014-01-21,12.65
2014-01-22,12.55
2014-01-23,12.95
2014-01-24,13.0
