Date,GENUSPAPER
2015-03-02,2.9
2015-03-03,2.75
2015-03-04,2.9
2015-03-05,2.9
2015-03-09,2.8
2015-03-10,2.7
2015-03-11,2.7
2015-03-12,2.75
2015-03-13,2.7
2015-03-16,2.8
2015-03-17,2.7
2015-03-18,2.6
2015-03-19,2.6
2015-03-20,2.55
2015-03-23,2.45
2015-03-24,2.45
2015-03-25,2.35
2015-03-26,2.25
2015-03-27,2.15
2015-03-30,2.05
2015-03-31,1.95
2015-04-01,2.0
2015-04-06,1.9
2015-04-07,1.85
2015-04-08,1.85
2015-04-09,1.8
2015-04-10,1.75
2015-04-13,1.8
2015-04-15,1.75
2015-04-16,1.75
2015-04-17,1.75
2015-04-20,1.75
2015-04-21,1.7
2015-04-22,1.65
2015-04-23,1.7
2015-04-24,1.7
2015-04-27,1.7
2015-04-28,1.65
2015-04-29,1.7
2015-04-30,1.7
2015-05-04,1.85
2015-05-05,2.0
2015-05-06,2.0
2015-05-07,2.0
2015-05-08,2.0
2015-05-11,2.0
2015-05-12,2.05
2015-05-13,1.95
2015-05-14,2.0
2015-05-15,1.95
2015-05-18,2.0
2015-05-19,2.0
2015-05-20,2.2
2015-05-21,2.0
2015-05-22,2.0
2015-05-25,2.0
2015-05-26,2.1
2015-05-27,1.9
2015-05-28,1.9
2015-05-29,2.0
2015-06-01,1.9
2015-06-02,1.9
2015-06-03,1.75
2015-06-04,1.8
2015-06-05,2.05
2015-06-08,2.1
2015-06-09,1.9
2015-06-10,1.85
2015-06-11,1.85
2015-06-12,2.0
2015-06-15,1.9
2015-06-16,1.95
2015-06-17,1.95
2015-06-18,1.9
2015-06-19,2.15
2015-06-22,2.35
2015-06-23,2.5
2015-06-24,2.35
2015-06-25,2.45
2015-06-26,2.35
2015-06-29,2.7
2015-06-30,3.2
2015-07-01,3.5
2015-07-02,3.75
2015-07-03,3.85
2015-07-06,4.0
2015-07-07,4.4
2015-07-08,4.6
2015-07-09,4.8
2015-07-10,5.0
2015-07-13,5.25
2015-07-14,5.5
2015-07-15,5.75
2015-07-16,5.5
2015-07-17,5.25
2015-07-20,5.0
2015-07-21,4.75
2015-07-22,4.55
2015-07-23,4.35
2015-07-24,4.15
2015-07-27,4.35
2015-07-28,4.55
2015-07-29,4.75
2015-07-30,4.95
2015-07-31,4.75
2015-08-03,4.8
2015-08-04,4.85
2015-08-05,4.7
2015-08-06,4.55
2015-08-07,4.6
2015-08-10,5.05
2015-08-11,4.9
2015-08-12,4.6
2015-08-13,4.3
2015-08-14,4.2
2015-08-17,4.1
2015-08-18,4.0
2015-08-19,4.2
2015-08-20,4.15
2015-08-21,4.1
2015-08-24,3.75
2015-08-25,3.4
2015-08-26,3.35
2015-08-27,3.05
2015-08-28,3.0
2015-08-31,3.15
2015-09-01,3.3
2015-09-02,3.45
2015-09-03,3.6
2015-09-04,3.5
2015-09-07,3.35
2015-09-08,3.2
2015-09-09,3.15
2015-09-10,3.1
2015-09-11,3.25
2015-09-14,3.15
2015-09-15,3.1
2015-09-16,3.2
2015-09-18,3.35
2015-09-21,3.35
2015-09-22,3.4
2015-09-23,3.4
2015-09-24,3.55
2015-09-28,3.7
2015-09-29,3.6
2015-09-30,3.5
2015-10-01,3.55
2015-10-05,3.65
2015-10-06,3.75
2015-10-07,4.1
2015-10-08,4.5
2015-10-09,4.7
2015-10-12,4.55
2015-10-13,4.35
2015-10-14,4.25
2015-10-15,4.25
2015-10-16,4.15
2015-10-19,4.1
2015-10-20,4.2
2015-10-21,4.1
2015-10-23,4.1
2015-10-26,4.1
2015-10-27,4.15
2015-10-28,4.35
2015-10-29,4.4
2015-10-30,4.4
2015-11-02,4.35
2015-11-03,4.25
2015-11-04,4.15
2015-11-05,4.15
2015-11-06,4.2
2015-11-09,4.2
2015-11-10,4.1
2015-11-11,4.5
2015-11-13,4.7
2015-11-16,4.6
2015-11-17,4.25
2015-11-18,4.2
2015-11-19,4.25
2015-11-20,4.45
2015-11-23,4.85
2015-11-24,4.85
2015-11-26,5.25
2015-11-27,5.65
2015-11-30,5.85
2015-12-01,5.6
2015-12-02,5.35
2015-12-03,5.1
2015-12-04,4.85
2015-12-07,4.65
2015-12-08,4.8
2015-12-09,4.6
2015-12-10,4.5
2015-12-11,4.55
2015-12-14,4.65
2015-12-15,4.85
2015-12-16,5.05
2015-12-17,5.3
2015-12-18,5.4
2015-12-21,5.55
2015-12-22,5.75
2015-12-23,6.0
2015-12-24,5.8
