Date,WEBELSOLAR
2013-01-01,10.25
2013-01-02,9.8
2013-01-03,10.05
2013-01-04,9.95
2013-01-07,10.05
2013-01-08,9.7
2013-01-09,10.1
2013-01-10,9.75
2013-01-11,9.9
2013-01-14,9.9
2013-01-15,9.85
2013-01-16,9.75
2013-01-17,9.55
2013-01-18,9.95
2013-01-21,9.7
2013-01-22,9.3
2013-01-23,9.2
2013-01-24,9.45
2013-01-25,9.9
2013-01-28,9.95
2013-01-29,9.5
2013-01-30,9.3
2013-01-31,9.15
2013-02-01,9.05
2013-02-04,8.8
2013-02-05,9.1
2013-02-06,9.25
2013-02-07,9.25
2013-02-08,8.95
2013-02-11,8.9
2013-02-12,9.15
2013-02-13,8.95
2013-02-14,8.75
2013-02-15,8.75
2013-02-18,8.65
2013-02-19,8.95
2013-02-20,8.9
2013-02-21,9.0
2013-02-22,9.45
2013-02-25,9.85
2013-02-26,9.6
2013-02-27,9.65
2013-02-28,9.3
2013-03-01,8.85
2013-03-04,8.75
2013-03-05,8.35
2013-03-06,8.3
2013-03-07,8.5
2013-03-08,8.4
2013-03-11,8.75
2013-03-12,9.0
2013-03-13,8.6
2013-03-14,8.25
2013-03-15,8.3
2013-03-18,8.0
2013-03-19,8.0
2013-03-20,7.4
2013-03-21,7.65
2013-03-22,7.35
2013-03-25,6.7
2013-03-26,6.95
2013-03-28,6.9
2013-04-01,7.2
2013-04-02,7.85
2013-04-03,7.4
2013-04-04,7.4
2013-04-05,7.2
2013-04-08,7.3
2013-04-12,7.05
2013-04-16,6.7
2013-04-25,7.0
2013-05-02,7.4
2013-05-03,7.05
2013-05-08,7.7
2013-05-09,7.8
2013-05-13,7.7
2013-05-17,7.0
2013-05-24,6.95
2013-05-27,7.6
2013-06-06,7.95
2013-06-07,7.2
2013-06-11,7.75
2013-06-14,7.0
2013-06-17,6.3
2013-06-24,6.15
2013-06-26,6.4
2013-06-28,6.1
2013-07-03,6.4
2013-07-05,6.7
2013-07-09,6.7
2013-07-16,6.4
2013-07-18,6.1
2013-07-19,6.25
2013-07-24,5.95
2013-07-31,5.7
2013-08-01,5.45
2013-08-07,5.2
2013-08-08,4.95
2013-08-29,4.75
2013-08-30,4.55
2013-09-03,4.35
2013-09-05,4.15
2013-09-06,4.25
2013-09-12,4.05
2013-09-13,4.1
2013-09-16,3.9
2013-09-19,3.75
2013-09-20,3.9
2013-09-23,3.8
2013-09-30,3.95
2013-10-01,4.1
2013-10-03,4.3
2013-10-04,4.5
2013-10-07,4.7
2013-10-08,4.8
2013-10-09,4.6
2013-10-10,4.4
2013-10-11,4.6
2013-10-15,4.4
2013-10-17,4.6
2013-10-18,4.8
2013-10-24,5.0
2013-10-25,5.25
2013-10-28,5.5
2013-10-29,5.75
2013-10-30,6.0
