Date,MAJESCO
2015-09-02,337.9
2015-09-03,326.8
2015-09-04,310.1
2015-09-07,303.55
2015-09-08,301.25
2015-09-09,303.1
2015-09-10,303.35
2015-09-11,312.7
2015-09-14,310.05
2015-09-15,307.8
2015-09-16,301.15
2015-09-18,303.75
2015-09-21,332.55
2015-09-22,319.05
2015-09-23,313.65
2015-09-24,316.6
2015-09-28,312.45
2015-09-29,310.5
2015-09-30,309.65
2015-10-01,309.55
2015-10-05,321.4
2015-10-06,323.15
2015-10-07,322.75
2015-10-08,337.55
2015-10-09,351.75
2015-10-12,335.5
2015-10-13,337.8
2015-10-14,340.7
2015-10-15,342.15
2015-10-16,331.6
2015-10-19,331.35
2015-10-20,327.2
2015-10-21,327.25
2015-10-23,351.65
2015-10-26,350.25
2015-10-27,349.8
2015-10-28,346.3
2015-10-29,368.4
2015-10-30,366.55
2015-11-02,370.15
2015-11-03,369.1
2015-11-04,394.15
2015-11-05,408.0
2015-11-06,390.05
2015-11-09,428.9
2015-11-10,413.6
2015-11-11,423.85
2015-11-13,508.6
2015-11-16,482.15
2015-11-17,486.4
2015-11-18,522.75
2015-11-19,515.8
2015-11-20,529.0
2015-11-23,575.1
2015-11-24,651.95
2015-11-26,661.0
2015-11-27,677.75
2015-11-30,697.95
2015-12-01,694.4
2015-12-02,669.7
2015-12-03,651.6
2015-12-04,658.7
2015-12-07,657.4
2015-12-08,625.5
2015-12-09,578.75
2015-12-10,596.75
2015-12-11,586.05
2015-12-14,572.8
2015-12-15,620.8
2015-12-16,629.85
2015-12-17,653.55
2015-12-18,654.1
2015-12-21,654.15
2015-12-22,644.5
2015-12-23,641.2
2015-12-24,638.6
2015-12-28,638.9
2015-12-29,651.6
2015-12-30,645.65
2015-12-31,643.45
2016-01-01,725.85
2016-01-04,719.65
2016-01-05,759.05
2016-01-06,756.35
2016-01-07,713.45
2016-01-08,739.25
2016-01-11,758.25
2016-01-12,753.75
2016-01-13,702.4
2016-01-14,670.65
2016-01-15,625.0
2016-01-18,561.7
2016-01-19,583.55
2016-01-20,548.4
2016-01-21,549.6
2016-01-22,579.8
2016-01-25,585.95
2016-01-27,607.05
2016-01-28,598.9
2016-01-29,605.35
2016-02-01,597.05
2016-02-02,569.35
2016-02-03,548.85
2016-02-04,534.2
2016-02-05,562.7
2016-02-08,554.9
2016-02-09,544.9
2016-02-10,529.2
2016-02-11,479.5
2016-02-12,472.8
2016-02-15,500.85
2016-02-16,496.25
2016-02-17,485.85
2016-02-18,486.55
2016-02-19,477.3
2016-02-22,479.05
2016-02-23,473.65
2016-02-24,450.5
2016-02-25,459.15
2016-02-26,455.6
2016-02-29,454.05
2016-03-01,492.35
2016-03-02,505.3
2016-03-03,524.65
2016-03-04,558.85
2016-03-08,544.55
2016-03-09,554.35
2016-03-10,560.15
2016-03-11,550.7
2016-03-14,594.5
2016-03-15,583.0
2016-03-16,571.85
2016-03-17,568.45
2016-03-18,565.7
2016-03-21,579.45
2016-03-22,583.55
2016-03-23,571.45
2016-03-28,549.4
2016-03-29,544.4
2016-03-30,556.65
2016-03-31,568.5
2016-04-01,560.05
2016-04-04,563.5
2016-04-05,550.6
