Date,INOXLEISUR
2013-01-01,82.15
2013-01-02,84.45
2013-01-03,83.05
2013-01-04,85.15
2013-01-07,85.6
2013-01-08,88.9
2013-01-09,87.5
2013-01-10,86.6
2013-01-11,86.35
2013-01-14,88.55
2013-01-15,87.9
2013-01-16,87.8
2013-01-17,88.3
2013-01-18,84.95
2013-01-21,84.55
2013-01-22,84.05
2013-01-23,82.9
2013-01-24,79.45
2013-01-25,81.9
2013-01-28,81.65
2013-01-29,83.6
2013-01-30,82.45
2013-01-31,81.4
2013-02-01,80.8
2013-02-04,79.15
2013-02-05,76.95
2013-02-06,76.7
2013-02-07,74.15
2013-02-08,73.35
2013-02-11,73.05
2013-02-12,71.05
2013-02-13,69.6
2013-02-14,66.35
2013-02-15,66.8
2013-02-18,73.45
2013-02-19,77.7
2013-02-20,77.25
2013-02-21,74.55
2013-02-22,74.0
2013-02-25,72.65
2013-02-26,68.95
2013-02-27,71.1
2013-02-28,70.0
2013-03-01,70.5
2013-03-04,67.95
2013-03-05,69.0
2013-03-06,70.05
2013-03-07,75.4
2013-03-08,74.5
2013-03-11,73.5
2013-03-12,72.3
2013-03-13,71.05
2013-03-14,70.7
2013-03-15,70.7
2013-03-18,71.0
2013-03-19,68.3
2013-03-20,64.45
2013-03-21,64.4
2013-03-22,64.85
2013-03-25,63.75
2013-03-26,63.35
2013-03-28,64.65
2013-04-01,66.45
2013-04-02,72.0
2013-04-03,69.05
2013-04-04,68.5
2013-04-05,68.3
2013-04-08,68.25
2013-04-09,67.45
2013-04-10,67.5
2013-04-11,68.4
2013-04-12,66.75
2013-04-15,66.3
2013-04-16,65.3
2013-04-17,66.05
2013-04-18,67.25
2013-04-22,67.95
2013-04-23,69.5
2013-04-25,68.15
2013-04-26,67.2
2013-04-29,66.8
2013-04-30,69.75
2013-05-02,69.4
2013-05-03,68.15
2013-05-06,67.9
2013-05-07,67.7
2013-05-08,67.95
2013-05-09,67.95
2013-05-10,69.7
2013-05-11,70.25
2013-05-13,68.85
2013-05-14,69.0
2013-05-15,69.4
2013-05-16,69.5
2013-05-17,68.95
2013-05-20,72.9
2013-05-21,72.3
2013-05-22,68.95
2013-05-23,65.95
2013-05-24,65.3
2013-05-27,66.95
2013-05-28,68.15
2013-05-29,67.35
2013-05-30,65.2
2013-05-31,63.3
2013-06-03,62.0
2013-06-04,61.55
2013-06-05,61.95
2013-06-06,61.55
2013-06-07,64.25
2013-06-10,63.05
2013-06-11,62.15
2013-06-12,62.65
2013-06-13,62.4
2013-06-14,63.5
2013-06-17,62.75
2013-06-18,63.6
2013-06-19,65.0
2013-06-20,62.95
2013-06-21,62.0
2013-06-24,61.65
2013-06-25,61.45
2013-06-26,61.3
2013-06-27,61.35
2013-06-28,60.4
2013-07-01,62.25
2013-07-02,61.4
2013-07-03,60.75
2013-07-04,60.35
2013-07-05,60.15
2013-07-08,59.25
2013-07-09,59.1
2013-07-10,58.65
2013-07-11,59.2
2013-07-12,59.15
2013-07-15,59.8
2013-07-16,58.7
2013-07-17,59.0
2013-07-18,59.95
2013-07-19,58.95
2013-07-22,58.3
2013-07-23,59.0
2013-07-24,55.7
2013-07-25,55.55
2013-07-26,55.25
2013-07-29,55.9
2013-07-30,56.0
2013-07-31,55.1
2013-08-01,55.0
2013-08-02,53.1
2013-08-05,53.35
2013-08-06,52.2
2013-08-07,52.95
2013-08-08,56.2
2013-08-12,61.3
2013-08-13,61.6
2013-08-14,59.75
2013-08-16,56.4
2013-08-19,55.65
2013-08-20,56.55
2013-08-21,56.2
2013-08-22,57.05
2013-08-23,58.45
2013-08-26,60.8
2013-08-27,58.8
2013-08-28,57.9
2013-08-29,59.25
2013-08-30,61.5
2013-09-02,60.15
2013-09-03,59.65
2013-09-04,63.25
2013-09-05,67.05
2013-09-06,70.1
2013-09-10,68.5
2013-09-11,71.65
2013-09-12,71.65
2013-09-13,71.85
2013-09-16,71.5
2013-09-17,72.45
2013-09-18,73.95
2013-09-19,77.2
2013-09-20,75.45
2013-09-23,76.6
2013-09-24,75.15
2013-09-25,70.85
2013-09-26,72.4
2013-09-27,73.55
2013-09-30,75.25
2013-10-01,77.0
2013-10-03,81.8
2013-10-04,86.4
2013-10-07,87.35
2013-10-08,85.15
2013-10-09,86.2
2013-10-10,86.6
2013-10-11,83.4
2013-10-14,84.45
2013-10-15,85.2
2013-10-17,79.35
2013-10-18,80.05
2013-10-21,86.3
2013-10-22,84.3
2013-10-23,85.0
2013-10-24,88.65
2013-10-25,83.9
2013-10-28,85.1
2013-10-29,84.05
2013-10-30,91.2
2013-10-31,91.9
2013-11-01,93.6
2013-11-03,94.95
2013-11-05,92.85
2013-11-06,91.85
2013-11-07,87.9
2013-11-08,87.7
2013-11-11,83.9
2013-11-12,83.85
2013-11-13,82.4
2013-11-14,84.05
2013-11-18,84.4
2013-11-19,84.95
2013-11-20,84.6
2013-11-21,84.95
2013-11-22,86.7
2013-11-25,91.35
2013-11-26,91.05
2013-11-27,90.0
2013-11-28,90.9
2013-11-29,91.85
2013-12-02,102.1
2013-12-03,112.7
2013-12-04,116.55
2013-12-05,114.1
2013-12-06,114.0
2013-12-09,113.05
2013-12-10,112.85
2013-12-11,112.55
2013-12-12,118.5
2013-12-13,115.75
2013-12-16,117.4
