Date,GOKEX
2013-01-01,72.9
2013-01-02,73.65
2013-01-03,72.95
2013-01-04,70.9
2013-01-07,70.5
2013-01-08,69.5
2013-01-09,69.25
2013-01-10,67.75
2013-01-11,67.25
2013-01-14,66.55
2013-01-15,66.45
2013-01-16,67.5
2013-01-17,66.95
2013-01-18,66.35
2013-01-21,63.15
2013-01-22,64.9
2013-01-23,62.9
2013-01-24,61.85
2013-01-25,61.35
2013-01-28,62.55
2013-01-29,61.5
2013-01-30,62.0
2013-01-31,61.2
2013-02-01,60.75
2013-02-04,67.4
2013-02-05,63.8
2013-02-06,64.9
2013-02-07,65.95
2013-02-08,63.4
2013-02-11,60.95
2013-02-12,61.5
2013-02-13,61.8
2013-02-14,59.05
2013-02-15,56.9
2013-02-18,57.15
2013-02-19,57.05
2013-02-20,57.35
2013-02-21,55.95
2013-02-22,56.15
2013-02-25,53.05
2013-02-26,50.9
2013-02-27,49.5
2013-02-28,49.45
2013-03-01,47.25
2013-03-04,45.35
2013-03-05,45.1
2013-03-06,47.5
2013-03-07,47.2
2013-03-08,48.2
2013-03-11,46.4
2013-03-12,47.15
2013-03-13,44.65
2013-03-14,43.8
2013-03-15,44.0
2013-03-18,43.45
2013-03-19,42.9
2013-03-20,40.6
2013-03-21,37.55
2013-03-22,36.95
2013-03-25,36.55
2013-03-26,36.5
2013-03-28,37.25
2013-04-01,35.95
2013-04-02,35.95
2013-04-03,35.8
2013-04-04,35.65
2013-04-05,36.25
2013-04-08,33.55
2013-04-09,31.4
2013-04-10,30.75
2013-04-11,30.85
2013-04-12,31.0
2013-04-15,30.5
2013-04-16,31.15
2013-04-17,30.6
2013-04-18,30.9
2013-04-22,31.4
2013-04-23,31.9
2013-04-25,31.55
2013-04-26,31.0
2013-04-29,30.9
2013-04-30,30.7
2013-05-02,31.1
2013-05-03,31.35
2013-05-06,31.0
2013-05-07,33.7
2013-05-08,33.95
2013-05-09,32.15
2013-05-10,32.9
2013-05-11,34.4
2013-05-13,32.5
2013-05-14,33.7
2013-05-15,33.75
2013-05-16,32.6
2013-05-17,32.25
2013-05-20,34.35
2013-05-21,34.05
2013-05-22,32.15
2013-05-23,34.9
2013-05-24,34.5
2013-05-27,35.45
2013-05-28,35.95
2013-05-29,38.1
2013-05-30,37.15
2013-05-31,36.0
2013-06-03,36.4
2013-06-04,34.85
2013-06-05,36.2
2013-06-06,33.9
2013-06-07,36.05
2013-06-10,33.85
2013-06-11,32.5
2013-06-12,32.0
2013-06-13,31.55
2013-06-14,31.6
2013-06-17,32.1
2013-06-18,32.0
2013-06-19,32.55
2013-06-20,30.85
2013-06-21,30.75
2013-06-24,30.45
2013-06-25,29.5
2013-06-26,29.4
2013-06-27,29.1
2013-06-28,29.4
2013-07-01,29.55
2013-07-02,29.05
2013-07-03,28.4
2013-07-04,28.15
2013-07-05,27.95
2013-07-08,27.0
2013-07-09,28.15
2013-07-10,29.0
2013-07-11,27.55
2013-07-12,28.85
2013-07-15,30.35
2013-07-16,30.7
2013-07-17,29.6
2013-07-18,33.0
2013-07-19,32.8
2013-07-22,32.1
2013-07-23,31.6
2013-07-24,29.95
2013-07-25,30.75
2013-07-26,29.95
2013-07-29,30.15
