Date,CAPLIPOINT
2014-06-23,179.0
2014-06-24,178.2
2014-06-25,181.25
2014-06-26,179.75
2014-06-27,197.7
2014-06-30,217.45
2014-07-01,239.15
2014-07-02,251.1
2014-07-03,263.65
2014-07-04,276.8
2014-07-07,279.35
2014-07-08,265.4
2014-07-09,253.9
2014-07-10,265.35
2014-07-11,265.25
2014-07-14,254.2
2014-07-15,266.9
2014-07-16,280.2
2014-07-17,292.6
2014-07-18,307.2
2014-07-21,322.55
2014-07-22,338.65
2014-07-23,338.95
2014-07-24,322.05
2014-07-25,315.95
2014-07-28,330.5
2014-07-30,347.0
2014-07-31,364.35
2014-08-01,369.9
2014-08-04,363.35
2014-08-05,367.2
2014-08-06,354.5
2014-08-07,350.8
2014-08-08,338.45
2014-08-11,345.9
2014-08-12,343.15
2014-08-13,360.0
2014-08-14,374.65
2014-08-18,387.2
2014-08-19,399.55
2014-08-20,419.5
2014-08-21,440.45
2014-08-22,426.25
2014-08-25,420.2
2014-08-26,399.2
2014-08-27,419.15
2014-08-28,440.1
2014-09-01,443.95
2014-09-02,442.65
2014-09-03,431.1
2014-09-04,440.7
2014-09-05,449.55
2014-09-08,472.0
2014-09-09,495.6
2014-09-10,520.35
2014-09-11,513.4
2014-09-12,503.45
2014-09-15,528.6
2014-09-16,505.05
2014-09-17,486.8
2014-09-18,501.45
2014-09-19,492.35
2014-09-22,476.5
2014-09-23,465.35
2014-09-24,443.25
2014-09-25,421.1
2014-09-26,402.25
2014-09-29,395.25
2014-09-30,415.0
2014-10-01,434.75
2014-10-07,417.85
2014-10-08,385.0
2014-10-09,393.0
2014-10-10,380.95
2014-10-13,384.65
2014-10-14,373.45
2014-10-16,350.65
2014-10-17,347.8
2014-10-20,341.1
2014-10-21,389.35
2014-10-22,434.85
2014-10-23,426.9
2014-10-27,422.95
2014-10-28,402.35
2014-10-29,410.4
2014-10-30,410.05
2014-10-31,401.95
2014-11-03,401.35
2014-11-05,404.65
2014-11-07,403.2
2014-11-10,453.8
2014-11-11,443.15
2014-11-12,436.4
2014-11-13,435.55
2014-11-14,433.3
2014-11-17,424.0
2014-11-18,409.35
2014-11-19,421.45
2014-11-20,416.05
2014-11-21,422.85
2014-11-24,415.5
2014-11-25,411.15
2014-11-26,414.25
2014-11-27,418.25
2014-11-28,438.8
2014-12-01,442.7
2014-12-02,435.0
2014-12-03,435.05
2014-12-04,441.35
2014-12-05,431.05
2014-12-08,425.15
2014-12-09,421.2
2014-12-10,428.2
2014-12-11,422.55
2014-12-12,416.45
2014-12-15,430.05
2014-12-16,405.35
2014-12-17,393.25
2014-12-18,413.4
2014-12-19,407.2
2014-12-22,399.0
2014-12-23,394.6
2014-12-24,390.2
2014-12-26,382.15
2014-12-29,397.6
2014-12-30,404.85
2014-12-31,403.9
2015-01-01,402.45
2015-01-02,404.85
2015-01-05,410.35
2015-01-06,394.2
2015-01-07,400.7
2015-01-08,428.35
2015-01-09,431.75
2015-01-12,420.35
2015-01-13,416.0
2015-01-14,417.45
2015-01-15,418.05
2015-01-16,429.65
2015-01-19,427.7
2015-01-20,428.45
2015-01-21,428.7
2015-01-22,425.65
2015-01-23,430.95
2015-01-27,436.35
2015-01-28,435.25
2015-01-29,522.3
2015-01-30,600.75
2015-02-02,595.45
2015-02-03,651.85
2015-02-04,677.75
2015-02-05,610.0
2015-02-06,561.4
2015-02-09,600.85
2015-02-10,658.15
2015-02-11,616.3
2015-02-12,642.7
2015-02-13,706.95
2015-02-16,714.35
2015-02-18,750.05
2015-02-19,772.35
2015-02-20,810.95
2015-02-23,827.9
2015-02-24,786.55
2015-02-25,765.9
2015-02-26,763.85
2015-02-27,750.4
2015-02-28,774.85
2015-03-02,761.5
2015-03-03,746.7
2015-03-04,782.4
2015-03-05,819.35
2015-03-09,816.95
2015-03-10,800.1
2015-03-11,828.4
2015-03-12,911.2
2015-03-13,949.75
2015-03-16,968.25
2015-03-17,976.15
2015-03-18,974.65
2015-03-19,944.35
2015-03-20,940.45
2015-03-23,891.3
2015-03-24,884.95
2015-03-25,840.4
2015-03-26,917.1
2015-03-27,928.15
2015-03-30,966.15
2015-03-31,1025.3
2015-04-01,1122.65
2015-04-06,1178.75
2015-04-07,1237.65
2015-04-08,1299.5
2015-04-09,1324.0
2015-04-10,1298.05
2015-04-13,1241.4
2015-04-15,1181.9
2015-04-16,1122.85
2015-04-17,1074.8
2015-04-20,1072.55
2015-04-21,1121.65
2015-04-22,1138.45
2015-04-23,1121.15
2015-04-24,1065.1
2015-04-27,1011.85
2015-04-28,964.5
2015-04-29,962.75
2015-04-30,936.05
2015-05-04,982.85
2015-05-05,1027.25
2015-05-06,994.95
2015-05-07,953.0
2015-05-08,986.1
2015-05-11,987.6
2015-05-12,960.65
2015-05-13,978.75
2015-05-14,978.5
2015-05-15,969.8
2015-05-18,994.05
2015-05-19,987.65
2015-05-20,965.8
2015-05-21,941.95
2015-05-22,915.15
