Date,ABAN
2013-01-01,384.55
2013-01-02,388.05
2013-01-03,392.5
2013-01-04,396.3
2013-01-07,398.05
2013-01-08,398.9
2013-01-09,393.1
2013-01-10,384.55
2013-01-11,377.9
2013-01-14,383.5
2013-01-15,379.55
2013-01-16,376.2
2013-01-17,375.45
2013-01-18,375.5
2013-01-21,377.45
2013-01-22,375.3
2013-01-23,372.15
2013-01-24,359.9
2013-01-25,355.1
2013-01-28,363.25
2013-01-29,355.95
2013-01-30,349.4
2013-01-31,350.35
2013-02-01,347.2
2013-02-04,345.2
2013-02-05,339.55
2013-02-06,336.65
2013-02-07,333.7
2013-02-08,324.2
2013-02-11,322.9
2013-02-12,320.3
2013-02-13,322.0
2013-02-14,317.0
2013-02-15,315.85
2013-02-18,320.65
2013-02-19,322.9
2013-02-20,319.9
2013-02-21,313.4
2013-02-22,306.35
2013-02-25,300.2
2013-02-26,290.85
2013-02-27,285.25
2013-02-28,280.95
2013-03-01,273.55
2013-03-04,263.7
2013-03-05,269.8
2013-03-06,275.9
2013-03-07,275.85
2013-03-08,285.1
2013-03-11,293.05
2013-03-12,291.25
2013-03-13,283.15
2013-03-14,282.75
2013-03-15,296.4
2013-03-18,292.85
2013-03-19,283.25
2013-03-20,272.7
2013-03-21,267.4
2013-03-22,261.8
2013-03-25,258.0
2013-03-26,260.2
2013-03-28,263.8
2013-04-01,273.6
2013-04-02,285.85
2013-04-03,284.15
2013-04-04,273.0
2013-04-05,272.8
2013-04-08,267.15
2013-04-09,264.45
2013-04-10,263.9
2013-04-11,259.3
2013-04-12,259.2
2013-04-15,260.05
2013-04-16,267.05
2013-04-17,266.1
2013-04-18,270.3
2013-04-22,274.8
2013-04-23,279.05
2013-04-25,276.35
2013-04-26,271.25
2013-04-29,275.3
2013-04-30,310.5
2013-05-02,326.1
2013-05-03,306.3
2013-05-06,319.25
2013-05-07,330.4
2013-05-08,330.4
2013-05-09,323.65
2013-05-10,327.35
2013-05-11,330.3
2013-05-13,318.55
2013-05-14,314.45
2013-05-15,320.05
2013-05-16,321.4
2013-05-17,326.2
2013-05-20,324.5
2013-05-21,320.1
2013-05-22,320.4
2013-05-23,305.55
2013-05-24,302.4
2013-05-27,304.55
2013-05-28,308.7
2013-05-29,312.55
2013-05-30,306.65
2013-05-31,295.5
2013-06-03,292.2
2013-06-04,294.15
2013-06-05,295.9
2013-06-06,296.95
2013-06-07,296.95
2013-06-10,294.4
2013-06-11,284.25
2013-06-12,273.95
